cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
BRLN-001-1,BRLN-001,Urban,230460,228732,1728,0.75,365,441,176,2493,1.09,-81.1,No
BRLN-001-2,BRLN-001,Suburban,186977,182621,4356,2.33,1483,1849,1276,2045,1.12,-77.7,No
BRLN-001-3,BRLN-001,Dense Urban,188612,185859,2753,1.46,524,1013,349,1319,0.71,-76.5,No
BRLN-002-1,BRLN-002,Urban,203973,199445,4528,2.22,828,1252,630,1116,0.56,-80.9,No
BRLN-002-2,BRLN-002,Urban,231682,230177,1505,0.65,469,567,184,1058,0.46,-85.1,No
BRLN-002-3,BRLN-002,Dense Urban,232523,228501,4022,1.73,1137,1519,530,2810,1.23,-80.8,No
BRLN-003-1,BRLN-003,Suburban,208919,206099,2820,1.35,643,866,654,2905,1.41,-82.7,No
BRLN-003-2,BRLN-003,Suburban,296997,293107,3890,1.31,791,1475,794,1084,0.37,-79.7,No
BRLN-003-3,BRLN-003,Suburban,269808,267731,2077,0.77,646,884,461,3614,1.35,-74.8,No
BRLN-004-1,BRLN-004,Dense Urban,232084,229601,2483,1.07,601,929,407,1882,0.82,-84.9,No
BRLN-004-2,BRLN-004,Suburban,177874,174139,3735,2.1,942,1555,782,2507,1.44,-82.4,No
BRLN-004-3,BRLN-004,Dense Urban,254051,241222,12829,5.05,2595,3276,2625,6754,2.8,-96.9,Yes
BRLN-005-1,BRLN-005,Suburban,264709,260739,3970,1.5,1286,1666,899,1981,0.76,-81.2,No
BRLN-005-2,BRLN-005,Suburban,169943,167887,2056,1.21,628,648,366,1074,0.64,-83.3,No
BRLN-005-3,BRLN-005,Urban,218072,213580,4492,2.06,855,1752,1211,3118,1.46,-83.1,No
BRLN-006-1,BRLN-006,Dense Urban,163453,160364,3089,1.89,715,1323,464,930,0.58,-79.6,No
BRLN-006-2,BRLN-006,Suburban,255348,237602,17746,6.95,5704,4739,4193,5963,2.51,-94.7,Yes
BRLN-006-3,BRLN-006,Dense Urban,273109,270788,2321,0.85,469,629,462,3195,1.18,-84.5,No
BRLN-007-1,BRLN-007,Dense Urban,270470,265602,4868,1.8,1366,1912,1010,1567,0.59,-83.6,No
BRLN-007-2,BRLN-007,Urban,288756,285840,2916,1.01,681,818,593,2343,0.82,-76.7,No
BRLN-007-3,BRLN-007,Suburban,213420,211329,2091,0.98,571,752,301,1817,0.86,-82.5,No
BRLN-008-1,BRLN-008,Urban,184174,181946,2228,1.21,447,967,395,891,0.49,-82.7,No
BRLN-008-2,BRLN-008,Dense Urban,220131,218128,2003,0.91,570,699,595,1745,0.8,-74.8,No
BRLN-008-3,BRLN-008,Dense Urban,156684,155290,1394,0.89,415,616,224,729,0.47,-77.1,No
BRLN-009-1,BRLN-009,Dense Urban,215259,211536,3723,1.73,996,972,531,2432,1.15,-79.6,No
BRLN-009-2,BRLN-009,Suburban,154427,151710,2717,1.76,762,1109,462,743,0.49,-83.5,No
BRLN-009-3,BRLN-009,Dense Urban,290075,283143,6932,2.39,1506,2541,1063,4020,1.42,-84.5,No
BRLN-010-1,BRLN-010,Suburban,195802,183369,12433,6.35,2255,5551,1317,8691,4.74,-97.6,Yes
BRLN-010-2,BRLN-010,Dense Urban,242940,238981,3959,1.63,622,1228,744,2867,1.2,-84.7,No
BRLN-010-3,BRLN-010,Dense Urban,157532,154965,2567,1.63,574,698,383,1580,1.02,-88.9,No
BRLN-011-1,BRLN-011,Urban,173201,172266,935,0.54,195,359,209,1102,0.64,-76.6,No
BRLN-011-2,BRLN-011,Dense Urban,270168,266954,3214,1.19,879,1137,500,1948,0.73,-85.6,No
BRLN-011-3,BRLN-011,Urban,162116,158388,3728,2.3,1098,1566,810,1140,0.72,-75.3,No
BRLN-012-1,BRLN-012,Urban,262062,260700,1362,0.52,300,491,249,2685,1.03,-91.2,No
BRLN-012-2,BRLN-012,Urban,259129,255372,3757,1.45,677,1574,1098,1047,0.41,-86.3,No
BRLN-012-3,BRLN-012,Dense Urban,177577,174630,2947,1.66,897,1250,464,2252,1.29,-78.7,No
BRLN-013-1,BRLN-013,Suburban,288869,276390,12479,4.32,3747,5446,3098,11636,4.21,-98.4,Yes
