serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
BRLN-001-1,BRLN-001-2,1,0.0,-2.3,Yes,Intra-Frequency,2026-06-01
BRLN-001-1,BRLN-001-3,2,0.0,-3.2,Yes,Intra-Frequency,2026-06-01
BRLN-001-1,BRLN-018-1,3,346.6,-0.8,Yes,Inter-Frequency,2026-06-01
BRLN-001-1,BRLN-018-2,4,346.6,-5.9,Yes,Inter-Frequency,2026-06-01
BRLN-001-1,BRLN-018-3,5,346.6,-2.8,Yes,Inter-Frequency,2026-06-01
BRLN-001-1,BRLN-016-1,6,461.9,-5.0,Yes,Inter-Frequency,2026-06-01
BRLN-001-1,BRLN-016-2,7,461.9,2.6,Yes,Inter-Frequency,2026-06-01
BRLN-001-1,BRLN-016-3,8,461.9,5.8,Yes,Inter-Frequency,2026-06-01
BRLN-001-1,BRLN-006-1,9,793.6,4.5,Yes,Inter-Frequency,2026-06-01
BRLN-001-1,BRLN-006-2,10,793.6,3.9,Yes,Inter-Frequency,2026-06-01
BRLN-001-2,BRLN-001-1,1,0.0,1.5,Yes,Intra-Frequency,2026-06-01
BRLN-001-2,BRLN-001-3,2,0.0,5.6,Yes,Intra-Frequency,2026-06-01
BRLN-001-2,BRLN-018-1,3,346.6,-0.3,Yes,Inter-Frequency,2026-06-01
BRLN-001-2,BRLN-018-2,4,346.6,-2.7,Yes,Inter-Frequency,2026-06-01
BRLN-001-2,BRLN-018-3,5,346.6,3.2,Yes,Inter-Frequency,2026-06-01
BRLN-001-2,BRLN-016-1,6,461.9,0.6,Yes,Inter-Frequency,2026-06-01
BRLN-001-2,BRLN-016-2,7,461.9,4.5,Yes,Inter-Frequency,2026-06-01
BRLN-001-2,BRLN-016-3,8,461.9,-5.5,Yes,Inter-Frequency,2026-06-01
BRLN-001-2,BRLN-006-1,9,793.6,2.2,Yes,Inter-Frequency,2026-06-01
BRLN-001-2,BRLN-006-2,10,793.6,4.9,Yes,Inter-Frequency,2026-06-01
BRLN-001-3,BRLN-001-1,1,0.0,-5.0,Yes,Intra-Frequency,2026-06-01
BRLN-001-3,BRLN-001-2,2,0.0,3.2,Yes,Intra-Frequency,2026-06-01
BRLN-001-3,BRLN-018-1,3,346.6,1.4,Yes,Inter-Frequency,2026-06-01
BRLN-001-3,BRLN-018-2,4,346.6,4.7,Yes,Inter-Frequency,2026-06-01
BRLN-001-3,BRLN-018-3,5,346.6,-3.5,Yes,Inter-Frequency,2026-06-01
BRLN-001-3,BRLN-016-1,6,461.9,-5.0,Yes,Inter-Frequency,2026-06-01
BRLN-001-3,BRLN-016-2,7,461.9,1.3,Yes,Inter-Frequency,2026-06-01
BRLN-001-3,BRLN-016-3,8,461.9,-4.1,Yes,Inter-Frequency,2026-06-01
BRLN-001-3,BRLN-006-1,9,793.6,-1.1,Yes,Inter-Frequency,2026-06-01
BRLN-002-1,BRLN-002-2,1,0.0,-1.3,Yes,Intra-Frequency,2026-06-01
BRLN-002-1,BRLN-002-3,2,0.0,5.6,Yes,Intra-Frequency,2026-06-01
BRLN-002-1,BRLN-019-1,3,512.9,-3.9,Yes,Inter-Frequency,2026-06-01
BRLN-002-1,BRLN-019-2,4,512.9,0.8,Yes,Inter-Frequency,2026-06-01
BRLN-002-1,BRLN-019-3,5,512.9,4.1,Yes,Inter-Frequency,2026-06-01
BRLN-002-1,BRLN-007-1,6,518.0,3.5,Yes,Inter-Frequency,2026-06-01
BRLN-002-1,BRLN-007-2,7,518.0,3.0,Yes,Inter-Frequency,2026-06-01
BRLN-002-1,BRLN-007-3,8,518.0,2.2,Yes,Inter-Frequency,2026-06-01
BRLN-002-2,BRLN-002-1,1,0.0,-1.6,Yes,Intra-Frequency,2026-06-01
BRLN-002-2,BRLN-002-3,2,0.0,4.6,Yes,Intra-Frequency,2026-06-01
BRLN-002-2,BRLN-019-1,3,512.9,-2.5,Yes,Inter-Frequency,2026-06-01
BRLN-002-2,BRLN-019-2,4,512.9,-5.9,Yes,Inter-Frequency,2026-06-01
BRLN-002-2,BRLN-019-3,5,512.9,3.8,Yes,Inter-Frequency,2026-06-01
BRLN-002-2,BRLN-007-1,6,518.0,1.2,Yes,Inter-Frequency,2026-06-01
BRLN-002-2,BRLN-007-2,7,518.0,3.7,Yes,Inter-Frequency,2026-06-01
BRLN-002-2,BRLN-007-3,8,518.0,3.5,Yes,Inter-Frequency,2026-06-01
BRLN-002-2,BRLN-010-1,9,635.4,-0.1,Yes,Intra-Frequency,2026-06-01
BRLN-002-2,BRLN-010-2,10,635.4,2.6,Yes,Intra-Frequency,2026-06-01
BRLN-002-2,BRLN-010-3,11,635.4,4.2,Yes,Intra-Frequency,2026-06-01
BRLN-002-3,BRLN-002-1,1,0.0,-0.3,Yes,Intra-Frequency,2026-06-01
BRLN-002-3,BRLN-002-2,2,0.0,-3.5,Yes,Intra-Frequency,2026-06-01
BRLN-002-3,BRLN-019-1,3,512.9,1.7,Yes,Inter-Frequency,2026-06-01
BRLN-002-3,BRLN-019-2,4,512.9,-1.3,Yes,Inter-Frequency,2026-06-01
BRLN-002-3,BRLN-019-3,5,512.9,-5.7,Yes,Inter-Frequency,2026-06-01
BRLN-002-3,BRLN-007-1,6,518.0,-1.2,Yes,Inter-Frequency,2026-06-01
BRLN-002-3,BRLN-007-2,7,518.0,-4.7,Yes,Inter-Frequency,2026-06-01
BRLN-002-3,BRLN-007-3,8,518.0,1.7,Yes,Inter-Frequency,2026-06-01
BRLN-002-3,BRLN-010-1,9,635.4,4.8,Yes,Intra-Frequency,2026-06-01
BRLN-003-1,BRLN-003-2,1,0.0,0.9,Yes,Intra-Frequency,2026-06-01
BRLN-003-1,BRLN-003-3,2,0.0,-3.1,Yes,Intra-Frequency,2026-06-01
BRLN-003-1,BRLN-015-1,3,1058.5,5.4,Yes,Intra-Frequency,2026-06-01
BRLN-003-1,BRLN-015-2,4,1058.5,4.8,Yes,Intra-Frequency,2026-06-01
BRLN-003-1,BRLN-015-3,5,1058.5,3.0,Yes,Intra-Frequency,2026-06-01
BRLN-003-1,BRLN-001-1,6,1192.0,3.9,Yes,Intra-Frequency,2026-06-01
BRLN-003-1,BRLN-001-2,7,1192.0,4.0,Yes,Intra-Frequency,2026-06-01
BRLN-003-1,BRLN-001-3,8,1192.0,-1.1,Yes,Intra-Frequency,2026-06-01
BRLN-003-1,BRLN-011-1,9,1307.4,-2.4,Yes,Intra-Frequency,2026-06-01
BRLN-003-1,BRLN-011-2,10,1307.4,4.3,Yes,Intra-Frequency,2026-06-01
BRLN-003-1,BRLN-011-3,11,1307.4,-1.4,Yes,Intra-Frequency,2026-06-01
BRLN-003-1,BRLN-018-1,12,1509.2,0.9,Yes,Inter-Frequency,2026-06-01
BRLN-003-1,BRLN-018-2,13,1509.2,3.3,Yes,Inter-Frequency,2026-06-01
BRLN-003-2,BRLN-003-1,1,0.0,-4.6,Yes,Intra-Frequency,2026-06-01
BRLN-003-2,BRLN-003-3,2,0.0,0.8,Yes,Intra-Frequency,2026-06-01
BRLN-003-2,BRLN-015-1,3,1058.5,3.3,Yes,Intra-Frequency,2026-06-01
BRLN-003-2,BRLN-015-2,4,1058.5,-5.6,Yes,Intra-Frequency,2026-06-01
BRLN-003-2,BRLN-015-3,5,1058.5,3.0,Yes,Intra-Frequency,2026-06-01
BRLN-003-2,BRLN-001-1,6,1192.0,-5.8,Yes,Intra-Frequency,2026-06-01
BRLN-003-2,BRLN-001-2,7,1192.0,-0.9,Yes,Intra-Frequency,2026-06-01
BRLN-003-2,BRLN-001-3,8,1192.0,-1.4,Yes,Intra-Frequency,2026-06-01
BRLN-003-2,BRLN-011-1,9,1307.4,-5.8,Yes,Intra-Frequency,2026-06-01
BRLN-003-2,BRLN-011-2,10,1307.4,-5.1,Yes,Intra-Frequency,2026-06-01
BRLN-003-2,BRLN-011-3,11,1307.4,2.0,Yes,Intra-Frequency,2026-06-01
BRLN-003-3,BRLN-003-1,1,0.0,-2.3,Yes,Intra-Frequency,2026-06-01
BRLN-003-3,BRLN-003-2,2,0.0,2.9,Yes,Intra-Frequency,2026-06-01
BRLN-003-3,BRLN-015-1,3,1058.5,4.7,Yes,Intra-Frequency,2026-06-01
BRLN-003-3,BRLN-015-2,4,1058.5,-0.3,Yes,Intra-Frequency,2026-06-01
BRLN-003-3,BRLN-015-3,5,1058.5,1.4,Yes,Intra-Frequency,2026-06-01
BRLN-003-3,BRLN-001-1,6,1192.0,0.6,Yes,Intra-Frequency,2026-06-01
BRLN-003-3,BRLN-001-2,7,1192.0,2.0,Yes,Intra-Frequency,2026-06-01
BRLN-003-3,BRLN-001-3,8,1192.0,-1.8,Yes,Intra-Frequency,2026-06-01
BRLN-003-3,BRLN-011-1,9,1307.4,-1.1,Yes,Intra-Frequency,2026-06-01
BRLN-003-3,BRLN-011-2,10,1307.4,-5.1,Yes,Intra-Frequency,2026-06-01
BRLN-004-1,BRLN-004-2,1,0.0,5.8,Yes,Intra-Frequency,2026-06-01
BRLN-004-1,BRLN-004-3,2,0.0,-1.4,Yes,Intra-Frequency,2026-06-01
BRLN-004-1,BRLN-005-1,3,178.8,-2.5,Yes,Inter-Frequency,2026-06-01
BRLN-004-1,BRLN-005-2,4,178.8,0.5,Yes,Inter-Frequency,2026-06-01
BRLN-004-1,BRLN-005-3,5,178.8,1.6,Yes,Inter-Frequency,2026-06-01
BRLN-004-1,BRLN-017-1,6,263.6,3.1,Yes,Inter-Frequency,2026-06-01
