cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
BRLN-001-1,BRLN-001,Berlin-Site-001,52.510423,13.402998,49,1,-3,5,2,7,Urban,55.3,Band 3 (1800MHz),1,20001,Nokia,LTE,Active
BRLN-001-2,BRLN-001,Berlin-Site-001,52.510423,13.402998,28,2,123,2,0,2,Suburban,52.8,Band 3 (1800MHz),2,20001,Nokia,LTE,Active
BRLN-001-3,BRLN-001,Berlin-Site-001,52.510423,13.402998,26,3,245,3,2,5,Dense Urban,45.5,Band 3 (1800MHz),3,20001,Nokia,LTE,Active
BRLN-002-1,BRLN-002,Berlin-Site-002,52.527244,13.391847,30,1,-3,3,2,5,Urban,61.3,Band 7 (2600MHz),4,20002,Nokia,LTE,Active
BRLN-002-2,BRLN-002,Berlin-Site-002,52.527244,13.391847,31,2,121,5,2,7,Urban,38.0,Band 7 (2600MHz),5,20002,Nokia,LTE,Active
BRLN-002-3,BRLN-002,Berlin-Site-002,52.527244,13.391847,45,3,245,2,1,3,Dense Urban,60.1,Band 7 (2600MHz),6,20002,Nokia,LTE,Active
BRLN-003-1,BRLN-003,Berlin-Site-003,52.510476,13.420612,30,1,-2,3,0,3,Suburban,41.9,Band 3 (1800MHz),7,20003,Nokia,LTE,Active
BRLN-003-2,BRLN-003,Berlin-Site-003,52.510476,13.420612,39,2,125,5,1,6,Suburban,57.7,Band 3 (1800MHz),8,20003,Nokia,LTE,Active
BRLN-003-3,BRLN-003,Berlin-Site-003,52.510476,13.420612,26,3,244,3,2,5,Suburban,59.5,Band 3 (1800MHz),9,20003,Nokia,LTE,Active
BRLN-004-1,BRLN-004,Berlin-Site-004,52.520762,13.398038,36,1,2,5,0,5,Dense Urban,74.5,Band 7 (2600MHz),10,20004,Nokia,LTE,Active
BRLN-004-2,BRLN-004,Berlin-Site-004,52.520762,13.398038,45,2,121,4,1,5,Suburban,65.7,Band 7 (2600MHz),11,20004,Nokia,LTE,Active
BRLN-004-3,BRLN-004,Berlin-Site-004,52.520762,13.398038,49,3,243,5,2,7,Dense Urban,32.9,Band 7 (2600MHz),12,20004,Nokia,LTE,Active
BRLN-005-1,BRLN-005,Berlin-Site-005,52.522307,13.397305,26,1,-1,2,0,2,Suburban,74.3,Band 3 (1800MHz),13,20005,Nokia,LTE,Active
BRLN-005-2,BRLN-005,Berlin-Site-005,52.522307,13.397305,34,2,123,6,1,7,Suburban,70.2,Band 3 (1800MHz),14,20005,Nokia,LTE,Active
