cell_id,site_id,band,monthly_ho_attempts,monthly_ho_success_rate,monthly_ho_failure_rate,monthly_ping_pong_rate,avg_rsrp_dbm,avg_sinr_db,avg_prb_utilization_pct,avg_dl_throughput_mbps,total_rlf_count,problem_flag
CELL_000_0,SITE_000,1,61942,0.9734,0.0266,0.0088,-86.4,13.2,34.2,80.4,53,False
CELL_000_1,SITE_000,1,57528,0.994,0.006,0.0096,-86.5,11.1,43.7,78.5,46,False
CELL_000_2,SITE_000,1,73342,0.9878,0.0122,0.0142,-81.3,10.1,28.6,68.4,18,False
CELL_001_0,SITE_001,3,71548,0.982,0.018,0.019,-82.0,10.9,32.3,68.7,31,False
CELL_001_1,SITE_001,3,48325,0.8875,0.1125,0.0331,-97.6,5.0,75.2,36.3,324,True
CELL_001_2,SITE_001,3,55632,0.9851,0.0149,0.011,-85.0,14.8,40.8,97.2,23,False
CELL_002_0,SITE_002,41,78420,0.9708,0.0292,0.008,-81.6,11.7,51.3,76.1,17,False
CELL_002_1,SITE_002,41,40281,0.9772,0.0228,0.0141,-87.5,10.6,40.5,68.5,26,False
CELL_002_2,SITE_002,41,50875,0.9712,0.0288,0.0109,-85.8,11.6,32.4,79.6,44,False
CELL_003_0,SITE_003,1,43364,0.9636,0.0364,0.0095,-85.4,9.8,33.6,81.3,26,False
CELL_003_1,SITE_003,1,44489,0.9665,0.0335,0.0088,-89.8,16.5,41.6,84.4,44,False
CELL_003_2,SITE_003,1,47840,0.9655,0.0345,0.0146,-83.0,12.5,54.7,92.2,47,False
CELL_004_0,SITE_004,3,71271,0.9757,0.0243,0.0081,-84.3,9.8,51.6,102.5,44,False
CELL_004_1,SITE_004,3,79284,0.9933,0.0067,0.0062,-87.2,13.2,33.1,83.6,23,False
CELL_004_2,SITE_004,3,50152,0.9656,0.0344,0.0165,-86.1,12.1,50.4,90.2,49,False
CELL_005_0,SITE_005,41,55442,0.981,0.019,0.0173,-85.5,16.0,38.5,97.7,18,False
CELL_005_1,SITE_005,41,65577,0.9602,0.0398,0.0092,-79.6,9.4,37.3,71.2,48,False
CELL_005_2,SITE_005,41,77509,0.9774,0.0226,0.0083,-86.7,12.0,52.1,83.1,35,False
CELL_006_0,SITE_006,1,58958,0.9666,0.0334,0.0184,-86.6,13.4,38.5,87.1,34,False
CELL_006_1,SITE_006,1,64136,0.9859,0.0141,0.0137,-84.4,12.1,25.0,82.5,39,False
CELL_006_2,SITE_006,1,71014,0.99,0.01,0.0181,-83.6,11.4,46.3,72.5,55,False
CELL_007_0,SITE_007,3,75017,0.9606,0.0394,0.0149,-85.5,12.3,50.3,75.2,40,False
CELL_007_1,SITE_007,3,60149,0.961,0.039,0.0191,-82.4,14.0,52.3,80.9,50,False
CELL_007_2,SITE_007,3,64805,0.9761,0.0239,0.0197,-80.1,13.7,33.2,84.0,58,False
CELL_008_0,SITE_008,41,70795,0.8976,0.1024,0.0445,-90.5,7.2,83.7,33.1,331,True
CELL_008_1,SITE_008,41,79235,0.9764,0.0236,0.0082,-85.4,14.4,37.3,67.2,37,False
CELL_008_2,SITE_008,41,47918,0.9804,0.0196,0.0111,-80.3,11.9,48.3,68.7,38,False
CELL_009_0,SITE_009,1,77326,0.978,0.022,0.0079,-86.8,11.2,27.7,98.1,49,False
CELL_009_1,SITE_009,1,62264,0.8879,0.1121,0.0403,-97.2,5.3,62.2,42.9,393,True
CELL_009_2,SITE_009,1,71482,0.9634,0.0366,0.0185,-82.8,15.5,25.4,73.0,46,False
CELL_010_0,SITE_010,3,74467,0.9604,0.0396,0.0161,-80.9,12.1,31.6,78.8,42,False
CELL_010_1,SITE_010,3,67989,0.9942,0.0058,0.0173,-85.8,12.1,50.7,95.2,27,False
CELL_010_2,SITE_010,3,49192,0.9619,0.0381,0.0146,-88.8,10.2,33.0,84.5,52,False
CELL_011_0,SITE_011,41,62698,0.9717,0.0283,0.0086,-85.2,15.8,29.6,72.3,11,False
CELL_011_1,SITE_011,41,55600,0.989,0.011,0.0135,-82.4,12.2,44.3,81.4,32,False
CELL_011_2,SITE_011,41,57330,0.9645,0.0355,0.0062,-81.8,11.5,44.1,94.8,32,False
CELL_012_0,SITE_012,1,40406,0.9686,0.0314,0.0102,-86.0,10.2,35.5,81.1,45,False
CELL_012_1,SITE_012,1,59292,0.9682,0.0318,0.0142,-87.9,9.6,46.0,79.5,43,False
CELL_012_2,SITE_012,1,72166,0.9698,0.0302,0.0159,-89.6,11.3,37.0,69.8,34,False
CELL_013_0,SITE_013,3,52282,0.9715,0.0285,0.0112,-86.6,13.9,41.4,79.3,52,False
CELL_013_1,SITE_013,3,74821,0.9884,0.0116,0.0075,-86.5,10.4,29.4,67.3,58,False
CELL_013_2,SITE_013,3,58927,0.9857,0.0143,0.0098,-83.3,9.3,31.0,66.9,53,False
CELL_014_0,SITE_014,41,73801,0.9644,0.0356,0.0165,-83.9,12.3,52.1,78.6,46,False
CELL_014_1,SITE_014,41,64501,0.8986,0.1014,0.0635,-93.5,5.7,70.1,13.5,212,True
CELL_014_2,SITE_014,41,54644,0.9899,0.0101,0.0132,-87.3,12.0,32.2,60.7,53,False
CELL_015_0,SITE_015,1,41505,0.9625,0.0375,0.0067,-89.6,10.3,47.7,79.2,26,False
CELL_015_1,SITE_015,1,48113,0.9859,0.0141,0.0161,-87.2,10.4,45.2,79.1,27,False
CELL_015_2,SITE_015,1,49408,0.9615,0.0385,0.0089,-87.5,11.9,34.6,82.3,52,False
CELL_016_0,SITE_016,3,52106,0.9815,0.0185,0.0189,-81.9,13.6,43.5,79.4,34,False
