cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
HELS-001-1,HELS-001,Dense Urban,266253,261780,4473,1.68,2147,1342,984,2068,0.79,-79.2,No
HELS-001-2,HELS-001,Dense Urban,211762,210026,1736,0.82,834,521,381,2415,1.15,-84.2,No
HELS-001-3,HELS-001,Dense Urban,236128,220898,15230,6.45,7310,4569,3351,8504,3.85,-102.3,Yes
HELS-002-1,HELS-002,Urban,241888,238647,3241,1.34,1556,973,712,1527,0.64,-87.1,No
HELS-002-2,HELS-002,Dense Urban,157702,153839,3863,2.45,1855,1159,849,861,0.56,-84.5,No
HELS-002-3,HELS-002,Dense Urban,176496,175085,1411,0.8,677,424,310,1890,1.08,-90.2,No
HELS-003-1,HELS-003,Urban,203574,201742,1832,0.9,880,549,403,1634,0.81,-80.3,No
HELS-003-2,HELS-003,Suburban,242051,240091,1960,0.81,941,588,431,2592,1.08,-81.7,No
HELS-003-3,HELS-003,Urban,186675,183371,3304,1.77,1586,992,726,2108,1.15,-79.0,No
HELS-004-1,HELS-004,Dense Urban,168635,166376,2259,1.34,1084,677,498,565,0.34,-85.5,No
HELS-004-2,HELS-004,Urban,212568,207509,5059,2.38,2429,1517,1113,1826,0.88,-86.3,No
HELS-004-3,HELS-004,Urban,193092,190968,2124,1.1,1020,638,466,2635,1.38,-86.5,No
HELS-005-1,HELS-005,Dense Urban,169409,166275,3134,1.85,1504,940,690,1230,0.74,-85.3,No
HELS-005-2,HELS-005,Urban,250016,245516,4500,1.8,2160,1350,990,2307,0.94,-90.2,No
HELS-005-3,HELS-005,Dense Urban,239962,237395,2567,1.07,1232,770,565,2991,1.26,-91.2,No
HELS-006-1,HELS-006,Urban,194067,177358,16709,8.61,8021,5012,3676,8761,4.94,-96.4,Yes
HELS-006-2,HELS-006,Suburban,250688,246151,4537,1.81,2178,1361,998,1526,0.62,-78.9,No
HELS-006-3,HELS-006,Dense Urban,234011,229916,4095,1.75,1966,1228,901,1908,0.83,-82.7,No
HELS-007-1,HELS-007,Urban,187806,185121,2685,1.43,1289,805,591,1166,0.63,-85.5,No
HELS-007-2,HELS-007,Dense Urban,241188,239066,2122,0.88,1018,636,468,1434,0.6,-81.6,No
HELS-007-3,HELS-007,Urban,150203,148146,2057,1.37,987,617,453,1925,1.3,-90.8,No
HELS-008-1,HELS-008,Urban,281957,274373,7584,2.69,3640,2275,1669,2743,1.0,-84.4,No
HELS-008-2,HELS-008,Urban,255466,253602,1864,0.73,895,559,410,2662,1.05,-87.4,No
HELS-008-3,HELS-008,Urban,187389,184485,2904,1.55,1393,871,640,1771,0.96,-77.5,No
HELS-009-1,HELS-009,Suburban,171874,169159,2715,1.58,1303,814,598,1268,0.75,-82.3,No
HELS-009-2,HELS-009,Urban,179622,178150,1472,0.82,706,442,324,997,0.56,-85.0,No
HELS-009-3,HELS-009,Urban,157604,153302,4302,2.73,2065,1290,947,2130,1.39,-77.5,No
HELS-010-1,HELS-010,Dense Urban,157830,153506,4324,2.74,2076,1297,951,1473,0.96,-92.5,No
HELS-010-2,HELS-010,Urban,212000,198602,13398,6.32,6431,4020,2947,6335,3.19,-96.9,Yes
HELS-010-3,HELS-010,Dense Urban,176236,173064,3172,1.8,1522,952,698,2388,1.38,-78.1,No
HELS-011-1,HELS-011,Urban,255563,249890,5673,2.22,2723,1702,1248,1049,0.42,-82.3,No
HELS-011-2,HELS-011,Urban,175192,170287,4905,2.8,2355,1472,1078,2520,1.48,-79.8,No
HELS-011-3,HELS-011,Suburban,191441,189814,1627,0.85,781,488,358,2600,1.37,-82.8,No
HELS-012-1,HELS-012,Dense Urban,210940,208557,2383,1.13,1144,715,524,813,0.39,-83.0,No
HELS-012-2,HELS-012,Urban,291249,289007,2242,0.77,1076,673,493,4364,1.51,-86.1,No
HELS-012-3,HELS-012,Dense Urban,217871,213122,4749,2.18,2279,1424,1046,1918,0.9,-82.0,No
HELS-013-1,HELS-013,Suburban,167914,163011,4903,2.92,2353,1471,1079,863,0.53,-82.9,No
HELS-013-2,HELS-013,Suburban,290842,256872,33970,11.68,16305,10191,7474,7988,3.11,-96.5,Yes
HELS-013-3,HELS-013,Urban,226395,222162,4233,1.87,2032,1270,931,2377,1.07,-84.7,No
HELS-014-1,HELS-014,Suburban,263283,256254,7029,2.67,3374,2109,1546,2562,1.0,-89.4,No
HELS-014-2,HELS-014,Dense Urban,211683,208720,2963,1.4,1422,889,652,2233,1.07,-80.5,No
HELS-014-3,HELS-014,Suburban,277668,270033,7635,2.75,3665,2291,1679,1377,0.51,-86.0,No
