serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
HELS-001-1,HELS-001-2,1,0.0,5.4,Yes,Intra-Frequency,2026-10-13
HELS-001-1,HELS-001-3,2,0.0,3.2,Yes,Intra-Frequency,2026-10-13
HELS-001-1,HELS-008-1,3,311.7,5.7,Yes,Inter-Frequency,2026-10-13
HELS-001-1,HELS-008-2,4,311.7,4.3,Yes,Inter-Frequency,2026-10-13
HELS-001-1,HELS-008-3,5,311.7,-1.7,Yes,Inter-Frequency,2026-10-13
HELS-001-1,HELS-007-1,6,551.9,2.5,Yes,Intra-Frequency,2026-10-13
HELS-001-1,HELS-007-2,7,551.9,0.3,Yes,Intra-Frequency,2026-10-13
HELS-001-1,HELS-007-3,8,551.9,-5.3,Yes,Intra-Frequency,2026-10-13
HELS-001-1,HELS-002-1,9,694.6,-3.8,Yes,Inter-Frequency,2026-10-13
HELS-001-2,HELS-001-1,1,0.0,3.5,Yes,Intra-Frequency,2026-10-13
HELS-001-2,HELS-001-3,2,0.0,0.8,Yes,Intra-Frequency,2026-10-13
HELS-001-2,HELS-008-1,3,311.7,2.6,Yes,Inter-Frequency,2026-10-13
HELS-001-2,HELS-008-2,4,311.7,-4.4,Yes,Inter-Frequency,2026-10-13
HELS-001-2,HELS-008-3,5,311.7,4.4,Yes,Inter-Frequency,2026-10-13
HELS-001-2,HELS-007-1,6,551.9,-4.0,Yes,Intra-Frequency,2026-10-13
HELS-001-2,HELS-007-2,7,551.9,3.3,Yes,Intra-Frequency,2026-10-13
HELS-001-2,HELS-007-3,8,551.9,4.2,Yes,Intra-Frequency,2026-10-13
HELS-001-2,HELS-002-1,9,694.6,-5.3,Yes,Inter-Frequency,2026-10-13
HELS-001-2,HELS-002-2,10,694.6,3.5,Yes,Inter-Frequency,2026-10-13
HELS-001-2,HELS-002-3,11,694.6,4.8,Yes,Inter-Frequency,2026-10-13
HELS-001-2,HELS-014-1,12,723.6,0.4,Yes,Inter-Frequency,2026-10-13
HELS-001-3,HELS-001-1,1,0.0,-1.1,Yes,Intra-Frequency,2026-10-13
