cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
HELS-001-1,HELS-001,Helsinki-Site-001,60.167467,24.933722,43,1,5,2,2,4,Dense Urban,33.9,Band 1 (2100MHz),1,44000,Nokia,LTE,Active
HELS-001-2,HELS-001,Helsinki-Site-001,60.167467,24.933722,46,2,119,4,1,5,Dense Urban,55.2,Band 1 (2100MHz),2,44000,Nokia,LTE,Active
HELS-001-3,HELS-001,Helsinki-Site-001,60.167467,24.933722,31,3,243,2,1,3,Dense Urban,71.1,Band 1 (2100MHz),3,44000,Nokia,LTE,Active
HELS-002-1,HELS-002,Helsinki-Site-002,60.164294,24.944538,36,1,-5,2,3,5,Urban,52.8,Band 3 (1800MHz),4,44001,Nokia,LTE,Active
HELS-002-2,HELS-002,Helsinki-Site-002,60.164294,24.944538,26,2,116,4,1,5,Dense Urban,57.4,Band 3 (1800MHz),5,44001,Nokia,LTE,Active
HELS-002-3,HELS-002,Helsinki-Site-002,60.164294,24.944538,25,3,239,2,1,3,Dense Urban,37.2,Band 3 (1800MHz),6,44001,Nokia,LTE,Active
HELS-003-1,HELS-003,Helsinki-Site-003,60.159059,24.947328,36,1,3,2,2,4,Urban,44.3,Band 1 (2100MHz),7,44002,Nokia,LTE,Active
HELS-003-2,HELS-003,Helsinki-Site-003,60.159059,24.947328,50,2,122,2,3,5,Suburban,77.4,Band 1 (2100MHz),8,44002,Nokia,LTE,Active
HELS-003-3,HELS-003,Helsinki-Site-003,60.159059,24.947328,49,3,244,5,3,8,Urban,69.3,Band 1 (2100MHz),9,44002,Nokia,LTE,Active
HELS-004-1,HELS-004,Helsinki-Site-004,60.161589,24.925254,31,1,-2,2,3,5,Dense Urban,75.1,Band 3 (1800MHz),10,44003,Nokia,LTE,Active
HELS-004-2,HELS-004,Helsinki-Site-004,60.161589,24.925254,36,2,118,2,1,3,Urban,66.3,Band 3 (1800MHz),11,44003,Nokia,LTE,Active
HELS-004-3,HELS-004,Helsinki-Site-004,60.161589,24.925254,49,3,241,4,0,4,Urban,73.0,Band 3 (1800MHz),12,44003,Nokia,LTE,Active
HELS-005-1,HELS-005,Helsinki-Site-005,60.172751,24.963643,42,1,0,3,0,3,Dense Urban,55.7,Band 1 (2100MHz),13,44004,Nokia,LTE,Active
HELS-005-2,HELS-005,Helsinki-Site-005,60.172751,24.963643,26,2,124,3,2,5,Urban,43.7,Band 1 (2100MHz),14,44004,Nokia,LTE,Active
HELS-005-3,HELS-005,Helsinki-Site-005,60.172751,24.963643,28,3,245,4,0,4,Dense Urban,63.8,Band 1 (2100MHz),15,44004,Nokia,LTE,Active
HELS-006-1,HELS-006,Helsinki-Site-006,60.164891,24.961135,30,1,-3,4,1,5,Urban,51.3,Band 3 (1800MHz),16,44005,Nokia,LTE,Active
HELS-006-2,HELS-006,Helsinki-Site-006,60.164891,24.961135,27,2,123,5,1,6,Suburban,72.6,Band 3 (1800MHz),17,44005,Nokia,LTE,Active
HELS-006-3,HELS-006,Helsinki-Site-006,60.164891,24.961135,37,3,245,4,2,6,Dense Urban,79.7,Band 3 (1800MHz),18,44005,Nokia,LTE,Active
HELS-007-1,HELS-007,Helsinki-Site-007,60.172169,24.930529,40,1,5,6,0,6,Urban,42.7,Band 1 (2100MHz),19,44006,Nokia,LTE,Active
HELS-007-2,HELS-007,Helsinki-Site-007,60.172169,24.930529,37,2,118,3,0,3,Dense Urban,55.3,Band 1 (2100MHz),20,44006,Nokia,LTE,Active
HELS-007-3,HELS-007,Helsinki-Site-007,60.172169,24.930529,44,3,238,2,1,3,Urban,54.4,Band 1 (2100MHz),21,44006,Nokia,LTE,Active
HELS-008-1,HELS-008,Helsinki-Site-008,60.17027,24.933658,25,1,3,3,2,5,Urban,40.5,Band 3 (1800MHz),22,44007,Nokia,LTE,Active
HELS-008-2,HELS-008,Helsinki-Site-008,60.17027,24.933658,32,2,116,6,2,8,Urban,66.1,Band 3 (1800MHz),23,44007,Nokia,LTE,Active
HELS-008-3,HELS-008,Helsinki-Site-008,60.17027,24.933658,29,3,239,4,0,4,Urban,56.1,Band 3 (1800MHz),24,44007,Nokia,LTE,Active
HELS-009-1,HELS-009,Helsinki-Site-009,60.159863,24.949801,25,1,-1,4,0,4,Suburban,71.2,Band 1 (2100MHz),25,44008,Nokia,LTE,Active
HELS-009-2,HELS-009,Helsinki-Site-009,60.159863,24.949801,40,2,120,3,1,4,Urban,66.0,Band 1 (2100MHz),26,44008,Nokia,LTE,Active
HELS-009-3,HELS-009,Helsinki-Site-009,60.159863,24.949801,46,3,240,3,0,3,Urban,74.4,Band 1 (2100MHz),27,44008,Nokia,LTE,Active
HELS-010-1,HELS-010,Helsinki-Site-010,60.165548,24.917887,41,1,-4,4,1,5,Dense Urban,73.2,Band 3 (1800MHz),28,44009,Nokia,LTE,Active
HELS-010-2,HELS-010,Helsinki-Site-010,60.165548,24.917887,27,2,115,3,3,6,Urban,41.1,Band 3 (1800MHz),29,44009,Nokia,LTE,Active
HELS-010-3,HELS-010,Helsinki-Site-010,60.165548,24.917887,42,3,243,6,1,7,Dense Urban,71.3,Band 3 (1800MHz),30,44009,Nokia,LTE,Active
HELS-011-1,HELS-011,Helsinki-Site-011,60.177712,24.922243,36,1,-5,3,0,3,Urban,35.7,Band 1 (2100MHz),31,44010,Nokia,LTE,Active
HELS-011-2,HELS-011,Helsinki-Site-011,60.177712,24.922243,48,2,120,4,1,5,Urban,35.2,Band 1 (2100MHz),32,44010,Nokia,LTE,Active
HELS-011-3,HELS-011,Helsinki-Site-011,60.177712,24.922243,26,3,245,2,1,3,Suburban,60.2,Band 1 (2100MHz),33,44010,Nokia,LTE,Active
HELS-012-1,HELS-012,Helsinki-Site-012,60.179273,24.919384,43,1,1,5,1,6,Dense Urban,44.5,Band 3 (1800MHz),34,44011,Nokia,LTE,Active
HELS-012-2,HELS-012,Helsinki-Site-012,60.179273,24.919384,29,2,120,6,1,7,Urban,31.0,Band 3 (1800MHz),35,44011,Nokia,LTE,Active
HELS-012-3,HELS-012,Helsinki-Site-012,60.179273,24.919384,26,3,238,3,2,5,Dense Urban,48.9,Band 3 (1800MHz),36,44011,Nokia,LTE,Active
HELS-013-1,HELS-013,Helsinki-Site-013,60.179944,24.942272,33,1,2,3,3,6,Suburban,56.8,Band 1 (2100MHz),37,44012,Nokia,LTE,Active
HELS-013-2,HELS-013,Helsinki-Site-013,60.179944,24.942272,39,2,122,5,1,6,Suburban,61.9,Band 1 (2100MHz),38,44012,Nokia,LTE,Active
HELS-013-3,HELS-013,Helsinki-Site-013,60.179944,24.942272,43,3,237,4,3,7,Urban,63.2,Band 1 (2100MHz),39,44012,Nokia,LTE,Active
HELS-014-1,HELS-014,Helsinki-Site-014,60.172767,24.941314,31,1,-2,6,0,6,Suburban,56.4,Band 3 (1800MHz),40,44013,Nokia,LTE,Active
