cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
HELS-001-1,HELS-001,Dense Urban,252943,250692,2251,0.89,1125,675,451,3334,1.33,-80.5,No
HELS-001-2,HELS-001,Urban,232347,226864,5483,2.36,2742,1645,1096,748,0.33,-85.0,No
HELS-001-3,HELS-001,Dense Urban,258322,252588,5734,2.22,2867,1720,1147,2778,1.1,-83.3,No
HELS-002-1,HELS-002,Dense Urban,227569,223382,4187,1.84,2093,1256,838,1608,0.72,-79.1,No
HELS-002-2,HELS-002,Dense Urban,223604,221480,2124,0.95,1062,637,425,2790,1.26,-77.2,No
HELS-002-3,HELS-002,Dense Urban,261437,256209,5228,2.0,2614,1569,1045,1767,0.69,-83.8,No
HELS-003-1,HELS-003,Urban,213360,210331,3029,1.42,1515,909,605,946,0.45,-87.7,No
HELS-003-2,HELS-003,Dense Urban,195836,192899,2937,1.5,1468,881,588,1581,0.82,-80.4,No
HELS-003-3,HELS-003,Dense Urban,201729,197070,4659,2.31,2330,1398,931,867,0.44,-80.5,No
HELS-004-1,HELS-004,Dense Urban,216697,211345,5352,2.47,2676,1606,1070,2092,0.99,-91.4,No
HELS-004-2,HELS-004,Suburban,262564,245262,17302,6.59,8651,5190,3461,7774,3.17,-95.9,Yes
HELS-004-3,HELS-004,Suburban,224385,222052,2333,1.04,1167,700,466,2176,0.98,-73.1,No
HELS-005-1,HELS-005,Suburban,185200,180719,4481,2.42,2241,1344,896,1120,0.62,-75.8,No
HELS-005-2,HELS-005,Urban,216310,212871,3439,1.59,1719,1032,688,1553,0.73,-85.4,No
HELS-005-3,HELS-005,Suburban,224081,219465,4616,2.06,2308,1385,923,1141,0.52,-79.3,No
HELS-006-1,HELS-006,Urban,154534,150949,3585,2.32,1792,1076,717,1343,0.89,-82.4,No
HELS-006-2,HELS-006,Dense Urban,151729,148771,2958,1.95,1479,887,592,1115,0.75,-83.2,No
HELS-006-3,HELS-006,Urban,201030,199965,1065,0.53,533,319,213,1539,0.77,-76.3,No
HELS-007-1,HELS-007,Dense Urban,154251,152370,1881,1.22,941,565,375,929,0.61,-89.6,No
HELS-007-2,HELS-007,Urban,201532,198872,2660,1.32,1330,798,532,2565,1.29,-84.4,No
HELS-007-3,HELS-007,Suburban,279993,273330,6663,2.38,3331,1999,1333,1612,0.59,-80.5,No
HELS-008-1,HELS-008,Suburban,222315,218425,3890,1.75,1945,1167,778,1703,0.78,-81.9,No
HELS-008-2,HELS-008,Suburban,214706,210391,4315,2.01,2157,1295,863,1767,0.84,-87.1,No
HELS-008-3,HELS-008,Dense Urban,153605,142331,11274,7.34,5637,3382,2255,3088,2.17,-95.6,Yes
HELS-009-1,HELS-009,Suburban,274605,270843,3762,1.37,1881,1129,752,2979,1.1,-89.5,No
HELS-009-2,HELS-009,Suburban,153978,151823,2155,1.4,1078,647,430,1973,1.3,-85.2,No
HELS-009-3,HELS-009,Urban,293009,290372,2637,0.9,1318,791,528,3048,1.05,-75.0,No
HELS-010-1,HELS-010,Urban,180941,177377,3564,1.97,1782,1069,713,727,0.41,-83.2,No
HELS-010-2,HELS-010,Urban,204942,200618,4324,2.11,2162,1297,865,1785,0.89,-79.4,No
HELS-010-3,HELS-010,Urban,163279,159459,3820,2.34,1910,1146,764,1371,0.86,-83.4,No
HELS-011-1,HELS-011,Urban,210895,207838,3057,1.45,1529,917,611,2057,0.99,-84.6,No
HELS-011-2,HELS-011,Dense Urban,252106,229997,22109,8.77,11054,6632,4423,5082,2.21,-97.1,Yes
HELS-011-3,HELS-011,Urban,223178,217487,5691,2.55,2845,1707,1139,2501,1.15,-82.1,No
HELS-012-1,HELS-012,Suburban,178807,177699,1108,0.62,554,333,221,2576,1.45,-82.4,No
HELS-012-2,HELS-012,Urban,243824,238558,5266,2.16,2633,1580,1053,2504,1.05,-87.2,No
HELS-012-3,HELS-012,Urban,200408,198825,1583,0.79,791,475,317,2425,1.22,-84.8,No
HELS-013-1,HELS-013,Dense Urban,258169,256543,1626,0.63,813,488,325,3129,1.22,-83.6,No
HELS-013-2,HELS-013,Urban,216375,213498,2877,1.33,1439,863,575,704,0.33,-77.3,No
HELS-013-3,HELS-013,Urban,198130,181864,16266,8.21,8133,4880,3253,3964,2.18,-104.3,Yes
HELS-014-1,HELS-014,Urban,241992,236838,5154,2.13,2577,1546,1031,1184,0.5,-83.8,No
HELS-014-2,HELS-014,Dense Urban,157229,154305,2924,1.86,1462,877,585,1033,0.67,-79.0,No
HELS-014-3,HELS-014,Dense Urban,186158,184948,1210,0.65,605,363,242,591,0.32,-90.8,No
