serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
HELS-001-1,HELS-001-2,1,0.0,-2.4,Yes,Intra-Frequency,2026-04-14
HELS-001-1,HELS-001-3,2,0.0,0.5,Yes,Intra-Frequency,2026-04-14
HELS-001-1,HELS-008-1,3,500.9,5.7,Yes,Inter-Frequency,2026-04-14
HELS-001-1,HELS-008-2,4,500.9,1.5,Yes,Inter-Frequency,2026-04-14
HELS-001-1,HELS-008-3,5,500.9,3.1,Yes,Inter-Frequency,2026-04-14
HELS-001-1,HELS-004-1,6,750.5,0.9,Yes,Inter-Frequency,2026-04-14
HELS-001-1,HELS-004-2,7,750.5,0.8,Yes,Inter-Frequency,2026-04-14
HELS-001-1,HELS-004-3,8,750.5,2.6,Yes,Inter-Frequency,2026-04-14
HELS-001-1,HELS-007-1,9,885.7,-3.4,Yes,Intra-Frequency,2026-04-14
HELS-001-1,HELS-007-2,10,885.7,4.0,Yes,Intra-Frequency,2026-04-14
HELS-001-1,HELS-007-3,11,885.7,1.8,Yes,Intra-Frequency,2026-04-14
HELS-001-1,HELS-005-1,12,1146.2,-0.1,Yes,Intra-Frequency,2026-04-14
HELS-001-1,HELS-005-2,13,1146.2,-5.7,Yes,Intra-Frequency,2026-04-14
HELS-001-1,HELS-005-3,14,1146.2,2.0,Yes,Intra-Frequency,2026-04-14
HELS-001-2,HELS-001-1,1,0.0,-1.5,Yes,Intra-Frequency,2026-04-14
HELS-001-2,HELS-001-3,2,0.0,1.1,Yes,Intra-Frequency,2026-04-14
HELS-001-2,HELS-008-1,3,500.9,0.7,Yes,Inter-Frequency,2026-04-14
HELS-001-2,HELS-008-2,4,500.9,-1.4,Yes,Inter-Frequency,2026-04-14
HELS-001-2,HELS-008-3,5,500.9,3.0,Yes,Inter-Frequency,2026-04-14
HELS-001-2,HELS-004-1,6,750.5,3.9,Yes,Inter-Frequency,2026-04-14
HELS-001-2,HELS-004-2,7,750.5,0.7,Yes,Inter-Frequency,2026-04-14
HELS-001-2,HELS-004-3,8,750.5,4.1,Yes,Inter-Frequency,2026-04-14
HELS-001-2,HELS-007-1,9,885.7,-1.8,Yes,Intra-Frequency,2026-04-14
