timestamp_utc,cell_id,enodeb_id,frequency_band,avg_rsrp_dBm,avg_rsrq_dB,avg_sinr_dB,prb_utilization_dl_pct,prb_utilization_ul_pct,active_ue_avg
2026-04-14 00:00:00,HELS-001-1,HELS-001,Band 1 (2100MHz),-84.3,-7.1,12.3,15.1,3.4,39.7
2026-04-14 00:00:00,HELS-001-2,HELS-001,Band 1 (2100MHz),-83.3,-6.8,18.9,7.4,6.0,0.0
2026-04-14 00:00:00,HELS-001-3,HELS-001,Band 1 (2100MHz),-87.4,-6.2,7.8,1.8,13.6,0.0
2026-04-14 00:00:00,HELS-002-1,HELS-002,Band 3 (1800MHz),-76.0,-10.3,13.4,2.0,7.2,0.0
2026-04-14 00:00:00,HELS-002-2,HELS-002,Band 3 (1800MHz),-85.7,-9.7,22.7,0.0,0.0,0.0
2026-04-14 00:00:00,HELS-002-3,HELS-002,Band 3 (1800MHz),-83.7,-6.9,8.9,0.0,7.0,24.8
2026-04-14 00:00:00,HELS-003-1,HELS-003,Band 1 (2100MHz),-82.4,-9.3,16.4,0.0,0.0,13.8
2026-04-14 00:00:00,HELS-003-2,HELS-003,Band 1 (2100MHz),-84.8,-6.8,16.1,0.0,0.0,0.0
2026-04-14 00:00:00,HELS-003-3,HELS-003,Band 1 (2100MHz),-82.0,-9.9,9.7,27.7,7.7,8.1
2026-04-14 00:00:00,HELS-004-1,HELS-004,Band 3 (1800MHz),-85.7,-8.3,16.1,0.0,0.0,34.2
2026-04-14 00:00:00,HELS-004-2,HELS-004,Band 3 (1800MHz),-97.4,-12.9,3.9,0.0,8.5,29.3
2026-04-14 00:00:00,HELS-004-3,HELS-004,Band 3 (1800MHz),-82.1,-11.8,11.4,2.0,5.4,22.3
2026-04-14 00:00:00,HELS-005-1,HELS-005,Band 1 (2100MHz),-84.6,-7.4,18.6,32.4,0.0,18.5
2026-04-14 00:00:00,HELS-005-2,HELS-005,Band 1 (2100MHz),-80.4,-4.6,11.2,0.0,0.0,60.9
2026-04-14 00:00:00,HELS-005-3,HELS-005,Band 1 (2100MHz),-83.6,-6.7,9.8,4.7,8.9,15.1
2026-04-14 00:00:00,HELS-006-1,HELS-006,Band 3 (1800MHz),-79.9,-7.2,22.4,4.4,2.5,28.0
2026-04-14 00:00:00,HELS-006-2,HELS-006,Band 3 (1800MHz),-85.6,-5.0,7.9,12.4,0.0,5.5
2026-04-14 00:00:00,HELS-006-3,HELS-006,Band 3 (1800MHz),-83.3,-11.1,10.0,17.3,12.6,14.0
2026-04-14 00:00:00,HELS-007-1,HELS-007,Band 1 (2100MHz),-81.3,-8.3,14.5,24.9,4.1,68.4
2026-04-14 00:00:00,HELS-007-2,HELS-007,Band 1 (2100MHz),-83.9,-8.6,18.4,11.8,13.4,5.8
2026-04-14 00:00:00,HELS-007-3,HELS-007,Band 1 (2100MHz),-78.3,-9.6,9.0,0.0,16.7,26.3
2026-04-14 00:00:00,HELS-008-1,HELS-008,Band 3 (1800MHz),-87.7,-7.5,15.5,0.0,0.0,10.4
