cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
HELS-001-1,HELS-001,Helsinki-Site-001,60.171646,24.9639,25,1,-2,5,3,8,Dense Urban,32.7,Band 1 (2100MHz),1,44000,Nokia,LTE,Active
HELS-001-2,HELS-001,Helsinki-Site-001,60.171646,24.9639,29,2,122,4,0,4,Urban,53.6,Band 1 (2100MHz),2,44000,Nokia,LTE,Active
HELS-001-3,HELS-001,Helsinki-Site-001,60.171646,24.9639,36,3,238,5,1,6,Dense Urban,55.1,Band 1 (2100MHz),3,44000,Nokia,LTE,Active
HELS-002-1,HELS-002,Helsinki-Site-002,60.173355,24.921965,32,1,0,6,3,9,Dense Urban,32.1,Band 3 (1800MHz),4,44001,Nokia,LTE,Active
HELS-002-2,HELS-002,Helsinki-Site-002,60.173355,24.921965,25,2,124,5,3,8,Dense Urban,44.4,Band 3 (1800MHz),5,44001,Nokia,LTE,Active
HELS-002-3,HELS-002,Helsinki-Site-002,60.173355,24.921965,41,3,238,3,1,4,Dense Urban,71.7,Band 3 (1800MHz),6,44001,Nokia,LTE,Active
HELS-003-1,HELS-003,Helsinki-Site-003,60.180069,24.913583,26,1,2,4,3,7,Urban,31.9,Band 1 (2100MHz),7,44002,Nokia,LTE,Active
HELS-003-2,HELS-003,Helsinki-Site-003,60.180069,24.913583,43,2,122,6,1,7,Dense Urban,58.4,Band 1 (2100MHz),8,44002,Nokia,LTE,Active
HELS-003-3,HELS-003,Helsinki-Site-003,60.180069,24.913583,47,3,237,2,3,5,Dense Urban,67.6,Band 1 (2100MHz),9,44002,Nokia,LTE,Active
HELS-004-1,HELS-004,Helsinki-Site-004,60.169715,24.950899,25,1,-5,2,2,4,Dense Urban,50.1,Band 3 (1800MHz),10,44003,Nokia,LTE,Active
HELS-004-2,HELS-004,Helsinki-Site-004,60.169715,24.950899,44,2,125,2,1,3,Suburban,62.0,Band 3 (1800MHz),11,44003,Nokia,LTE,Active
HELS-004-3,HELS-004,Helsinki-Site-004,60.169715,24.950899,47,3,241,2,1,3,Suburban,61.2,Band 3 (1800MHz),12,44003,Nokia,LTE,Active
HELS-005-1,HELS-005,Helsinki-Site-005,60.161673,24.958658,43,1,3,6,0,6,Suburban,60.3,Band 1 (2100MHz),13,44004,Nokia,LTE,Active
HELS-005-2,HELS-005,Helsinki-Site-005,60.161673,24.958658,42,2,124,4,2,6,Urban,40.0,Band 1 (2100MHz),14,44004,Nokia,LTE,Active
HELS-005-3,HELS-005,Helsinki-Site-005,60.161673,24.958658,36,3,237,3,0,3,Suburban,53.7,Band 1 (2100MHz),15,44004,Nokia,LTE,Active
HELS-006-1,HELS-006,Helsinki-Site-006,60.164382,24.942167,37,1,-4,6,3,9,Urban,42.7,Band 3 (1800MHz),16,44005,Nokia,LTE,Active
HELS-006-2,HELS-006,Helsinki-Site-006,60.164382,24.942167,33,2,125,4,0,4,Dense Urban,79.4,Band 3 (1800MHz),17,44005,Nokia,LTE,Active
HELS-006-3,HELS-006,Helsinki-Site-006,60.164382,24.942167,27,3,239,4,0,4,Urban,54.6,Band 3 (1800MHz),18,44005,Nokia,LTE,Active
HELS-007-1,HELS-007,Helsinki-Site-007,60.164762,24.955844,26,1,-1,3,2,5,Dense Urban,73.4,Band 1 (2100MHz),19,44006,Nokia,LTE,Active
HELS-007-2,HELS-007,Helsinki-Site-007,60.164762,24.955844,35,2,115,5,0,5,Urban,64.0,Band 1 (2100MHz),20,44006,Nokia,LTE,Active
HELS-007-3,HELS-007,Helsinki-Site-007,60.164762,24.955844,25,3,242,3,0,3,Suburban,46.5,Band 1 (2100MHz),21,44006,Nokia,LTE,Active
HELS-008-1,HELS-008,Helsinki-Site-008,60.168569,24.957285,27,1,0,3,0,3,Suburban,78.7,Band 3 (1800MHz),22,44007,Nokia,LTE,Active
HELS-008-2,HELS-008,Helsinki-Site-008,60.168569,24.957285,50,2,116,5,1,6,Suburban,34.7,Band 3 (1800MHz),23,44007,Nokia,LTE,Active
HELS-008-3,HELS-008,Helsinki-Site-008,60.168569,24.957285,41,3,245,4,3,7,Dense Urban,61.8,Band 3 (1800MHz),24,44007,Nokia,LTE,Active
HELS-009-1,HELS-009,Helsinki-Site-009,60.161102,24.92831,32,1,1,6,0,6,Suburban,40.2,Band 1 (2100MHz),25,44008,Nokia,LTE,Active
HELS-009-2,HELS-009,Helsinki-Site-009,60.161102,24.92831,45,2,115,6,1,7,Suburban,47.3,Band 1 (2100MHz),26,44008,Nokia,LTE,Active
HELS-009-3,HELS-009,Helsinki-Site-009,60.161102,24.92831,33,3,236,5,1,6,Urban,52.0,Band 1 (2100MHz),27,44008,Nokia,LTE,Active
HELS-010-1,HELS-010,Helsinki-Site-010,60.171236,24.940897,40,1,2,4,1,5,Urban,35.6,Band 3 (1800MHz),28,44009,Nokia,LTE,Active
HELS-010-2,HELS-010,Helsinki-Site-010,60.171236,24.940897,28,2,116,6,2,8,Urban,35.0,Band 3 (1800MHz),29,44009,Nokia,LTE,Active
HELS-010-3,HELS-010,Helsinki-Site-010,60.171236,24.940897,32,3,243,5,3,8,Urban,51.5,Band 3 (1800MHz),30,44009,Nokia,LTE,Active
HELS-011-1,HELS-011,Helsinki-Site-011,60.178231,24.927969,32,1,3,2,1,3,Urban,47.8,Band 1 (2100MHz),31,44010,Nokia,LTE,Active
HELS-011-2,HELS-011,Helsinki-Site-011,60.178231,24.927969,48,2,125,3,1,4,Dense Urban,38.1,Band 1 (2100MHz),32,44010,Nokia,LTE,Active
HELS-011-3,HELS-011,Helsinki-Site-011,60.178231,24.927969,46,3,240,6,2,8,Urban,66.9,Band 1 (2100MHz),33,44010,Nokia,LTE,Active
HELS-012-1,HELS-012,Helsinki-Site-012,60.161668,24.918017,43,1,0,6,0,6,Suburban,77.2,Band 3 (1800MHz),34,44011,Nokia,LTE,Active
HELS-012-2,HELS-012,Helsinki-Site-012,60.161668,24.918017,33,2,116,3,3,6,Urban,71.5,Band 3 (1800MHz),35,44011,Nokia,LTE,Active
