cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
HELS-001-1,HELS-001,Dense Urban,266015,260988,5027,1.89,2313,1509,1205,1461,0.56,-81.3,No
HELS-001-2,HELS-001,Dense Urban,212134,197434,14700,6.93,6762,4410,3528,5903,2.99,-94.3,Yes
HELS-001-3,HELS-001,Urban,171299,152285,19014,11.1,8746,5704,4564,6761,4.44,-99.0,Yes
HELS-002-1,HELS-002,Suburban,203015,200945,2070,1.02,952,621,497,3114,1.55,-84.9,No
HELS-002-2,HELS-002,Suburban,178384,173390,4994,2.8,2297,1498,1199,1768,1.02,-82.4,No
HELS-002-3,HELS-002,Urban,219345,215836,3509,1.6,1614,1053,842,2093,0.97,-88.3,No
HELS-003-1,HELS-003,Urban,195863,191359,4504,2.3,2072,1351,1081,2908,1.52,-76.6,No
HELS-003-2,HELS-003,Suburban,257034,255261,1773,0.69,816,532,425,2169,0.85,-89.8,No
HELS-003-3,HELS-003,Dense Urban,180189,176946,3243,1.8,1492,972,779,743,0.42,-80.5,No
HELS-004-1,HELS-004,Suburban,180271,177315,2956,1.64,1359,887,710,1312,0.74,-76.0,No
HELS-004-2,HELS-004,Suburban,195092,191756,3336,1.71,1534,1000,802,882,0.46,-78.8,No
HELS-004-3,HELS-004,Urban,151190,148499,2691,1.78,1238,808,645,1187,0.8,-88.7,No
HELS-005-1,HELS-005,Dense Urban,250523,226173,24350,9.72,11201,7305,5844,9634,4.26,-98.8,Yes
HELS-005-2,HELS-005,Urban,289110,284167,4943,1.71,2274,1483,1186,2728,0.96,-89.5,No
HELS-005-3,HELS-005,Dense Urban,285602,277634,7968,2.79,3665,2390,1913,4081,1.47,-85.9,No
HELS-006-1,HELS-006,Dense Urban,267753,266013,1740,0.65,801,522,417,1489,0.56,-76.4,No
HELS-006-2,HELS-006,Urban,178253,173886,4367,2.45,2008,1310,1049,591,0.34,-79.5,No
HELS-006-3,HELS-006,Suburban,204943,200250,4693,2.29,2158,1408,1127,3083,1.54,-81.1,No
HELS-007-1,HELS-007,Dense Urban,274357,268102,6255,2.28,2878,1877,1500,1045,0.39,-89.5,No
HELS-007-2,HELS-007,Suburban,240385,234448,5937,2.47,2731,1781,1425,1805,0.77,-78.9,No
HELS-007-3,HELS-007,Suburban,217346,212282,5064,2.33,2329,1519,1216,2441,1.15,-79.5,No
HELS-008-1,HELS-008,Urban,288162,283091,5071,1.76,2332,1521,1218,4472,1.58,-88.4,No
HELS-008-2,HELS-008,Urban,166440,163395,3045,1.83,1401,914,730,1993,1.22,-77.3,No
HELS-008-3,HELS-008,Suburban,288417,285706,2711,0.94,1248,813,650,2571,0.9,-82.2,No
HELS-009-1,HELS-009,Dense Urban,277817,272622,5195,1.87,2390,1559,1246,3898,1.43,-84.4,No
HELS-009-2,HELS-009,Suburban,174886,172176,2710,1.55,1246,813,651,2617,1.52,-77.6,No
HELS-009-3,HELS-009,Suburban,264585,260035,4550,1.72,2093,1365,1092,2756,1.06,-80.7,No
HELS-010-1,HELS-010,Urban,299688,295043,4645,1.55,2137,1394,1114,1947,0.66,-85.0,No
HELS-010-2,HELS-010,Dense Urban,181354,178870,2484,1.37,1143,745,596,1645,0.92,-72.5,No
HELS-010-3,HELS-010,Suburban,234213,231590,2623,1.12,1207,787,629,3288,1.42,-79.6,No
HELS-011-1,HELS-011,Dense Urban,251608,246853,4755,1.89,2187,1426,1142,1653,0.67,-85.1,No
HELS-011-2,HELS-011,Suburban,262542,257475,5067,1.93,2331,1520,1216,1544,0.6,-82.5,No
HELS-011-3,HELS-011,Dense Urban,224249,222029,2220,0.99,1021,666,533,1110,0.5,-82.8,No
HELS-012-1,HELS-012,Dense Urban,264299,260044,4255,1.61,1957,1276,1022,2834,1.09,-90.2,No
HELS-012-2,HELS-012,Dense Urban,257776,236226,21550,8.36,9913,6465,5172,6685,2.83,-95.9,Yes
HELS-012-3,HELS-012,Urban,242750,237750,5000,2.06,2300,1500,1200,2853,1.2,-79.9,No
HELS-013-1,HELS-013,Suburban,201990,198516,3474,1.72,1598,1042,834,3136,1.58,-85.0,No
HELS-013-2,HELS-013,Urban,298506,292775,5731,1.92,2636,1720,1375,1698,0.58,-85.7,No
HELS-013-3,HELS-013,Urban,192148,187652,4496,2.34,2068,1349,1079,1313,0.7,-85.6,No
HELS-014-1,HELS-014,Urban,184533,182983,1550,0.84,713,465,372,1683,0.92,-77.8,No
HELS-014-2,HELS-014,Dense Urban,287525,283385,4140,1.44,1904,1242,994,1105,0.39,-83.0,No
HELS-014-3,HELS-014,Suburban,296781,291380,5401,1.82,2485,1621,1295,4662,1.6,-86.2,No
