serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
HELS-001-1,HELS-001-2,1,0.0,1.0,Yes,Intra-Frequency,2026-07-15
HELS-001-1,HELS-001-3,2,0.0,2.5,Yes,Intra-Frequency,2026-07-15
HELS-001-1,HELS-005-1,3,255.6,-2.4,Yes,Intra-Frequency,2026-07-15
HELS-001-1,HELS-005-2,4,255.6,1.9,Yes,Intra-Frequency,2026-07-15
HELS-001-1,HELS-005-3,5,255.6,5.4,Yes,Intra-Frequency,2026-07-15
HELS-001-1,HELS-010-1,6,260.6,-4.8,Yes,Inter-Frequency,2026-07-15
HELS-001-1,HELS-010-2,7,260.6,4.8,Yes,Inter-Frequency,2026-07-15
HELS-001-1,HELS-010-3,8,260.6,1.6,Yes,Inter-Frequency,2026-07-15
HELS-001-1,HELS-011-1,9,270.5,-3.3,Yes,Intra-Frequency,2026-07-15
HELS-001-2,HELS-001-1,1,0.0,0.7,Yes,Intra-Frequency,2026-07-15
HELS-001-2,HELS-001-3,2,0.0,-5.4,Yes,Intra-Frequency,2026-07-15
HELS-001-2,HELS-005-1,3,255.6,-1.1,Yes,Intra-Frequency,2026-07-15
HELS-001-2,HELS-005-2,4,255.6,-2.5,Yes,Intra-Frequency,2026-07-15
HELS-001-2,HELS-005-3,5,255.6,-2.1,Yes,Intra-Frequency,2026-07-15
HELS-001-2,HELS-010-1,6,260.6,-4.6,Yes,Inter-Frequency,2026-07-15
HELS-001-2,HELS-010-2,7,260.6,-5.5,Yes,Inter-Frequency,2026-07-15
HELS-001-2,HELS-010-3,8,260.6,-2.4,Yes,Inter-Frequency,2026-07-15
HELS-001-2,HELS-011-1,9,270.5,-4.8,Yes,Intra-Frequency,2026-07-15
HELS-001-2,HELS-011-2,10,270.5,0.3,Yes,Intra-Frequency,2026-07-15
HELS-001-2,HELS-011-3,11,270.5,-5.0,Yes,Intra-Frequency,2026-07-15
HELS-001-2,HELS-003-1,12,463.6,3.1,Yes,Intra-Frequency,2026-07-15
HELS-001-2,HELS-003-2,13,463.6,2.9,Yes,Intra-Frequency,2026-07-15
HELS-001-2,HELS-003-3,14,463.6,-1.5,Yes,Intra-Frequency,2026-07-15
HELS-001-3,HELS-001-1,1,0.0,-3.1,Yes,Intra-Frequency,2026-07-15
HELS-001-3,HELS-001-2,2,0.0,-0.8,Yes,Intra-Frequency,2026-07-15
HELS-001-3,HELS-005-1,3,255.6,-5.7,Yes,Intra-Frequency,2026-07-15
HELS-001-3,HELS-005-2,4,255.6,-1.0,Yes,Intra-Frequency,2026-07-15
HELS-001-3,HELS-005-3,5,255.6,-1.7,Yes,Intra-Frequency,2026-07-15
HELS-001-3,HELS-010-1,6,260.6,-5.5,Yes,Inter-Frequency,2026-07-15
HELS-001-3,HELS-010-2,7,260.6,-1.1,Yes,Inter-Frequency,2026-07-15
HELS-001-3,HELS-010-3,8,260.6,-5.3,Yes,Inter-Frequency,2026-07-15
HELS-001-3,HELS-011-1,9,270.5,6.0,Yes,Intra-Frequency,2026-07-15
HELS-001-3,HELS-011-2,10,270.5,-2.5,Yes,Intra-Frequency,2026-07-15
HELS-001-3,HELS-011-3,11,270.5,1.2,Yes,Intra-Frequency,2026-07-15
HELS-001-3,HELS-003-1,12,463.6,0.5,Yes,Intra-Frequency,2026-07-15
HELS-002-1,HELS-002-2,1,0.0,2.1,Yes,Intra-Frequency,2026-07-15
HELS-002-1,HELS-002-3,2,0.0,-0.9,Yes,Intra-Frequency,2026-07-15
HELS-002-1,HELS-004-1,3,395.5,-1.7,Yes,Intra-Frequency,2026-07-15
HELS-002-1,HELS-004-2,4,395.5,1.3,Yes,Intra-Frequency,2026-07-15
HELS-002-1,HELS-004-3,5,395.5,-2.0,Yes,Intra-Frequency,2026-07-15
HELS-002-1,HELS-011-1,6,605.8,-5.2,Yes,Inter-Frequency,2026-07-15
HELS-002-1,HELS-011-2,7,605.8,-5.8,Yes,Inter-Frequency,2026-07-15
HELS-002-1,HELS-011-3,8,605.8,0.1,Yes,Inter-Frequency,2026-07-15
HELS-002-1,HELS-001-1,9,648.1,-0.5,Yes,Inter-Frequency,2026-07-15
HELS-002-1,HELS-001-2,10,648.1,3.4,Yes,Inter-Frequency,2026-07-15
HELS-002-1,HELS-001-3,11,648.1,5.9,Yes,Inter-Frequency,2026-07-15
HELS-002-2,HELS-002-1,1,0.0,-3.3,Yes,Intra-Frequency,2026-07-15
HELS-002-2,HELS-002-3,2,0.0,-5.0,Yes,Intra-Frequency,2026-07-15
HELS-002-2,HELS-004-1,3,395.5,-2.5,Yes,Intra-Frequency,2026-07-15
HELS-002-2,HELS-004-2,4,395.5,2.9,Yes,Intra-Frequency,2026-07-15
HELS-002-2,HELS-004-3,5,395.5,3.4,Yes,Intra-Frequency,2026-07-15
HELS-002-2,HELS-011-1,6,605.8,-4.8,Yes,Inter-Frequency,2026-07-15
HELS-002-2,HELS-011-2,7,605.8,-4.7,Yes,Inter-Frequency,2026-07-15
HELS-002-2,HELS-011-3,8,605.8,4.7,Yes,Inter-Frequency,2026-07-15
HELS-002-2,HELS-001-1,9,648.1,4.0,Yes,Inter-Frequency,2026-07-15
HELS-002-2,HELS-001-2,10,648.1,5.7,Yes,Inter-Frequency,2026-07-15
HELS-002-3,HELS-002-1,1,0.0,3.4,Yes,Intra-Frequency,2026-07-15
HELS-002-3,HELS-002-2,2,0.0,-0.6,Yes,Intra-Frequency,2026-07-15
HELS-002-3,HELS-004-1,3,395.5,-4.4,Yes,Intra-Frequency,2026-07-15
HELS-002-3,HELS-004-2,4,395.5,3.2,Yes,Intra-Frequency,2026-07-15
HELS-002-3,HELS-004-3,5,395.5,0.6,Yes,Intra-Frequency,2026-07-15
HELS-002-3,HELS-011-1,6,605.8,-3.7,Yes,Inter-Frequency,2026-07-15
HELS-002-3,HELS-011-2,7,605.8,5.4,Yes,Inter-Frequency,2026-07-15
HELS-002-3,HELS-011-3,8,605.8,4.8,Yes,Inter-Frequency,2026-07-15
HELS-002-3,HELS-001-1,9,648.1,1.9,Yes,Inter-Frequency,2026-07-15
HELS-002-3,HELS-001-2,10,648.1,5.9,Yes,Inter-Frequency,2026-07-15
HELS-003-1,HELS-003-2,1,0.0,3.6,Yes,Intra-Frequency,2026-07-15
HELS-003-1,HELS-003-3,2,0.0,5.6,Yes,Intra-Frequency,2026-07-15
HELS-003-1,HELS-004-1,3,434.3,-4.0,Yes,Inter-Frequency,2026-07-15
HELS-003-1,HELS-004-2,4,434.3,-1.1,Yes,Inter-Frequency,2026-07-15
HELS-003-1,HELS-004-3,5,434.3,4.1,Yes,Inter-Frequency,2026-07-15
HELS-003-1,HELS-001-1,6,463.6,1.4,Yes,Intra-Frequency,2026-07-15
HELS-003-1,HELS-001-2,7,463.6,4.3,Yes,Intra-Frequency,2026-07-15
HELS-003-1,HELS-001-3,8,463.6,-5.7,Yes,Intra-Frequency,2026-07-15
HELS-003-1,HELS-010-1,9,543.6,3.4,Yes,Inter-Frequency,2026-07-15
HELS-003-2,HELS-003-1,1,0.0,4.3,Yes,Intra-Frequency,2026-07-15
HELS-003-2,HELS-003-3,2,0.0,1.7,Yes,Intra-Frequency,2026-07-15
HELS-003-2,HELS-004-1,3,434.3,2.1,Yes,Inter-Frequency,2026-07-15
HELS-003-2,HELS-004-2,4,434.3,-2.9,Yes,Inter-Frequency,2026-07-15
HELS-003-2,HELS-004-3,5,434.3,0.3,Yes,Inter-Frequency,2026-07-15
HELS-003-2,HELS-001-1,6,463.6,3.1,Yes,Intra-Frequency,2026-07-15
HELS-003-2,HELS-001-2,7,463.6,3.5,Yes,Intra-Frequency,2026-07-15
HELS-003-2,HELS-001-3,8,463.6,-2.5,Yes,Intra-Frequency,2026-07-15
HELS-003-2,HELS-010-1,9,543.6,0.0,Yes,Inter-Frequency,2026-07-15
HELS-003-2,HELS-010-2,10,543.6,-3.9,Yes,Inter-Frequency,2026-07-15
HELS-003-2,HELS-010-3,11,543.6,-4.7,Yes,Inter-Frequency,2026-07-15
HELS-003-3,HELS-003-1,1,0.0,2.7,Yes,Intra-Frequency,2026-07-15
HELS-003-3,HELS-003-2,2,0.0,3.7,Yes,Intra-Frequency,2026-07-15
HELS-003-3,HELS-004-1,3,434.3,3.3,Yes,Inter-Frequency,2026-07-15
HELS-003-3,HELS-004-2,4,434.3,2.4,Yes,Inter-Frequency,2026-07-15
HELS-003-3,HELS-004-3,5,434.3,-2.7,Yes,Inter-Frequency,2026-07-15
HELS-003-3,HELS-001-1,6,463.6,3.8,Yes,Intra-Frequency,2026-07-15
HELS-003-3,HELS-001-2,7,463.6,-4.1,Yes,Intra-Frequency,2026-07-15
HELS-003-3,HELS-001-3,8,463.6,4.1,Yes,Intra-Frequency,2026-07-15
HELS-003-3,HELS-010-1,9,543.6,3.9,Yes,Inter-Frequency,2026-07-15
HELS-003-3,HELS-010-2,10,543.6,-4.7,Yes,Inter-Frequency,2026-07-15
HELS-003-3,HELS-010-3,11,543.6,1.7,Yes,Inter-Frequency,2026-07-15
