cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
HELS-001-1,HELS-001,Helsinki-Site-001,60.161695,24.91729,32,1,1,2,2,4,Dense Urban,50.3,Band 1 (2100MHz),1,44000,Nokia,LTE,Active
HELS-001-2,HELS-001,Helsinki-Site-001,60.161695,24.91729,45,2,125,5,0,5,Dense Urban,36.5,Band 1 (2100MHz),2,44000,Nokia,LTE,Active
HELS-001-3,HELS-001,Helsinki-Site-001,60.161695,24.91729,32,3,244,3,0,3,Urban,32.6,Band 1 (2100MHz),3,44000,Nokia,LTE,Active
HELS-002-1,HELS-002,Helsinki-Site-002,60.160309,24.928668,44,1,0,4,1,5,Suburban,49.7,Band 3 (1800MHz),4,44001,Nokia,LTE,Active
HELS-002-2,HELS-002,Helsinki-Site-002,60.160309,24.928668,40,2,115,5,1,6,Suburban,52.0,Band 3 (1800MHz),5,44001,Nokia,LTE,Active
HELS-002-3,HELS-002,Helsinki-Site-002,60.160309,24.928668,42,3,238,6,2,8,Urban,57.1,Band 3 (1800MHz),6,44001,Nokia,LTE,Active
HELS-003-1,HELS-003,Helsinki-Site-003,60.157582,24.915919,46,1,4,5,3,8,Urban,56.2,Band 1 (2100MHz),7,44002,Nokia,LTE,Active
HELS-003-2,HELS-003,Helsinki-Site-003,60.157582,24.915919,34,2,122,2,1,3,Suburban,55.0,Band 1 (2100MHz),8,44002,Nokia,LTE,Active
HELS-003-3,HELS-003,Helsinki-Site-003,60.157582,24.915919,43,3,241,5,2,7,Dense Urban,44.0,Band 1 (2100MHz),9,44002,Nokia,LTE,Active
HELS-004-1,HELS-004,Helsinki-Site-004,60.157722,24.923762,44,1,2,3,0,3,Suburban,45.1,Band 3 (1800MHz),10,44003,Nokia,LTE,Active
HELS-004-2,HELS-004,Helsinki-Site-004,60.157722,24.923762,38,2,116,4,0,4,Suburban,62.6,Band 3 (1800MHz),11,44003,Nokia,LTE,Active
HELS-004-3,HELS-004,Helsinki-Site-004,60.157722,24.923762,35,3,236,4,2,6,Urban,60.2,Band 3 (1800MHz),12,44003,Nokia,LTE,Active
HELS-005-1,HELS-005,Helsinki-Site-005,60.162602,24.913044,35,1,-1,6,3,9,Dense Urban,30.2,Band 1 (2100MHz),13,44004,Nokia,LTE,Active
HELS-005-2,HELS-005,Helsinki-Site-005,60.162602,24.913044,30,2,115,4,3,7,Urban,78.2,Band 1 (2100MHz),14,44004,Nokia,LTE,Active
HELS-005-3,HELS-005,Helsinki-Site-005,60.162602,24.913044,36,3,235,5,1,6,Dense Urban,68.6,Band 1 (2100MHz),15,44004,Nokia,LTE,Active
HELS-006-1,HELS-006,Helsinki-Site-006,60.165876,24.921687,33,1,3,5,0,5,Dense Urban,46.7,Band 3 (1800MHz),16,44005,Nokia,LTE,Active
HELS-006-2,HELS-006,Helsinki-Site-006,60.165876,24.921687,38,2,117,4,1,5,Urban,63.5,Band 3 (1800MHz),17,44005,Nokia,LTE,Active
HELS-006-3,HELS-006,Helsinki-Site-006,60.165876,24.921687,30,3,236,3,0,3,Suburban,39.8,Band 3 (1800MHz),18,44005,Nokia,LTE,Active
HELS-007-1,HELS-007,Helsinki-Site-007,60.171394,24.931344,30,1,-3,6,1,7,Dense Urban,62.4,Band 1 (2100MHz),19,44006,Nokia,LTE,Active
HELS-007-2,HELS-007,Helsinki-Site-007,60.171394,24.931344,37,2,124,6,2,8,Suburban,78.3,Band 1 (2100MHz),20,44006,Nokia,LTE,Active
HELS-007-3,HELS-007,Helsinki-Site-007,60.171394,24.931344,42,3,240,5,2,7,Suburban,31.1,Band 1 (2100MHz),21,44006,Nokia,LTE,Active
HELS-008-1,HELS-008,Helsinki-Site-008,60.180629,24.948198,40,1,-2,3,1,4,Urban,66.4,Band 3 (1800MHz),22,44007,Nokia,LTE,Active
HELS-008-2,HELS-008,Helsinki-Site-008,60.180629,24.948198,50,2,115,6,2,8,Urban,70.9,Band 3 (1800MHz),23,44007,Nokia,LTE,Active
HELS-008-3,HELS-008,Helsinki-Site-008,60.180629,24.948198,48,3,244,6,2,8,Suburban,71.3,Band 3 (1800MHz),24,44007,Nokia,LTE,Active
HELS-009-1,HELS-009,Helsinki-Site-009,60.165936,24.922057,29,1,4,5,2,7,Dense Urban,74.1,Band 1 (2100MHz),25,44008,Nokia,LTE,Active
HELS-009-2,HELS-009,Helsinki-Site-009,60.165936,24.922057,35,2,117,4,1,5,Suburban,53.0,Band 1 (2100MHz),26,44008,Nokia,LTE,Active
HELS-009-3,HELS-009,Helsinki-Site-009,60.165936,24.922057,33,3,241,4,0,4,Suburban,41.2,Band 1 (2100MHz),27,44008,Nokia,LTE,Active
HELS-010-1,HELS-010,Helsinki-Site-010,60.162199,24.912689,42,1,-1,2,3,5,Urban,40.9,Band 3 (1800MHz),28,44009,Nokia,LTE,Active
HELS-010-2,HELS-010,Helsinki-Site-010,60.162199,24.912689,41,2,123,5,0,5,Dense Urban,79.3,Band 3 (1800MHz),29,44009,Nokia,LTE,Active
HELS-010-3,HELS-010,Helsinki-Site-010,60.162199,24.912689,37,3,237,4,1,5,Suburban,65.5,Band 3 (1800MHz),30,44009,Nokia,LTE,Active
HELS-011-1,HELS-011,Helsinki-Site-011,60.163691,24.920084,43,1,2,2,3,5,Dense Urban,44.9,Band 1 (2100MHz),31,44010,Nokia,LTE,Active
HELS-011-2,HELS-011,Helsinki-Site-011,60.163691,24.920084,26,2,121,6,3,9,Suburban,65.3,Band 1 (2100MHz),32,44010,Nokia,LTE,Active
HELS-011-3,HELS-011,Helsinki-Site-011,60.163691,24.920084,50,3,235,5,0,5,Dense Urban,37.6,Band 1 (2100MHz),33,44010,Nokia,LTE,Active
HELS-012-1,HELS-012,Helsinki-Site-012,60.162758,24.952101,33,1,-1,3,0,3,Dense Urban,55.9,Band 3 (1800MHz),34,44011,Nokia,LTE,Active
HELS-012-2,HELS-012,Helsinki-Site-012,60.162758,24.952101,39,2,121,5,1,6,Dense Urban,51.8,Band 3 (1800MHz),35,44011,Nokia,LTE,Active
HELS-012-3,HELS-012,Helsinki-Site-012,60.162758,24.952101,35,3,241,3,1,4,Urban,32.7,Band 3 (1800MHz),36,44011,Nokia,LTE,Active
HELS-013-1,HELS-013,Helsinki-Site-013,60.156904,24.963023,50,1,5,3,1,4,Suburban,55.8,Band 1 (2100MHz),37,44012,Nokia,LTE,Active
HELS-013-2,HELS-013,Helsinki-Site-013,60.156904,24.963023,33,2,123,5,0,5,Urban,70.4,Band 1 (2100MHz),38,44012,Nokia,LTE,Active
HELS-013-3,HELS-013,Helsinki-Site-013,60.156904,24.963023,27,3,243,2,3,5,Urban,49.3,Band 1 (2100MHz),39,44012,Nokia,LTE,Active
HELS-014-1,HELS-014,Helsinki-Site-014,60.183025,24.931086,25,1,-1,2,3,5,Urban,70.3,Band 3 (1800MHz),40,44013,Nokia,LTE,Active
HELS-014-2,HELS-014,Helsinki-Site-014,60.183025,24.931086,30,2,115,3,2,5,Dense Urban,73.4,Band 3 (1800MHz),41,44013,Nokia,LTE,Active
HELS-014-3,HELS-014,Helsinki-Site-014,60.183025,24.931086,47,3,241,2,3,5,Suburban,69.4,Band 3 (1800MHz),42,44013,Nokia,LTE,Active
