cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
HELS-001-1,HELS-001,Dense Urban,274985,264811,10174,3.7,5087,3052,2035,2277,0.86,-87.4,No
HELS-001-2,HELS-001,Dense Urban,237011,234689,2322,0.98,1161,696,465,3426,1.46,-89.1,No
HELS-001-3,HELS-001,Urban,199302,196512,2790,1.4,1395,837,558,3321,1.69,-90.5,No
HELS-002-1,HELS-002,Dense Urban,238423,234823,3600,1.51,1800,1080,720,1479,0.63,-82.7,No
HELS-002-2,HELS-002,Dense Urban,226648,200471,26177,11.55,13088,7853,5236,5392,2.69,-97.6,Yes
HELS-002-3,HELS-002,Dense Urban,259946,254566,5380,2.07,2690,1614,1076,3589,1.41,-92.2,No
HELS-003-1,HELS-003,Suburban,240931,203274,37657,15.63,18828,11297,7532,8537,4.2,-107.5,Yes
HELS-003-2,HELS-003,Suburban,282173,279521,2652,0.94,1326,796,530,3214,1.15,-82.5,No
HELS-003-3,HELS-003,Suburban,274774,268070,6704,2.44,3352,2012,1340,4718,1.76,-91.6,No
HELS-004-1,HELS-004,Urban,220266,213394,6872,3.12,3436,2062,1374,2005,0.94,-88.9,No
HELS-004-2,HELS-004,Urban,264530,254267,10263,3.88,5131,3079,2053,1957,0.77,-86.0,No
HELS-004-3,HELS-004,Dense Urban,214627,206193,8434,3.93,4217,2531,1686,2391,1.16,-87.1,No
HELS-005-1,HELS-005,Dense Urban,207405,203195,4210,2.03,2105,1263,842,1422,0.7,-89.1,No
HELS-005-2,HELS-005,Suburban,267338,257607,9731,3.64,4865,2919,1947,3735,1.45,-87.9,No
HELS-005-3,HELS-005,Urban,279401,276943,2458,0.88,1229,738,491,3212,1.16,-94.8,No
HELS-006-1,HELS-006,Urban,234522,227276,7246,3.09,3623,2174,1449,3681,1.62,-85.4,No
HELS-006-2,HELS-006,Urban,204584,196954,7630,3.73,3815,2289,1526,2875,1.46,-86.1,No
HELS-006-3,HELS-006,Suburban,282685,278163,4522,1.6,2261,1357,904,4088,1.47,-89.3,No
HELS-007-1,HELS-007,Urban,276573,271291,5282,1.91,2641,1585,1056,4096,1.51,-86.8,No
HELS-007-2,HELS-007,Suburban,254924,250157,4767,1.87,2384,1431,952,4227,1.69,-90.5,No
HELS-007-3,HELS-007,Suburban,239339,234002,5337,2.23,2669,1602,1066,1778,0.76,-83.6,No
HELS-008-1,HELS-008,Dense Urban,257157,248208,8949,3.48,4474,2685,1790,4442,1.79,-84.3,No
HELS-008-2,HELS-008,Suburban,176714,171731,4983,2.82,2491,1495,997,1631,0.95,-90.7,No
HELS-008-3,HELS-008,Suburban,292501,285189,7312,2.5,3656,2194,1462,2110,0.74,-86.6,No
HELS-009-1,HELS-009,Suburban,169196,152395,16801,9.93,8400,5041,3360,5867,3.85,-99.1,Yes
HELS-009-2,HELS-009,Urban,156702,153506,3196,2.04,1598,959,639,736,0.48,-95.1,No
HELS-009-3,HELS-009,Urban,191792,188570,3222,1.68,1611,967,644,3356,1.78,-85.7,No
HELS-010-1,HELS-010,Suburban,182915,176166,6749,3.69,3375,2025,1349,863,0.49,-89.0,No
HELS-010-2,HELS-010,Suburban,283313,277931,5382,1.9,2691,1615,1076,1278,0.46,-90.8,No
HELS-010-3,HELS-010,Urban,261882,217991,43891,16.76,21946,13167,8778,13035,5.98,-98.1,Yes
HELS-011-1,HELS-011,Suburban,177482,172016,5466,3.08,2733,1640,1093,2700,1.57,-91.7,No
HELS-011-2,HELS-011,Dense Urban,202579,198021,4558,2.25,2279,1367,912,2138,1.08,-82.1,No
HELS-011-3,HELS-011,Dense Urban,292973,287553,5420,1.85,2710,1626,1084,4514,1.57,-88.0,No
HELS-012-1,HELS-012,Dense Urban,237991,235207,2784,1.17,1392,835,557,3692,1.57,-89.0,No
HELS-012-2,HELS-012,Suburban,215631,207287,8344,3.87,4172,2504,1668,2487,1.2,-87.8,No
HELS-012-3,HELS-012,Urban,167175,161308,5867,3.51,2933,1760,1174,2097,1.3,-95.8,No
HELS-013-1,HELS-013,Urban,204426,198948,5478,2.68,2739,1644,1095,1551,0.78,-84.3,No
HELS-013-2,HELS-013,Urban,299592,290036,9556,3.19,4778,2867,1911,2581,0.89,-82.7,No
HELS-013-3,HELS-013,Dense Urban,291227,281675,9552,3.28,4776,2865,1911,3689,1.31,-87.1,No
HELS-014-1,HELS-014,Dense Urban,231470,221355,10115,4.37,5058,3035,2022,863,0.39,-89.2,No
HELS-014-2,HELS-014,Suburban,289068,282825,6243,2.16,3122,1873,1248,1753,0.62,-85.1,No
HELS-014-3,HELS-014,Suburban,265229,261278,3951,1.49,1975,1186,790,2795,1.07,-95.4,No
