serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
HELS-001-1,HELS-001-2,1,0.0,-0.1,Yes,Intra-Frequency,2026-01-13
HELS-001-1,HELS-001-3,2,0.0,5.7,Yes,Intra-Frequency,2026-01-13
HELS-001-1,HELS-006-1,3,397.4,-5.8,Yes,Inter-Frequency,2026-01-13
HELS-001-1,HELS-006-2,4,397.4,4.2,Yes,Inter-Frequency,2026-01-13
HELS-001-1,HELS-006-3,5,397.4,0.3,Yes,Inter-Frequency,2026-01-13
HELS-001-1,HELS-012-1,6,413.9,-1.6,Yes,Inter-Frequency,2026-01-13
HELS-001-1,HELS-012-2,7,413.9,1.8,Yes,Inter-Frequency,2026-01-13
HELS-001-1,HELS-012-3,8,413.9,-4.3,Yes,Inter-Frequency,2026-01-13
HELS-001-1,HELS-009-1,9,525.2,-0.5,Yes,Intra-Frequency,2026-01-13
HELS-001-1,HELS-009-2,10,525.2,5.5,Yes,Intra-Frequency,2026-01-13
HELS-001-1,HELS-009-3,11,525.2,-2.3,Yes,Intra-Frequency,2026-01-13
HELS-001-1,HELS-014-1,12,643.8,5.4,Yes,Inter-Frequency,2026-01-13
HELS-001-2,HELS-001-1,1,0.0,1.6,Yes,Intra-Frequency,2026-01-13
HELS-001-2,HELS-001-3,2,0.0,4.3,Yes,Intra-Frequency,2026-01-13
HELS-001-2,HELS-006-1,3,397.4,1.8,Yes,Inter-Frequency,2026-01-13
HELS-001-2,HELS-006-2,4,397.4,3.6,Yes,Inter-Frequency,2026-01-13
HELS-001-2,HELS-006-3,5,397.4,2.0,Yes,Inter-Frequency,2026-01-13
HELS-001-2,HELS-012-1,6,413.9,-2.6,Yes,Inter-Frequency,2026-01-13
HELS-001-2,HELS-012-2,7,413.9,-2.7,Yes,Inter-Frequency,2026-01-13
HELS-001-2,HELS-012-3,8,413.9,0.9,Yes,Inter-Frequency,2026-01-13
HELS-001-2,HELS-009-1,9,525.2,-1.8,Yes,Intra-Frequency,2026-01-13
HELS-001-3,HELS-001-1,1,0.0,2.1,Yes,Intra-Frequency,2026-01-13
HELS-001-3,HELS-001-2,2,0.0,1.5,Yes,Intra-Frequency,2026-01-13
HELS-001-3,HELS-006-1,3,397.4,1.0,Yes,Inter-Frequency,2026-01-13
HELS-001-3,HELS-006-2,4,397.4,1.8,Yes,Inter-Frequency,2026-01-13
HELS-001-3,HELS-006-3,5,397.4,0.9,Yes,Inter-Frequency,2026-01-13
HELS-001-3,HELS-012-1,6,413.9,2.2,Yes,Inter-Frequency,2026-01-13
HELS-001-3,HELS-012-2,7,413.9,3.7,Yes,Inter-Frequency,2026-01-13
HELS-001-3,HELS-012-3,8,413.9,-3.2,Yes,Inter-Frequency,2026-01-13
HELS-001-3,HELS-009-1,9,525.2,1.3,Yes,Intra-Frequency,2026-01-13
HELS-001-3,HELS-009-2,10,525.2,1.8,Yes,Intra-Frequency,2026-01-13
HELS-001-3,HELS-009-3,11,525.2,5.8,Yes,Intra-Frequency,2026-01-13
HELS-001-3,HELS-014-1,12,643.8,5.0,Yes,Inter-Frequency,2026-01-13
HELS-001-3,HELS-014-2,13,643.8,5.2,Yes,Inter-Frequency,2026-01-13
HELS-001-3,HELS-014-3,14,643.8,-5.7,Yes,Inter-Frequency,2026-01-13
HELS-002-1,HELS-002-2,1,0.0,1.3,Yes,Intra-Frequency,2026-01-13
HELS-002-1,HELS-002-3,2,0.0,1.1,Yes,Intra-Frequency,2026-01-13
HELS-002-1,HELS-014-1,3,789.8,3.5,Yes,Intra-Frequency,2026-01-13
HELS-002-1,HELS-014-2,4,789.8,2.8,Yes,Intra-Frequency,2026-01-13
HELS-002-1,HELS-014-3,5,789.8,4.7,Yes,Intra-Frequency,2026-01-13
HELS-002-1,HELS-005-1,6,843.1,0.2,Yes,Inter-Frequency,2026-01-13
HELS-002-1,HELS-005-2,7,843.1,-2.7,Yes,Inter-Frequency,2026-01-13
HELS-002-1,HELS-005-3,8,843.1,3.0,Yes,Inter-Frequency,2026-01-13
HELS-002-2,HELS-002-1,1,0.0,-1.9,Yes,Intra-Frequency,2026-01-13
HELS-002-2,HELS-002-3,2,0.0,-2.8,Yes,Intra-Frequency,2026-01-13
HELS-002-2,HELS-014-1,3,789.8,0.9,Yes,Intra-Frequency,2026-01-13
HELS-002-2,HELS-014-2,4,789.8,-2.9,Yes,Intra-Frequency,2026-01-13
HELS-002-2,HELS-014-3,5,789.8,-0.0,Yes,Intra-Frequency,2026-01-13
HELS-002-2,HELS-005-1,6,843.1,2.8,Yes,Inter-Frequency,2026-01-13
HELS-002-2,HELS-005-2,7,843.1,2.4,Yes,Inter-Frequency,2026-01-13
HELS-002-2,HELS-005-3,8,843.1,-1.0,Yes,Inter-Frequency,2026-01-13
HELS-002-2,HELS-013-1,9,1014.1,2.5,Yes,Inter-Frequency,2026-01-13
HELS-002-3,HELS-002-1,1,0.0,3.6,Yes,Intra-Frequency,2026-01-13
