timestamp_utc,cell_id,enodeb_id,frequency_band,avg_rsrp_dBm,avg_rsrq_dB,avg_sinr_dB,prb_utilization_dl_pct,prb_utilization_ul_pct,active_ue_avg
2026-01-13 00:00:00,HELS-001-1,HELS-001,Band 1 (2100MHz),-91.0,-5.7,19.2,21.6,0.0,0.0
2026-01-13 00:00:00,HELS-001-2,HELS-001,Band 1 (2100MHz),-92.2,-8.6,7.8,0.0,0.0,17.1
2026-01-13 00:00:00,HELS-001-3,HELS-001,Band 1 (2100MHz),-95.1,-6.0,11.0,1.9,0.0,0.0
2026-01-13 00:00:00,HELS-002-1,HELS-002,Band 3 (1800MHz),-85.8,-11.6,5.1,0.6,6.6,48.4
2026-01-13 00:00:00,HELS-002-2,HELS-002,Band 3 (1800MHz),-98.6,-11.1,-6.2,12.4,17.6,2.9
2026-01-13 00:00:00,HELS-002-3,HELS-002,Band 3 (1800MHz),-89.2,-7.3,9.2,8.8,4.0,19.1
2026-01-13 00:00:00,HELS-003-1,HELS-003,Band 1 (2100MHz),-100.8,-11.6,-2.1,0.0,7.1,25.2
2026-01-13 00:00:00,HELS-003-2,HELS-003,Band 1 (2100MHz),-91.6,-7.5,15.8,0.0,1.7,0.0
2026-01-13 00:00:00,HELS-003-3,HELS-003,Band 1 (2100MHz),-90.7,-8.0,12.2,3.1,1.9,7.8
2026-01-13 00:00:00,HELS-004-1,HELS-004,Band 3 (1800MHz),-88.0,-7.2,13.9,11.7,10.4,0.0
2026-01-13 00:00:00,HELS-004-2,HELS-004,Band 3 (1800MHz),-87.2,-9.3,9.8,9.6,16.3,59.0
2026-01-13 00:00:00,HELS-004-3,HELS-004,Band 3 (1800MHz),-89.6,-8.1,17.9,11.2,3.4,25.0
2026-01-13 00:00:00,HELS-005-1,HELS-005,Band 1 (2100MHz),-91.6,-7.4,4.4,10.0,4.2,16.5
2026-01-13 00:00:00,HELS-005-2,HELS-005,Band 1 (2100MHz),-79.0,-8.2,4.6,20.6,14.7,44.2
2026-01-13 00:00:00,HELS-005-3,HELS-005,Band 1 (2100MHz),-90.3,-6.9,16.4,17.7,0.2,0.0
2026-01-13 00:00:00,HELS-006-1,HELS-006,Band 3 (1800MHz),-87.3,-6.8,14.5,10.9,14.7,21.9
2026-01-13 00:00:00,HELS-006-2,HELS-006,Band 3 (1800MHz),-88.2,-11.0,7.6,15.4,9.3,27.3
2026-01-13 00:00:00,HELS-006-3,HELS-006,Band 3 (1800MHz),-85.2,-5.5,6.4,5.9,0.0,0.0
2026-01-13 00:00:00,HELS-007-1,HELS-007,Band 1 (2100MHz),-85.5,-6.4,13.3,0.0,14.0,21.9
2026-01-13 00:00:00,HELS-007-2,HELS-007,Band 1 (2100MHz),-81.5,-6.2,8.7,16.9,0.4,0.0
2026-01-13 00:00:00,HELS-007-3,HELS-007,Band 1 (2100MHz),-85.2,-4.3,7.6,0.0,8.5,5.0
2026-01-13 00:00:00,HELS-008-1,HELS-008,Band 3 (1800MHz),-91.6,-11.5,5.4,12.1,16.7,0.0
2026-01-13 00:00:00,HELS-008-2,HELS-008,Band 3 (1800MHz),-84.4,-6.0,7.6,32.4,0.0,48.0
2026-01-13 00:00:00,HELS-008-3,HELS-008,Band 3 (1800MHz),-83.9,-8.4,14.9,21.0,2.5,15.0
2026-01-13 00:00:00,HELS-009-1,HELS-009,Band 1 (2100MHz),-91.1,-10.1,7.1,0.0,0.0,27.4
2026-01-13 00:00:00,HELS-009-2,HELS-009,Band 1 (2100MHz),-84.4,-8.5,10.8,10.6,1.9,0.0
2026-01-13 00:00:00,HELS-009-3,HELS-009,Band 1 (2100MHz),-92.1,-7.1,12.3,1.2,0.0,0.0
2026-01-13 00:00:00,HELS-010-1,HELS-010,Band 3 (1800MHz),-83.7,-12.2,20.4,20.6,6.2,0.0
2026-01-13 00:00:00,HELS-010-2,HELS-010,Band 3 (1800MHz),-88.9,-8.1,19.7,13.1,14.3,38.1
2026-01-13 00:00:00,HELS-010-3,HELS-010,Band 3 (1800MHz),-101.5,-9.2,8.7,4.0,4.1,0.0
2026-01-13 00:00:00,HELS-011-1,HELS-011,Band 1 (2100MHz),-88.3,-11.4,8.7,0.0,11.4,14.1
2026-01-13 00:00:00,HELS-011-2,HELS-011,Band 1 (2100MHz),-96.7,-9.4,13.9,44.4,7.6,38.1
2026-01-13 00:00:00,HELS-011-3,HELS-011,Band 1 (2100MHz),-87.6,-9.3,24.0,0.0,10.2,4.5
2026-01-13 00:00:00,HELS-012-1,HELS-012,Band 3 (1800MHz),-86.7,-10.6,7.5,1.3,0.0,25.1
2026-01-13 00:00:00,HELS-012-2,HELS-012,Band 3 (1800MHz),-84.3,-7.7,8.1,21.0,0.0,18.5
2026-01-13 00:00:00,HELS-012-3,HELS-012,Band 3 (1800MHz),-88.0,-8.8,5.0,18.8,11.2,0.0
2026-01-13 00:00:00,HELS-013-1,HELS-013,Band 1 (2100MHz),-83.3,-11.1,4.0,11.7,6.0,27.3
2026-01-13 00:00:00,HELS-013-2,HELS-013,Band 1 (2100MHz),-81.2,-9.4,16.4,16.7,0.0,12.3
2026-01-13 00:00:00,HELS-013-3,HELS-013,Band 1 (2100MHz),-90.1,-6.4,4.2,7.1,0.0,11.9
2026-01-13 00:00:00,HELS-014-1,HELS-014,Band 3 (1800MHz),-80.2,-7.7,10.7,0.0,9.3,7.3
2026-01-13 00:00:00,HELS-014-2,HELS-014,Band 3 (1800MHz),-84.7,-6.5,-0.1,8.6,17.1,21.7
2026-01-13 00:00:00,HELS-014-3,HELS-014,Band 3 (1800MHz),-83.8,-5.1,6.5,0.0,10.3,22.9
2026-01-13 01:00:00,HELS-001-1,HELS-001,Band 1 (2100MHz),-90.4,-10.3,20.6,9.4,0.0,4.2
2026-01-13 01:00:00,HELS-001-2,HELS-001,Band 1 (2100MHz),-88.4,-10.0,14.7,6.4,6.5,60.6
2026-01-13 01:00:00,HELS-001-3,HELS-001,Band 1 (2100MHz),-86.9,-11.0,17.5,19.4,12.0,39.5
2026-01-13 01:00:00,HELS-002-1,HELS-002,Band 3 (1800MHz),-88.5,-6.4,13.7,3.7,4.0,8.7
2026-01-13 01:00:00,HELS-002-2,HELS-002,Band 3 (1800MHz),-105.4,-13.2,3.8,19.5,12.7,10.2
2026-01-13 01:00:00,HELS-002-3,HELS-002,Band 3 (1800MHz),-88.6,-11.4,14.2,21.8,15.5,0.0
2026-01-13 01:00:00,HELS-003-1,HELS-003,Band 1 (2100MHz),-102.8,-7.4,10.1,29.0,0.0,4.6
2026-01-13 01:00:00,HELS-003-2,HELS-003,Band 1 (2100MHz),-81.6,-7.7,5.4,0.0,1.5,39.6
2026-01-13 01:00:00,HELS-003-3,HELS-003,Band 1 (2100MHz),-88.2,-9.1,15.9,0.0,0.0,8.0
2026-01-13 01:00:00,HELS-004-1,HELS-004,Band 3 (1800MHz),-91.6,-5.2,13.9,1.0,6.3,9.8
2026-01-13 01:00:00,HELS-004-2,HELS-004,Band 3 (1800MHz),-92.8,-7.7,13.7,4.2,16.9,0.0
2026-01-13 01:00:00,HELS-004-3,HELS-004,Band 3 (1800MHz),-100.9,-7.9,8.8,27.3,9.2,0.0
2026-01-13 01:00:00,HELS-005-1,HELS-005,Band 1 (2100MHz),-93.7,-3.4,12.1,0.0,3.4,24.3
2026-01-13 01:00:00,HELS-005-2,HELS-005,Band 1 (2100MHz),-93.3,-7.8,13.0,19.4,10.4,24.3
2026-01-13 01:00:00,HELS-005-3,HELS-005,Band 1 (2100MHz),-87.3,-10.3,9.7,9.9,4.1,22.9
2026-01-13 01:00:00,HELS-006-1,HELS-006,Band 3 (1800MHz),-86.0,-10.8,17.8,3.7,0.0,47.8
2026-01-13 01:00:00,HELS-006-2,HELS-006,Band 3 (1800MHz),-87.6,-9.0,9.3,11.6,4.0,0.7
