cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
HELS-001-1,HELS-001,Helsinki-Site-001,60.173965,24.94691,35,1,-2,2,1,3,Dense Urban,52.8,Band 1 (2100MHz),1,44000,Nokia,LTE,Active
HELS-001-2,HELS-001,Helsinki-Site-001,60.173965,24.94691,34,2,120,5,0,5,Dense Urban,30.3,Band 1 (2100MHz),2,44000,Nokia,LTE,Active
HELS-001-3,HELS-001,Helsinki-Site-001,60.173965,24.94691,48,3,237,4,1,5,Urban,32.4,Band 1 (2100MHz),3,44000,Nokia,LTE,Active
HELS-002-1,HELS-002,Helsinki-Site-002,60.165101,24.928526,37,1,-2,2,1,3,Dense Urban,31.5,Band 3 (1800MHz),4,44001,Nokia,LTE,Active
HELS-002-2,HELS-002,Helsinki-Site-002,60.165101,24.928526,42,2,119,5,1,6,Dense Urban,52.2,Band 3 (1800MHz),5,44001,Nokia,LTE,Active
HELS-002-3,HELS-002,Helsinki-Site-002,60.165101,24.928526,43,3,235,3,1,4,Dense Urban,33.8,Band 3 (1800MHz),6,44001,Nokia,LTE,Active
HELS-003-1,HELS-003,Helsinki-Site-003,60.175047,24.920595,31,1,-2,5,1,6,Suburban,40.9,Band 1 (2100MHz),7,44002,Nokia,LTE,Active
HELS-003-2,HELS-003,Helsinki-Site-003,60.175047,24.920595,50,2,118,5,0,5,Suburban,45.3,Band 1 (2100MHz),8,44002,Nokia,LTE,Active
HELS-003-3,HELS-003,Helsinki-Site-003,60.175047,24.920595,38,3,241,2,2,4,Suburban,30.1,Band 1 (2100MHz),9,44002,Nokia,LTE,Active
HELS-004-1,HELS-004,Helsinki-Site-004,60.181275,24.959603,34,1,-5,2,0,2,Urban,76.5,Band 3 (1800MHz),10,44003,Nokia,LTE,Active
HELS-004-2,HELS-004,Helsinki-Site-004,60.181275,24.959603,49,2,122,3,1,4,Urban,39.2,Band 3 (1800MHz),11,44003,Nokia,LTE,Active
HELS-004-3,HELS-004,Helsinki-Site-004,60.181275,24.959603,31,3,240,3,0,3,Dense Urban,77.7,Band 3 (1800MHz),12,44003,Nokia,LTE,Active
HELS-005-1,HELS-005,Helsinki-Site-005,60.16161,24.942055,49,1,2,2,3,5,Dense Urban,53.0,Band 1 (2100MHz),13,44004,Nokia,LTE,Active
