cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
RJPN-001-1,RJPN-001,Rural,237016,229788,7228,3.05,1952,3614,1662,1401,0.61,-84.1,No
RJPN-001-2,RJPN-001,Open Area,285839,276578,9261,3.24,2500,4630,2131,2627,0.95,-79.3,No
RJPN-001-3,RJPN-001,Rural,184442,181086,3356,1.82,906,1678,772,2390,1.32,-77.5,No
RJPN-002-1,RJPN-002,Rural,201469,197138,4331,2.15,1170,2165,996,867,0.44,-79.3,No
RJPN-002-2,RJPN-002,Rural,217657,196567,21090,9.69,5695,10545,4850,5150,2.62,-90.0,Yes
RJPN-002-3,RJPN-002,Rural,231019,228548,2471,1.07,667,1236,568,1828,0.8,-85.6,No
RJPN-003-1,RJPN-003,Rural,214895,213262,1633,0.76,441,817,375,2175,1.02,-86.6,No
RJPN-003-2,RJPN-003,Suburban,287720,277593,10127,3.52,2734,5064,2329,1138,0.41,-87.8,No
RJPN-003-3,RJPN-003,Open Area,265998,262833,3165,1.19,855,1583,727,2128,0.81,-86.1,No
RJPN-004-1,RJPN-004,Open Area,280069,271751,8318,2.97,2246,4159,1913,4348,1.6,-85.8,No
RJPN-004-2,RJPN-004,Suburban,207205,202916,4289,2.07,1158,2145,986,3327,1.64,-82.7,No
RJPN-004-3,RJPN-004,Suburban,231857,229562,2295,0.99,620,1148,527,2708,1.18,-81.8,No
RJPN-005-1,RJPN-005,Suburban,280856,278104,2752,0.98,743,1376,633,4755,1.71,-82.4,No
RJPN-005-2,RJPN-005,Rural,189991,187541,2450,1.29,661,1225,564,825,0.44,-84.4,No
RJPN-005-3,RJPN-005,Suburban,256756,247513,9243,3.6,2496,4622,2125,3242,1.31,-87.3,No
RJPN-006-1,RJPN-006,Open Area,226461,222430,4031,1.78,1088,2016,927,1401,0.63,-89.3,No
RJPN-006-2,RJPN-006,Suburban,208804,205025,3779,1.81,1020,1890,869,799,0.39,-80.6,No
RJPN-006-3,RJPN-006,Suburban,245401,239610,5791,2.36,1563,2896,1332,1964,0.82,-79.5,No
RJPN-007-1,RJPN-007,Suburban,296555,290951,5604,1.89,1513,2802,1289,2269,0.78,-86.6,No
RJPN-007-2,RJPN-007,Open Area,233257,225560,7697,3.3,2078,3848,1771,1578,0.7,-92.3,No
RJPN-007-3,RJPN-007,Suburban,202981,200891,2090,1.03,564,1045,481,2209,1.1,-85.8,No
RJPN-008-1,RJPN-008,Open Area,150623,145819,4804,3.19,1297,2402,1105,2420,1.66,-89.2,No
RJPN-008-2,RJPN-008,Open Area,249589,242876,6713,2.69,1813,3356,1544,2623,1.08,-86.3,No
RJPN-008-3,RJPN-008,Rural,160039,155334,4705,2.94,1270,2353,1082,2547,1.64,-83.3,No
RJPN-009-1,RJPN-009,Open Area,168640,166853,1787,1.06,483,893,411,1735,1.04,-89.7,No
RJPN-009-2,RJPN-009,Open Area,187013,181534,5479,2.93,1479,2739,1261,2359,1.3,-82.9,No
RJPN-009-3,RJPN-009,Rural,213856,211803,2053,0.96,554,1027,472,1291,0.61,-78.3,No
RJPN-010-1,RJPN-010,Suburban,180232,176430,3802,2.11,1026,1901,875,688,0.39,-81.8,No
RJPN-010-2,RJPN-010,Suburban,214549,208950,5599,2.61,1512,2799,1288,2193,1.05,-92.1,No
RJPN-010-3,RJPN-010,Open Area,164790,160391,4399,2.67,1188,2199,1012,1780,1.11,-85.1,No
RJPN-011-1,RJPN-011,Open Area,214990,210734,4256,1.98,1149,2128,979,3308,1.57,-86.9,No
RJPN-011-2,RJPN-011,Open Area,179030,167483,11547,6.45,3118,5773,2656,7486,4.47,-101.2,Yes
RJPN-011-3,RJPN-011,Suburban,223978,196407,27571,12.31,7444,13786,6341,5617,2.86,-89.7,Yes
