serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
RJPN-001-1,RJPN-001-2,1,0.0,1.0,Yes,Intra-Frequency,2026-10-13
RJPN-001-1,RJPN-001-3,2,0.0,0.8,Yes,Intra-Frequency,2026-10-13
RJPN-001-1,RJPN-008-1,3,1251.5,4.1,Yes,Inter-Frequency,2026-10-13
RJPN-001-1,RJPN-008-2,4,1251.5,-4.9,Yes,Inter-Frequency,2026-10-13
RJPN-001-1,RJPN-008-3,5,1251.5,0.5,Yes,Inter-Frequency,2026-10-13
RJPN-001-1,RJPN-007-1,6,2772.8,1.7,Yes,Intra-Frequency,2026-10-13
RJPN-001-1,RJPN-007-2,7,2772.8,-2.6,Yes,Intra-Frequency,2026-10-13
RJPN-001-1,RJPN-007-3,8,2772.8,3.1,Yes,Intra-Frequency,2026-10-13
RJPN-001-1,RJPN-002-1,9,3101.5,0.2,Yes,Inter-Frequency,2026-10-13
RJPN-001-1,RJPN-002-2,10,3101.5,-0.4,Yes,Inter-Frequency,2026-10-13
RJPN-001-1,RJPN-002-3,11,3101.5,-4.6,Yes,Inter-Frequency,2026-10-13
RJPN-001-1,RJPN-005-1,12,4638.2,2.6,Yes,Intra-Frequency,2026-10-13
RJPN-001-2,RJPN-001-1,1,0.0,4.9,Yes,Intra-Frequency,2026-10-13
RJPN-001-2,RJPN-001-3,2,0.0,-5.6,Yes,Intra-Frequency,2026-10-13
RJPN-001-2,RJPN-008-1,3,1251.5,-5.8,Yes,Inter-Frequency,2026-10-13
RJPN-001-2,RJPN-008-2,4,1251.5,5.5,Yes,Inter-Frequency,2026-10-13
RJPN-001-2,RJPN-008-3,5,1251.5,-5.5,Yes,Inter-Frequency,2026-10-13
RJPN-001-2,RJPN-007-1,6,2772.8,0.0,Yes,Intra-Frequency,2026-10-13
RJPN-001-2,RJPN-007-2,7,2772.8,-3.1,Yes,Intra-Frequency,2026-10-13
RJPN-001-2,RJPN-007-3,8,2772.8,1.7,Yes,Intra-Frequency,2026-10-13
RJPN-001-2,RJPN-002-1,9,3101.5,-3.3,Yes,Inter-Frequency,2026-10-13
RJPN-001-2,RJPN-002-2,10,3101.5,3.8,Yes,Inter-Frequency,2026-10-13
RJPN-001-3,RJPN-001-1,1,0.0,-4.6,Yes,Intra-Frequency,2026-10-13
RJPN-001-3,RJPN-001-2,2,0.0,3.7,Yes,Intra-Frequency,2026-10-13
RJPN-001-3,RJPN-008-1,3,1251.5,0.9,Yes,Inter-Frequency,2026-10-13
RJPN-001-3,RJPN-008-2,4,1251.5,-2.9,Yes,Inter-Frequency,2026-10-13
RJPN-001-3,RJPN-008-3,5,1251.5,0.0,Yes,Inter-Frequency,2026-10-13
RJPN-001-3,RJPN-007-1,6,2772.8,-0.9,Yes,Intra-Frequency,2026-10-13
RJPN-001-3,RJPN-007-2,7,2772.8,5.9,Yes,Intra-Frequency,2026-10-13
RJPN-001-3,RJPN-007-3,8,2772.8,-3.1,Yes,Intra-Frequency,2026-10-13
RJPN-001-3,RJPN-002-1,9,3101.5,2.4,Yes,Inter-Frequency,2026-10-13
RJPN-001-3,RJPN-002-2,10,3101.5,-3.4,Yes,Inter-Frequency,2026-10-13
RJPN-001-3,RJPN-002-3,11,3101.5,1.7,Yes,Inter-Frequency,2026-10-13
RJPN-001-3,RJPN-005-1,12,4638.2,3.7,Yes,Intra-Frequency,2026-10-13
RJPN-002-1,RJPN-002-2,1,0.0,4.6,Yes,Intra-Frequency,2026-10-13
RJPN-002-1,RJPN-002-3,2,0.0,-4.9,Yes,Intra-Frequency,2026-10-13
RJPN-002-1,RJPN-007-1,3,979.7,-1.4,Yes,Inter-Frequency,2026-10-13
RJPN-002-1,RJPN-007-2,4,979.7,5.2,Yes,Inter-Frequency,2026-10-13
RJPN-002-1,RJPN-007-3,5,979.7,5.4,Yes,Inter-Frequency,2026-10-13
RJPN-002-1,RJPN-009-1,6,3084.7,1.0,Yes,Inter-Frequency,2026-10-13
RJPN-002-1,RJPN-009-2,7,3084.7,-2.1,Yes,Inter-Frequency,2026-10-13
RJPN-002-1,RJPN-009-3,8,3084.7,3.8,Yes,Inter-Frequency,2026-10-13
RJPN-002-2,RJPN-002-1,1,0.0,1.4,Yes,Intra-Frequency,2026-10-13
RJPN-002-2,RJPN-002-3,2,0.0,-4.3,Yes,Intra-Frequency,2026-10-13
RJPN-002-2,RJPN-007-1,3,979.7,-4.1,Yes,Inter-Frequency,2026-10-13
RJPN-002-2,RJPN-007-2,4,979.7,2.0,Yes,Inter-Frequency,2026-10-13
RJPN-002-2,RJPN-007-3,5,979.7,-1.1,Yes,Inter-Frequency,2026-10-13
RJPN-002-2,RJPN-009-1,6,3084.7,-4.4,Yes,Inter-Frequency,2026-10-13
RJPN-002-2,RJPN-009-2,7,3084.7,5.3,Yes,Inter-Frequency,2026-10-13
RJPN-002-2,RJPN-009-3,8,3084.7,3.9,Yes,Inter-Frequency,2026-10-13
RJPN-002-2,RJPN-001-1,9,3101.5,-2.7,Yes,Inter-Frequency,2026-10-13
RJPN-002-3,RJPN-002-1,1,0.0,-1.7,Yes,Intra-Frequency,2026-10-13
RJPN-002-3,RJPN-002-2,2,0.0,1.7,Yes,Intra-Frequency,2026-10-13
RJPN-002-3,RJPN-007-1,3,979.7,-3.6,Yes,Inter-Frequency,2026-10-13
RJPN-002-3,RJPN-007-2,4,979.7,-0.3,Yes,Inter-Frequency,2026-10-13
RJPN-002-3,RJPN-007-3,5,979.7,-2.9,Yes,Inter-Frequency,2026-10-13
RJPN-002-3,RJPN-009-1,6,3084.7,3.5,Yes,Inter-Frequency,2026-10-13
RJPN-002-3,RJPN-009-2,7,3084.7,3.1,Yes,Inter-Frequency,2026-10-13
RJPN-002-3,RJPN-009-3,8,3084.7,1.2,Yes,Inter-Frequency,2026-10-13
RJPN-002-3,RJPN-001-1,9,3101.5,3.2,Yes,Inter-Frequency,2026-10-13
RJPN-002-3,RJPN-001-2,10,3101.5,4.0,Yes,Inter-Frequency,2026-10-13
RJPN-002-3,RJPN-001-3,11,3101.5,-0.9,Yes,Inter-Frequency,2026-10-13
RJPN-003-1,RJPN-003-2,1,0.0,-2.9,Yes,Intra-Frequency,2026-10-13
RJPN-003-1,RJPN-003-3,2,0.0,5.3,Yes,Intra-Frequency,2026-10-13
RJPN-003-1,RJPN-006-1,3,956.6,-1.2,Yes,Inter-Frequency,2026-10-13
RJPN-003-1,RJPN-006-2,4,956.6,-0.6,Yes,Inter-Frequency,2026-10-13
RJPN-003-1,RJPN-006-3,5,956.6,-4.8,Yes,Inter-Frequency,2026-10-13
RJPN-003-1,RJPN-004-1,6,4945.8,-5.4,Yes,Inter-Frequency,2026-10-13
RJPN-003-1,RJPN-004-2,7,4945.8,-4.6,Yes,Inter-Frequency,2026-10-13
RJPN-003-1,RJPN-004-3,8,4945.8,3.1,Yes,Inter-Frequency,2026-10-13
RJPN-003-1,RJPN-007-1,9,5218.7,-3.7,Yes,Intra-Frequency,2026-10-13
RJPN-003-1,RJPN-007-2,10,5218.7,-0.2,Yes,Intra-Frequency,2026-10-13
RJPN-003-1,RJPN-007-3,11,5218.7,3.0,Yes,Intra-Frequency,2026-10-13
RJPN-003-1,RJPN-011-1,12,5360.4,5.5,Yes,Intra-Frequency,2026-10-13
RJPN-003-1,RJPN-011-2,13,5360.4,-5.6,Yes,Intra-Frequency,2026-10-13
RJPN-003-2,RJPN-003-1,1,0.0,-2.7,Yes,Intra-Frequency,2026-10-13
RJPN-003-2,RJPN-003-3,2,0.0,-1.9,Yes,Intra-Frequency,2026-10-13
RJPN-003-2,RJPN-006-1,3,956.6,-3.3,Yes,Inter-Frequency,2026-10-13
RJPN-003-2,RJPN-006-2,4,956.6,-4.2,Yes,Inter-Frequency,2026-10-13
RJPN-003-2,RJPN-006-3,5,956.6,-2.3,Yes,Inter-Frequency,2026-10-13
RJPN-003-2,RJPN-004-1,6,4945.8,-3.9,Yes,Inter-Frequency,2026-10-13
RJPN-003-2,RJPN-004-2,7,4945.8,4.8,Yes,Inter-Frequency,2026-10-13
RJPN-003-2,RJPN-004-3,8,4945.8,-2.8,Yes,Inter-Frequency,2026-10-13
RJPN-003-2,RJPN-007-1,9,5218.7,4.2,Yes,Intra-Frequency,2026-10-13
RJPN-003-2,RJPN-007-2,10,5218.7,3.5,Yes,Intra-Frequency,2026-10-13
RJPN-003-2,RJPN-007-3,11,5218.7,-3.0,Yes,Intra-Frequency,2026-10-13
