cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
RJPN-001-1,RJPN-001,Nagano-Rural-Site-001,36.66589,138.154133,38,1,-1,4,3,7,Rural,64.1,Band 1 (2100MHz),1,41000,NEC,LTE,Active
RJPN-001-2,RJPN-001,Nagano-Rural-Site-001,36.66589,138.154133,28,2,118,3,2,5,Open Area,67.7,Band 1 (2100MHz),2,41000,NEC,LTE,Active
RJPN-001-3,RJPN-001,Nagano-Rural-Site-001,36.66589,138.154133,47,3,245,4,3,7,Rural,36.3,Band 1 (2100MHz),3,41000,NEC,LTE,Active
RJPN-002-1,RJPN-002,Nagano-Rural-Site-002,36.669474,138.188619,30,1,3,3,3,6,Rural,72.1,Band 3 (1800MHz),4,41001,NEC,LTE,Active
RJPN-002-2,RJPN-002,Nagano-Rural-Site-002,36.669474,138.188619,36,2,116,4,3,7,Rural,62.6,Band 3 (1800MHz),5,41001,NEC,LTE,Active
RJPN-002-3,RJPN-002,Nagano-Rural-Site-002,36.669474,138.188619,40,3,239,4,0,4,Rural,59.9,Band 3 (1800MHz),6,41001,NEC,LTE,Active
RJPN-003-1,RJPN-003,Nagano-Rural-Site-003,36.620151,138.212921,50,1,-4,3,1,4,Rural,54.5,Band 1 (2100MHz),7,41002,NEC,LTE,Active
RJPN-003-2,RJPN-003,Nagano-Rural-Site-003,36.620151,138.212921,38,2,116,4,1,5,Suburban,45.9,Band 1 (2100MHz),8,41002,NEC,LTE,Active
RJPN-003-3,RJPN-003,Nagano-Rural-Site-003,36.620151,138.212921,27,3,245,2,2,4,Open Area,57.5,Band 1 (2100MHz),9,41002,NEC,LTE,Active
RJPN-004-1,RJPN-004,Nagano-Rural-Site-004,36.656852,138.244235,30,1,-2,2,2,4,Open Area,45.4,Band 3 (1800MHz),10,41003,NEC,LTE,Active
RJPN-004-2,RJPN-004,Nagano-Rural-Site-004,36.656852,138.244235,28,2,117,3,2,5,Suburban,67.3,Band 3 (1800MHz),11,41003,NEC,LTE,Active
RJPN-004-3,RJPN-004,Nagano-Rural-Site-004,36.656852,138.244235,27,3,236,3,2,5,Suburban,49.2,Band 3 (1800MHz),12,41003,NEC,LTE,Active
RJPN-005-1,RJPN-005,Nagano-Rural-Site-005,36.698419,138.121575,48,1,-1,6,1,7,Suburban,59.5,Band 1 (2100MHz),13,41004,NEC,LTE,Active
RJPN-005-2,RJPN-005,Nagano-Rural-Site-005,36.698419,138.121575,29,2,121,5,1,6,Rural,41.7,Band 1 (2100MHz),14,41004,NEC,LTE,Active
RJPN-005-3,RJPN-005,Nagano-Rural-Site-005,36.698419,138.121575,45,3,245,3,3,6,Suburban,44.7,Band 1 (2100MHz),15,41004,NEC,LTE,Active
RJPN-006-1,RJPN-006,Nagano-Rural-Site-006,36.61213,138.216796,48,1,-2,6,3,9,Open Area,49.7,Band 3 (1800MHz),16,41005,NEC,LTE,Active
RJPN-006-2,RJPN-006,Nagano-Rural-Site-006,36.61213,138.216796,46,2,117,3,1,4,Suburban,46.6,Band 3 (1800MHz),17,41005,NEC,LTE,Active
RJPN-006-3,RJPN-006,Nagano-Rural-Site-006,36.61213,138.216796,46,3,238,5,2,7,Suburban,78.8,Band 3 (1800MHz),18,41005,NEC,LTE,Active
RJPN-007-1,RJPN-007,Nagano-Rural-Site-007,36.66125,138.184677,31,1,4,2,2,4,Suburban,43.6,Band 1 (2100MHz),19,41006,NEC,LTE,Active
RJPN-007-2,RJPN-007,Nagano-Rural-Site-007,36.66125,138.184677,35,2,124,5,2,7,Open Area,63.1,Band 1 (2100MHz),20,41006,NEC,LTE,Active
RJPN-007-3,RJPN-007,Nagano-Rural-Site-007,36.66125,138.184677,36,3,242,6,0,6,Suburban,71.9,Band 1 (2100MHz),21,41006,NEC,LTE,Active
RJPN-008-1,RJPN-008,Nagano-Rural-Site-008,36.658913,138.143124,31,1,-4,4,0,4,Open Area,77.6,Band 3 (1800MHz),22,41007,NEC,LTE,Active
RJPN-008-2,RJPN-008,Nagano-Rural-Site-008,36.658913,138.143124,46,2,122,5,1,6,Open Area,44.6,Band 3 (1800MHz),23,41007,NEC,LTE,Active
RJPN-008-3,RJPN-008,Nagano-Rural-Site-008,36.658913,138.143124,25,3,245,3,1,4,Rural,74.5,Band 3 (1800MHz),24,41007,NEC,LTE,Active
RJPN-009-1,RJPN-009,Nagano-Rural-Site-009,36.676408,138.222109,31,1,4,4,0,4,Open Area,43.6,Band 1 (2100MHz),25,41008,NEC,LTE,Active
RJPN-009-2,RJPN-009,Nagano-Rural-Site-009,36.676408,138.222109,36,2,122,2,3,5,Open Area,32.9,Band 1 (2100MHz),26,41008,NEC,LTE,Active
RJPN-009-3,RJPN-009,Nagano-Rural-Site-009,36.676408,138.222109,49,3,244,5,3,8,Rural,72.0,Band 1 (2100MHz),27,41008,NEC,LTE,Active
RJPN-010-1,RJPN-010,Nagano-Rural-Site-010,36.699871,138.2298,47,1,3,6,3,9,Suburban,44.5,Band 3 (1800MHz),28,41009,NEC,LTE,Active
RJPN-010-2,RJPN-010,Nagano-Rural-Site-010,36.699871,138.2298,44,2,118,6,1,7,Suburban,73.8,Band 3 (1800MHz),29,41009,NEC,LTE,Active
RJPN-010-3,RJPN-010,Nagano-Rural-Site-010,36.699871,138.2298,37,3,239,5,2,7,Open Area,42.9,Band 3 (1800MHz),30,41009,NEC,LTE,Active
RJPN-011-1,RJPN-011,Nagano-Rural-Site-011,36.620542,138.15286,40,1,-4,6,3,9,Open Area,50.5,Band 1 (2100MHz),31,41010,NEC,LTE,Active
RJPN-011-2,RJPN-011,Nagano-Rural-Site-011,36.620542,138.15286,34,2,120,6,2,8,Open Area,58.1,Band 1 (2100MHz),32,41010,NEC,LTE,Active
RJPN-011-3,RJPN-011,Nagano-Rural-Site-011,36.620542,138.15286,44,3,242,2,3,5,Suburban,71.9,Band 1 (2100MHz),33,41010,NEC,LTE,Active
