cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
RJPN-001-1,RJPN-001,Rural,161835,159084,2751,1.7,825,1376,550,1193,0.75,-83.5,No
RJPN-001-2,RJPN-001,Open Area,268417,262351,6066,2.26,1819,3033,1214,2361,0.9,-81.6,No
RJPN-001-3,RJPN-001,Rural,268927,264705,4222,1.57,1267,2111,844,1111,0.42,-83.7,No
RJPN-002-1,RJPN-002,Rural,227501,224271,3230,1.42,969,1615,646,1906,0.85,-85.4,No
RJPN-002-2,RJPN-002,Rural,239255,235762,3493,1.46,1048,1747,698,2475,1.05,-84.7,No
RJPN-002-3,RJPN-002,Rural,191158,186360,4798,2.51,1440,2399,959,1267,0.68,-81.7,No
RJPN-003-1,RJPN-003,Rural,253616,251917,1699,0.67,509,850,340,3249,1.29,-86.6,No
RJPN-003-2,RJPN-003,Rural,211087,207351,3736,1.77,1121,1868,747,1409,0.68,-85.1,No
RJPN-003-3,RJPN-003,Rural,278638,256626,22012,7.9,6603,11006,4403,5928,2.31,-96.7,Yes
RJPN-004-1,RJPN-004,Suburban,266604,262632,3972,1.49,1191,1986,795,1969,0.75,-84.9,No
RJPN-004-2,RJPN-004,Rural,250426,246570,3856,1.54,1157,1928,771,3254,1.32,-80.3,No
RJPN-004-3,RJPN-004,Rural,275542,273779,1763,0.64,529,882,352,2327,0.85,-75.1,No
RJPN-005-1,RJPN-005,Rural,237130,232103,5027,2.12,1508,2513,1006,1253,0.54,-77.7,No
RJPN-005-2,RJPN-005,Suburban,209222,206252,2970,1.42,891,1485,594,948,0.46,-88.5,No
RJPN-005-3,RJPN-005,Suburban,178014,173440,4574,2.57,1372,2287,915,2081,1.2,-76.6,No
RJPN-006-1,RJPN-006,Rural,255560,249810,5750,2.25,1725,2875,1150,1798,0.72,-79.1,No
RJPN-006-2,RJPN-006,Open Area,224059,221976,2083,0.93,625,1041,417,754,0.34,-83.2,No
RJPN-006-3,RJPN-006,Suburban,260885,256529,4356,1.67,1307,2178,871,1487,0.58,-85.4,No
RJPN-007-1,RJPN-007,Rural,196057,192901,3156,1.61,946,1578,632,2102,1.09,-81.0,No
RJPN-007-2,RJPN-007,Rural,150641,148231,2410,1.6,723,1205,482,578,0.39,-85.7,No
RJPN-007-3,RJPN-007,Rural,198205,194420,3785,1.91,1135,1893,757,2371,1.22,-79.2,No
RJPN-008-1,RJPN-008,Rural,196541,194655,1886,0.96,566,943,377,2238,1.15,-87.4,No
RJPN-008-2,RJPN-008,Suburban,222507,218792,3715,1.67,1114,1858,743,2078,0.95,-87.9,No
RJPN-008-3,RJPN-008,Suburban,248464,243446,5018,2.02,1505,2509,1004,1582,0.65,-88.4,No
RJPN-009-1,RJPN-009,Rural,291151,288182,2969,1.02,890,1485,594,4034,1.4,-84.1,No
RJPN-009-2,RJPN-009,Open Area,271286,269035,2251,0.83,676,1125,450,2582,0.96,-83.4,No
RJPN-009-3,RJPN-009,Suburban,297195,290568,6627,2.23,1988,3313,1326,3225,1.11,-85.3,No
RJPN-010-1,RJPN-010,Open Area,247844,246457,1387,0.56,416,694,277,3351,1.36,-81.7,No
RJPN-010-2,RJPN-010,Suburban,275421,271263,4158,1.51,1247,2079,832,3607,1.33,-83.8,No
RJPN-010-3,RJPN-010,Rural,298699,290515,8184,2.74,2456,4092,1636,1859,0.64,-81.7,No
RJPN-011-1,RJPN-011,Suburban,159322,155913,3409,2.14,1022,1705,682,2260,1.45,-86.0,No
RJPN-011-2,RJPN-011,Rural,182191,167252,14939,8.2,4482,7470,2987,7543,4.51,-100.4,Yes
RJPN-011-3,RJPN-011,Rural,290532,274640,15892,5.47,4767,7946,3179,7827,2.85,-99.2,Yes
