serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
RJPN-001-1,RJPN-001-2,1,0.0,3.5,Yes,Intra-Frequency,2026-04-14
RJPN-001-1,RJPN-001-3,2,0.0,-0.3,Yes,Intra-Frequency,2026-04-14
RJPN-001-1,RJPN-006-1,3,2511.4,2.3,Yes,Inter-Frequency,2026-04-14
RJPN-001-1,RJPN-006-2,4,2511.4,-4.1,Yes,Inter-Frequency,2026-04-14
RJPN-001-1,RJPN-006-3,5,2511.4,4.4,Yes,Inter-Frequency,2026-04-14
RJPN-001-1,RJPN-008-1,6,2933.6,1.3,Yes,Inter-Frequency,2026-04-14
RJPN-001-1,RJPN-008-2,7,2933.6,2.8,Yes,Inter-Frequency,2026-04-14
RJPN-001-1,RJPN-008-3,8,2933.6,5.7,Yes,Inter-Frequency,2026-04-14
RJPN-001-1,RJPN-010-1,9,3095.3,-1.9,Yes,Inter-Frequency,2026-04-14
RJPN-001-1,RJPN-010-2,10,3095.3,-1.0,Yes,Inter-Frequency,2026-04-14
RJPN-001-2,RJPN-001-1,1,0.0,-5.2,Yes,Intra-Frequency,2026-04-14
RJPN-001-2,RJPN-001-3,2,0.0,-2.7,Yes,Intra-Frequency,2026-04-14
RJPN-001-2,RJPN-006-1,3,2511.4,-1.6,Yes,Inter-Frequency,2026-04-14
RJPN-001-2,RJPN-006-2,4,2511.4,-0.6,Yes,Inter-Frequency,2026-04-14
RJPN-001-2,RJPN-006-3,5,2511.4,4.9,Yes,Inter-Frequency,2026-04-14
RJPN-001-2,RJPN-008-1,6,2933.6,-3.7,Yes,Inter-Frequency,2026-04-14
RJPN-001-2,RJPN-008-2,7,2933.6,4.0,Yes,Inter-Frequency,2026-04-14
RJPN-001-2,RJPN-008-3,8,2933.6,-2.9,Yes,Inter-Frequency,2026-04-14
RJPN-001-2,RJPN-010-1,9,3095.3,3.8,Yes,Inter-Frequency,2026-04-14
RJPN-001-2,RJPN-010-2,10,3095.3,4.1,Yes,Inter-Frequency,2026-04-14
RJPN-001-2,RJPN-010-3,11,3095.3,-3.8,Yes,Inter-Frequency,2026-04-14
RJPN-001-3,RJPN-001-1,1,0.0,-2.7,Yes,Intra-Frequency,2026-04-14
RJPN-001-3,RJPN-001-2,2,0.0,5.8,Yes,Intra-Frequency,2026-04-14
RJPN-001-3,RJPN-006-1,3,2511.4,0.8,Yes,Inter-Frequency,2026-04-14
RJPN-001-3,RJPN-006-2,4,2511.4,-0.1,Yes,Inter-Frequency,2026-04-14
RJPN-001-3,RJPN-006-3,5,2511.4,-0.4,Yes,Inter-Frequency,2026-04-14
RJPN-001-3,RJPN-008-1,6,2933.6,-4.9,Yes,Inter-Frequency,2026-04-14
RJPN-001-3,RJPN-008-2,7,2933.6,2.2,Yes,Inter-Frequency,2026-04-14
RJPN-001-3,RJPN-008-3,8,2933.6,3.3,Yes,Inter-Frequency,2026-04-14
RJPN-001-3,RJPN-010-1,9,3095.3,-5.5,Yes,Inter-Frequency,2026-04-14
RJPN-001-3,RJPN-010-2,10,3095.3,3.2,Yes,Inter-Frequency,2026-04-14
RJPN-001-3,RJPN-010-3,11,3095.3,5.0,Yes,Inter-Frequency,2026-04-14
RJPN-001-3,RJPN-011-1,12,4318.4,-0.6,Yes,Intra-Frequency,2026-04-14
RJPN-001-3,RJPN-011-2,13,4318.4,-4.9,Yes,Intra-Frequency,2026-04-14
RJPN-002-1,RJPN-002-2,1,0.0,2.6,Yes,Intra-Frequency,2026-04-14
RJPN-002-1,RJPN-002-3,2,0.0,3.3,Yes,Intra-Frequency,2026-04-14
RJPN-002-1,RJPN-003-1,3,2465.0,-1.5,Yes,Inter-Frequency,2026-04-14
RJPN-002-1,RJPN-003-2,4,2465.0,-0.2,Yes,Inter-Frequency,2026-04-14
RJPN-002-1,RJPN-003-3,5,2465.0,3.2,Yes,Inter-Frequency,2026-04-14
RJPN-002-1,RJPN-007-1,6,2605.4,-3.2,Yes,Inter-Frequency,2026-04-14
RJPN-002-1,RJPN-007-2,7,2605.4,-5.7,Yes,Inter-Frequency,2026-04-14
RJPN-002-1,RJPN-007-3,8,2605.4,5.0,Yes,Inter-Frequency,2026-04-14
RJPN-002-1,RJPN-004-1,9,3481.1,-5.4,Yes,Intra-Frequency,2026-04-14
RJPN-002-1,RJPN-004-2,10,3481.1,-3.8,Yes,Intra-Frequency,2026-04-14
RJPN-002-2,RJPN-002-1,1,0.0,-2.5,Yes,Intra-Frequency,2026-04-14
RJPN-002-2,RJPN-002-3,2,0.0,-5.1,Yes,Intra-Frequency,2026-04-14
RJPN-002-2,RJPN-003-1,3,2465.0,0.1,Yes,Inter-Frequency,2026-04-14
RJPN-002-2,RJPN-003-2,4,2465.0,4.0,Yes,Inter-Frequency,2026-04-14
RJPN-002-2,RJPN-003-3,5,2465.0,-1.5,Yes,Inter-Frequency,2026-04-14
RJPN-002-2,RJPN-007-1,6,2605.4,2.7,Yes,Inter-Frequency,2026-04-14
RJPN-002-2,RJPN-007-2,7,2605.4,3.7,Yes,Inter-Frequency,2026-04-14
RJPN-002-2,RJPN-007-3,8,2605.4,-3.2,Yes,Inter-Frequency,2026-04-14
RJPN-002-2,RJPN-004-1,9,3481.1,-3.9,Yes,Intra-Frequency,2026-04-14
RJPN-002-2,RJPN-004-2,10,3481.1,4.5,Yes,Intra-Frequency,2026-04-14
RJPN-002-2,RJPN-004-3,11,3481.1,-3.9,Yes,Intra-Frequency,2026-04-14
RJPN-002-2,RJPN-005-1,12,3786.3,-2.6,Yes,Inter-Frequency,2026-04-14
RJPN-002-2,RJPN-005-2,13,3786.3,-3.5,Yes,Inter-Frequency,2026-04-14
RJPN-002-3,RJPN-002-1,1,0.0,-4.0,Yes,Intra-Frequency,2026-04-14
RJPN-002-3,RJPN-002-2,2,0.0,-3.2,Yes,Intra-Frequency,2026-04-14
RJPN-002-3,RJPN-003-1,3,2465.0,-5.2,Yes,Inter-Frequency,2026-04-14
RJPN-002-3,RJPN-003-2,4,2465.0,-5.9,Yes,Inter-Frequency,2026-04-14
RJPN-002-3,RJPN-003-3,5,2465.0,2.5,Yes,Inter-Frequency,2026-04-14
RJPN-002-3,RJPN-007-1,6,2605.4,-2.6,Yes,Inter-Frequency,2026-04-14
RJPN-002-3,RJPN-007-2,7,2605.4,-0.1,Yes,Inter-Frequency,2026-04-14
RJPN-002-3,RJPN-007-3,8,2605.4,-0.1,Yes,Inter-Frequency,2026-04-14
RJPN-002-3,RJPN-004-1,9,3481.1,-1.5,Yes,Intra-Frequency,2026-04-14
RJPN-002-3,RJPN-004-2,10,3481.1,-1.2,Yes,Intra-Frequency,2026-04-14
RJPN-002-3,RJPN-004-3,11,3481.1,4.3,Yes,Intra-Frequency,2026-04-14
