timestamp_utc,cell_id,enodeb_id,frequency_band,avg_rsrp_dBm,avg_rsrq_dB,avg_sinr_dB,prb_utilization_dl_pct,prb_utilization_ul_pct,active_ue_avg
2026-04-14 00:00:00,RJPN-001-1,RJPN-001,Band 1 (2100MHz),-85.2,-7.0,15.5,10.3,0.0,19.8
2026-04-14 00:00:00,RJPN-001-2,RJPN-001,Band 1 (2100MHz),-81.0,-5.7,9.2,0.0,4.7,0.0
2026-04-14 00:00:00,RJPN-001-3,RJPN-001,Band 1 (2100MHz),-78.4,-10.9,15.9,0.0,0.0,0.0
2026-04-14 00:00:00,RJPN-002-1,RJPN-002,Band 3 (1800MHz),-84.3,-5.1,16.6,8.7,8.7,26.5
2026-04-14 00:00:00,RJPN-002-2,RJPN-002,Band 3 (1800MHz),-89.1,-11.3,20.3,0.0,12.0,8.3
2026-04-14 00:00:00,RJPN-002-3,RJPN-002,Band 3 (1800MHz),-78.1,-10.6,8.8,12.0,5.7,49.2
2026-04-14 00:00:00,RJPN-003-1,RJPN-003,Band 1 (2100MHz),-81.0,-0.6,11.4,3.6,9.0,15.6
2026-04-14 00:00:00,RJPN-003-2,RJPN-003,Band 1 (2100MHz),-83.9,-5.8,18.0,6.7,13.4,6.9
2026-04-14 00:00:00,RJPN-003-3,RJPN-003,Band 1 (2100MHz),-91.3,-12.3,11.2,0.0,0.0,37.3
2026-04-14 00:00:00,RJPN-004-1,RJPN-004,Band 3 (1800MHz),-85.2,-6.5,9.4,18.0,8.3,0.6
2026-04-14 00:00:00,RJPN-004-2,RJPN-004,Band 3 (1800MHz),-85.9,-4.5,10.9,2.8,0.2,0.0
2026-04-14 00:00:00,RJPN-004-3,RJPN-004,Band 3 (1800MHz),-83.0,-8.1,2.3,2.0,9.7,0.0
2026-04-14 00:00:00,RJPN-005-1,RJPN-005,Band 1 (2100MHz),-89.1,-11.2,20.1,1.4,7.9,23.2
2026-04-14 00:00:00,RJPN-005-2,RJPN-005,Band 1 (2100MHz),-87.5,-6.2,15.3,14.8,7.4,15.8
2026-04-14 00:00:00,RJPN-005-3,RJPN-005,Band 1 (2100MHz),-85.8,-7.8,25.8,10.3,17.1,0.0
2026-04-14 00:00:00,RJPN-006-1,RJPN-006,Band 3 (1800MHz),-81.3,-9.0,12.9,33.0,2.1,44.9
2026-04-14 00:00:00,RJPN-006-2,RJPN-006,Band 3 (1800MHz),-82.2,-8.0,21.2,9.0,25.6,0.0
2026-04-14 00:00:00,RJPN-006-3,RJPN-006,Band 3 (1800MHz),-86.8,-8.8,17.5,0.0,10.1,0.0
2026-04-14 00:00:00,RJPN-007-1,RJPN-007,Band 1 (2100MHz),-85.2,-8.5,13.2,20.9,18.4,11.4
2026-04-14 00:00:00,RJPN-007-2,RJPN-007,Band 1 (2100MHz),-85.0,-4.9,19.2,0.0,8.0,13.9
2026-04-14 00:00:00,RJPN-007-3,RJPN-007,Band 1 (2100MHz),-87.8,-9.8,16.1,5.3,0.0,17.6
2026-04-14 00:00:00,RJPN-008-1,RJPN-008,Band 3 (1800MHz),-82.1,-6.7,12.8,10.3,11.5,20.9
2026-04-14 00:00:00,RJPN-008-2,RJPN-008,Band 3 (1800MHz),-85.7,-9.0,16.4,8.5,0.0,41.5
2026-04-14 00:00:00,RJPN-008-3,RJPN-008,Band 3 (1800MHz),-80.9,-7.0,17.9,21.1,0.0,0.0
2026-04-14 00:00:00,RJPN-009-1,RJPN-009,Band 1 (2100MHz),-88.3,-6.8,17.1,10.9,0.0,17.4
2026-04-14 00:00:00,RJPN-009-2,RJPN-009,Band 1 (2100MHz),-82.1,-10.8,7.2,15.9,0.0,34.5
2026-04-14 00:00:00,RJPN-009-3,RJPN-009,Band 1 (2100MHz),-80.9,-10.7,24.4,1.3,0.0,0.0
2026-04-14 00:00:00,RJPN-010-1,RJPN-010,Band 3 (1800MHz),-85.4,-4.8,8.8,6.4,9.1,0.0
2026-04-14 00:00:00,RJPN-010-2,RJPN-010,Band 3 (1800MHz),-79.9,-8.3,11.6,16.7,4.0,5.2
2026-04-14 00:00:00,RJPN-010-3,RJPN-010,Band 3 (1800MHz),-82.1,-8.5,8.0,17.6,0.0,3.0
