cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
RJPN-001-1,RJPN-001,Nagano-Rural-Site-001,36.616686,138.189971,47,1,4,4,1,5,Rural,39.2,Band 1 (2100MHz),1,41000,NEC,LTE,Active
RJPN-001-2,RJPN-001,Nagano-Rural-Site-001,36.616686,138.189971,47,2,118,6,2,8,Open Area,39.2,Band 1 (2100MHz),2,41000,NEC,LTE,Active
RJPN-001-3,RJPN-001,Nagano-Rural-Site-001,36.616686,138.189971,44,3,242,2,3,5,Rural,43.0,Band 1 (2100MHz),3,41000,NEC,LTE,Active
RJPN-002-1,RJPN-002,Nagano-Rural-Site-002,36.696844,138.149622,43,1,3,3,1,4,Rural,47.7,Band 3 (1800MHz),4,41001,NEC,LTE,Active
RJPN-002-2,RJPN-002,Nagano-Rural-Site-002,36.696844,138.149622,39,2,122,4,1,5,Rural,59.6,Band 3 (1800MHz),5,41001,NEC,LTE,Active
RJPN-002-3,RJPN-002,Nagano-Rural-Site-002,36.696844,138.149622,45,3,238,6,0,6,Rural,46.3,Band 3 (1800MHz),6,41001,NEC,LTE,Active
RJPN-003-1,RJPN-003,Nagano-Rural-Site-003,36.67481,138.152665,32,1,-3,4,0,4,Rural,76.2,Band 1 (2100MHz),7,41002,NEC,LTE,Active
RJPN-003-2,RJPN-003,Nagano-Rural-Site-003,36.67481,138.152665,42,2,118,2,3,5,Rural,50.4,Band 1 (2100MHz),8,41002,NEC,LTE,Active
RJPN-003-3,RJPN-003,Nagano-Rural-Site-003,36.67481,138.152665,47,3,236,3,0,3,Rural,67.9,Band 1 (2100MHz),9,41002,NEC,LTE,Active
RJPN-004-1,RJPN-004,Nagano-Rural-Site-004,36.666088,138.15691,28,1,-1,3,3,6,Suburban,52.7,Band 3 (1800MHz),10,41003,NEC,LTE,Active
RJPN-004-2,RJPN-004,Nagano-Rural-Site-004,36.666088,138.15691,26,2,123,4,0,4,Rural,72.3,Band 3 (1800MHz),11,41003,NEC,LTE,Active
RJPN-004-3,RJPN-004,Nagano-Rural-Site-004,36.666088,138.15691,33,3,244,6,2,8,Rural,76.1,Band 3 (1800MHz),12,41003,NEC,LTE,Active
RJPN-005-1,RJPN-005,Nagano-Rural-Site-005,36.67197,138.17862,36,1,4,3,1,4,Rural,38.1,Band 1 (2100MHz),13,41004,NEC,LTE,Active
RJPN-005-2,RJPN-005,Nagano-Rural-Site-005,36.67197,138.17862,41,2,116,2,3,5,Suburban,41.8,Band 1 (2100MHz),14,41004,NEC,LTE,Active
RJPN-005-3,RJPN-005,Nagano-Rural-Site-005,36.67197,138.17862,39,3,242,2,1,3,Suburban,41.2,Band 1 (2100MHz),15,41004,NEC,LTE,Active
RJPN-006-1,RJPN-006,Nagano-Rural-Site-006,36.639177,138.187397,27,1,0,4,1,5,Rural,67.7,Band 3 (1800MHz),16,41005,NEC,LTE,Active
RJPN-006-2,RJPN-006,Nagano-Rural-Site-006,36.639177,138.187397,47,2,123,3,2,5,Open Area,39.3,Band 3 (1800MHz),17,41005,NEC,LTE,Active
RJPN-006-3,RJPN-006,Nagano-Rural-Site-006,36.639177,138.187397,49,3,235,2,2,4,Suburban,51.9,Band 3 (1800MHz),18,41005,NEC,LTE,Active
RJPN-007-1,RJPN-007,Nagano-Rural-Site-007,36.689228,138.177256,31,1,5,2,1,3,Rural,79.1,Band 1 (2100MHz),19,41006,NEC,LTE,Active
RJPN-007-2,RJPN-007,Nagano-Rural-Site-007,36.689228,138.177256,45,2,123,3,3,6,Rural,59.2,Band 1 (2100MHz),20,41006,NEC,LTE,Active
RJPN-007-3,RJPN-007,Nagano-Rural-Site-007,36.689228,138.177256,31,3,237,5,0,5,Rural,52.4,Band 1 (2100MHz),21,41006,NEC,LTE,Active
RJPN-008-1,RJPN-008,Nagano-Rural-Site-008,36.638129,138.170819,44,1,2,4,3,7,Rural,76.4,Band 3 (1800MHz),22,41007,NEC,LTE,Active
RJPN-008-2,RJPN-008,Nagano-Rural-Site-008,36.638129,138.170819,30,2,125,3,3,6,Suburban,72.7,Band 3 (1800MHz),23,41007,NEC,LTE,Active
RJPN-008-3,RJPN-008,Nagano-Rural-Site-008,36.638129,138.170819,45,3,236,5,1,6,Suburban,32.4,Band 3 (1800MHz),24,41007,NEC,LTE,Active
RJPN-009-1,RJPN-009,Nagano-Rural-Site-009,36.64947,138.140889,38,1,4,6,2,8,Rural,66.7,Band 1 (2100MHz),25,41008,NEC,LTE,Active
RJPN-009-2,RJPN-009,Nagano-Rural-Site-009,36.64947,138.140889,29,2,120,2,2,4,Open Area,51.0,Band 1 (2100MHz),26,41008,NEC,LTE,Active
RJPN-009-3,RJPN-009,Nagano-Rural-Site-009,36.64947,138.140889,47,3,236,5,3,8,Suburban,40.9,Band 1 (2100MHz),27,41008,NEC,LTE,Active
RJPN-010-1,RJPN-010,Nagano-Rural-Site-010,36.623235,138.22368,34,1,4,5,0,5,Open Area,51.3,Band 3 (1800MHz),28,41009,NEC,LTE,Active
RJPN-010-2,RJPN-010,Nagano-Rural-Site-010,36.623235,138.22368,35,2,118,3,3,6,Suburban,49.7,Band 3 (1800MHz),29,41009,NEC,LTE,Active
RJPN-010-3,RJPN-010,Nagano-Rural-Site-010,36.623235,138.22368,33,3,238,6,2,8,Rural,65.4,Band 3 (1800MHz),30,41009,NEC,LTE,Active
RJPN-011-1,RJPN-011,Nagano-Rural-Site-011,36.622984,138.237718,29,1,2,5,3,8,Suburban,59.8,Band 1 (2100MHz),31,41010,NEC,LTE,Active
RJPN-011-2,RJPN-011,Nagano-Rural-Site-011,36.622984,138.237718,30,2,119,3,0,3,Rural,31.1,Band 1 (2100MHz),32,41010,NEC,LTE,Active
RJPN-011-3,RJPN-011,Nagano-Rural-Site-011,36.622984,138.237718,30,3,239,3,0,3,Rural,38.9,Band 1 (2100MHz),33,41010,NEC,LTE,Active
