cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
RJPN-001-1,RJPN-001,Rural,168504,164427,4077,2.42,1142,2039,896,1052,0.64,-83.1,No
RJPN-001-2,RJPN-001,Rural,276319,271650,4669,1.69,1307,2335,1027,3015,1.11,-89.7,No
RJPN-001-3,RJPN-001,Open Area,192527,190621,1906,0.99,534,953,419,934,0.49,-83.1,No
RJPN-002-1,RJPN-002,Open Area,275650,252138,23512,8.53,6584,11756,5172,7286,2.89,-103.7,Yes
RJPN-002-2,RJPN-002,Suburban,288604,285863,2741,0.95,768,1370,603,3944,1.38,-84.7,No
RJPN-002-3,RJPN-002,Suburban,245784,242294,3490,1.42,977,1745,768,3295,1.36,-90.2,No
RJPN-003-1,RJPN-003,Open Area,152593,150244,2349,1.54,658,1175,516,1457,0.97,-81.9,No
RJPN-003-2,RJPN-003,Rural,217009,210695,6314,2.91,1768,3157,1389,1685,0.8,-86.8,No
RJPN-003-3,RJPN-003,Suburban,269394,264276,5118,1.9,1433,2559,1126,872,0.33,-87.3,No
RJPN-004-1,RJPN-004,Open Area,261053,254475,6578,2.52,1842,3289,1447,3079,1.21,-84.2,No
RJPN-004-2,RJPN-004,Rural,160060,158268,1792,1.12,501,896,395,2010,1.27,-83.6,No
RJPN-004-3,RJPN-004,Rural,161858,160531,1327,0.82,372,663,292,2295,1.43,-88.3,No
RJPN-005-1,RJPN-005,Rural,225706,221802,3904,1.73,1093,1952,859,1042,0.47,-95.1,No
RJPN-005-2,RJPN-005,Rural,206967,204815,2152,1.04,603,1076,473,1290,0.63,-82.4,No
RJPN-005-3,RJPN-005,Rural,294328,289325,5003,1.7,1401,2501,1101,2314,0.8,-88.5,No
RJPN-006-1,RJPN-006,Open Area,298985,292378,6607,2.21,1850,3304,1453,2748,0.94,-88.7,No
RJPN-006-2,RJPN-006,Open Area,289174,281598,7576,2.62,2122,3788,1666,2506,0.89,-84.3,No
RJPN-006-3,RJPN-006,Rural,175425,172689,2736,1.56,766,1368,602,777,0.45,-91.7,No
RJPN-007-1,RJPN-007,Open Area,191205,188280,2925,1.53,819,1462,644,1430,0.76,-93.8,No
RJPN-007-2,RJPN-007,Rural,278703,276697,2006,0.72,561,1003,442,1494,0.54,-82.6,No
RJPN-007-3,RJPN-007,Suburban,176557,173644,2913,1.65,815,1457,641,1302,0.75,-89.0,No
RJPN-008-1,RJPN-008,Open Area,235014,227377,7637,3.25,2138,3818,1681,1159,0.51,-85.0,No
RJPN-008-2,RJPN-008,Open Area,297988,291731,6257,2.1,1752,3129,1376,1517,0.52,-95.2,No
RJPN-008-3,RJPN-008,Rural,231494,226471,5023,2.17,1407,2512,1104,1540,0.68,-76.4,No
RJPN-009-1,RJPN-009,Suburban,212204,208512,3692,1.74,1033,1846,813,2773,1.33,-98.7,No
RJPN-009-2,RJPN-009,Suburban,176680,174949,1731,0.98,485,866,380,2326,1.33,-90.3,No
RJPN-009-3,RJPN-009,Suburban,261478,253974,7504,2.87,2101,3752,1651,2666,1.05,-84.1,No
RJPN-010-1,RJPN-010,Suburban,242692,236188,6504,2.68,1821,3252,1431,3141,1.33,-87.0,No
RJPN-010-2,RJPN-010,Open Area,288358,282937,5421,1.88,1518,2711,1192,3168,1.12,-82.6,No
RJPN-010-3,RJPN-010,Rural,294015,256205,37810,12.86,10587,18905,8318,8659,3.38,-96.4,Yes
RJPN-011-1,RJPN-011,Suburban,198281,185512,12769,6.44,3575,6384,2810,7086,3.82,-99.1,Yes
RJPN-011-2,RJPN-011,Open Area,165003,160334,4669,2.83,1307,2335,1027,1330,0.83,-84.0,No
RJPN-011-3,RJPN-011,Suburban,234095,229039,5056,2.16,1416,2528,1112,2290,1.0,-89.3,No
