serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
RJPN-001-1,RJPN-001-2,1,0.0,-1.6,Yes,Intra-Frequency,2026-07-15
RJPN-001-1,RJPN-001-3,2,0.0,-1.7,Yes,Intra-Frequency,2026-07-15
RJPN-001-1,RJPN-004-1,3,2452.7,-5.4,Yes,Inter-Frequency,2026-07-15
RJPN-001-1,RJPN-004-2,4,2452.7,-4.0,Yes,Inter-Frequency,2026-07-15
RJPN-001-1,RJPN-004-3,5,2452.7,5.1,Yes,Inter-Frequency,2026-07-15
RJPN-001-1,RJPN-007-1,6,3432.8,-4.8,Yes,Intra-Frequency,2026-07-15
RJPN-001-1,RJPN-007-2,7,3432.8,5.3,Yes,Intra-Frequency,2026-07-15
RJPN-001-1,RJPN-007-3,8,3432.8,2.9,Yes,Intra-Frequency,2026-07-15
RJPN-001-1,RJPN-011-1,9,3859.8,5.4,Yes,Intra-Frequency,2026-07-15
RJPN-001-2,RJPN-001-1,1,0.0,-3.1,Yes,Intra-Frequency,2026-07-15
RJPN-001-2,RJPN-001-3,2,0.0,-2.7,Yes,Intra-Frequency,2026-07-15
RJPN-001-2,RJPN-004-1,3,2452.7,-2.3,Yes,Inter-Frequency,2026-07-15
RJPN-001-2,RJPN-004-2,4,2452.7,-4.1,Yes,Inter-Frequency,2026-07-15
RJPN-001-2,RJPN-004-3,5,2452.7,4.5,Yes,Inter-Frequency,2026-07-15
RJPN-001-2,RJPN-007-1,6,3432.8,5.6,Yes,Intra-Frequency,2026-07-15
RJPN-001-2,RJPN-007-2,7,3432.8,0.1,Yes,Intra-Frequency,2026-07-15
RJPN-001-2,RJPN-007-3,8,3432.8,5.6,Yes,Intra-Frequency,2026-07-15
RJPN-001-2,RJPN-011-1,9,3859.8,-5.7,Yes,Intra-Frequency,2026-07-15
RJPN-001-2,RJPN-011-2,10,3859.8,-4.9,Yes,Intra-Frequency,2026-07-15
RJPN-001-2,RJPN-011-3,11,3859.8,4.7,Yes,Intra-Frequency,2026-07-15
RJPN-001-2,RJPN-006-1,12,4027.3,-5.6,Yes,Inter-Frequency,2026-07-15
RJPN-001-2,RJPN-006-2,13,4027.3,4.8,Yes,Inter-Frequency,2026-07-15
RJPN-001-3,RJPN-001-1,1,0.0,3.2,Yes,Intra-Frequency,2026-07-15
RJPN-001-3,RJPN-001-2,2,0.0,-0.9,Yes,Intra-Frequency,2026-07-15
RJPN-001-3,RJPN-004-1,3,2452.7,1.5,Yes,Inter-Frequency,2026-07-15
