cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
RJPN-001-1,RJPN-001,Nagano-Rural-Site-001,36.643415,138.184344,49,1,4,3,2,5,Rural,50.6,Band 1 (2100MHz),1,41000,NEC,LTE,Active
RJPN-001-2,RJPN-001,Nagano-Rural-Site-001,36.643415,138.184344,44,2,124,5,0,5,Rural,73.3,Band 1 (2100MHz),2,41000,NEC,LTE,Active
RJPN-001-3,RJPN-001,Nagano-Rural-Site-001,36.643415,138.184344,46,3,244,4,0,4,Open Area,59.9,Band 1 (2100MHz),3,41000,NEC,LTE,Active
RJPN-002-1,RJPN-002,Nagano-Rural-Site-002,36.667977,138.24495,38,1,-5,5,1,6,Open Area,43.3,Band 3 (1800MHz),4,41001,NEC,LTE,Active
RJPN-002-2,RJPN-002,Nagano-Rural-Site-002,36.667977,138.24495,44,2,123,6,0,6,Suburban,73.5,Band 3 (1800MHz),5,41001,NEC,LTE,Active
RJPN-002-3,RJPN-002,Nagano-Rural-Site-002,36.667977,138.24495,33,3,238,4,3,7,Suburban,74.1,Band 3 (1800MHz),6,41001,NEC,LTE,Active
RJPN-003-1,RJPN-003,Nagano-Rural-Site-003,36.692092,138.186098,40,1,-1,6,0,6,Open Area,44.5,Band 1 (2100MHz),7,41002,NEC,LTE,Active
RJPN-003-2,RJPN-003,Nagano-Rural-Site-003,36.692092,138.186098,37,2,123,6,0,6,Rural,75.7,Band 1 (2100MHz),8,41002,NEC,LTE,Active
RJPN-003-3,RJPN-003,Nagano-Rural-Site-003,36.692092,138.186098,33,3,244,3,2,5,Suburban,38.2,Band 1 (2100MHz),9,41002,NEC,LTE,Active
RJPN-004-1,RJPN-004,Nagano-Rural-Site-004,36.638671,138.211191,41,1,0,3,2,5,Open Area,35.5,Band 3 (1800MHz),10,41003,NEC,LTE,Active
RJPN-004-2,RJPN-004,Nagano-Rural-Site-004,36.638671,138.211191,32,2,117,6,1,7,Rural,54.8,Band 3 (1800MHz),11,41003,NEC,LTE,Active
RJPN-004-3,RJPN-004,Nagano-Rural-Site-004,36.638671,138.211191,48,3,245,2,0,2,Rural,55.5,Band 3 (1800MHz),12,41003,NEC,LTE,Active
RJPN-005-1,RJPN-005,Nagano-Rural-Site-005,36.660871,138.14403,35,1,-2,6,0,6,Rural,44.1,Band 1 (2100MHz),13,41004,NEC,LTE,Active
RJPN-005-2,RJPN-005,Nagano-Rural-Site-005,36.660871,138.14403,34,2,123,3,2,5,Rural,40.1,Band 1 (2100MHz),14,41004,NEC,LTE,Active
RJPN-005-3,RJPN-005,Nagano-Rural-Site-005,36.660871,138.14403,33,3,245,2,0,2,Rural,42.7,Band 1 (2100MHz),15,41004,NEC,LTE,Active
RJPN-006-1,RJPN-006,Nagano-Rural-Site-006,36.607501,138.190179,36,1,4,6,3,9,Open Area,43.9,Band 3 (1800MHz),16,41005,NEC,LTE,Active
RJPN-006-2,RJPN-006,Nagano-Rural-Site-006,36.607501,138.190179,40,2,124,2,2,4,Open Area,73.4,Band 3 (1800MHz),17,41005,NEC,LTE,Active
RJPN-006-3,RJPN-006,Nagano-Rural-Site-006,36.607501,138.190179,38,3,241,4,3,7,Rural,52.7,Band 3 (1800MHz),18,41005,NEC,LTE,Active
RJPN-007-1,RJPN-007,Nagano-Rural-Site-007,36.671843,138.199351,33,1,1,2,2,4,Open Area,49.0,Band 1 (2100MHz),19,41006,NEC,LTE,Active
RJPN-007-2,RJPN-007,Nagano-Rural-Site-007,36.671843,138.199351,34,2,122,5,0,5,Rural,44.2,Band 1 (2100MHz),20,41006,NEC,LTE,Active
RJPN-007-3,RJPN-007,Nagano-Rural-Site-007,36.671843,138.199351,42,3,242,6,0,6,Suburban,57.6,Band 1 (2100MHz),21,41006,NEC,LTE,Active
RJPN-008-1,RJPN-008,Nagano-Rural-Site-008,36.601442,138.178941,33,1,2,6,2,8,Open Area,76.7,Band 3 (1800MHz),22,41007,NEC,LTE,Active
RJPN-008-2,RJPN-008,Nagano-Rural-Site-008,36.601442,138.178941,42,2,125,6,2,8,Open Area,34.5,Band 3 (1800MHz),23,41007,NEC,LTE,Active
RJPN-008-3,RJPN-008,Nagano-Rural-Site-008,36.601442,138.178941,31,3,241,5,3,8,Rural,55.9,Band 3 (1800MHz),24,41007,NEC,LTE,Active
RJPN-009-1,RJPN-009,Nagano-Rural-Site-009,36.621584,138.22746,43,1,-2,6,3,9,Suburban,55.6,Band 1 (2100MHz),25,41008,NEC,LTE,Active
RJPN-009-2,RJPN-009,Nagano-Rural-Site-009,36.621584,138.22746,37,2,123,5,3,8,Suburban,65.6,Band 1 (2100MHz),26,41008,NEC,LTE,Active
RJPN-009-3,RJPN-009,Nagano-Rural-Site-009,36.621584,138.22746,41,3,239,3,1,4,Suburban,72.0,Band 1 (2100MHz),27,41008,NEC,LTE,Active
RJPN-010-1,RJPN-010,Nagano-Rural-Site-010,36.601615,138.132891,28,1,-1,6,0,6,Suburban,75.6,Band 3 (1800MHz),28,41009,NEC,LTE,Active
RJPN-010-2,RJPN-010,Nagano-Rural-Site-010,36.601615,138.132891,48,2,123,2,2,4,Open Area,73.8,Band 3 (1800MHz),29,41009,NEC,LTE,Active
RJPN-010-3,RJPN-010,Nagano-Rural-Site-010,36.601615,138.132891,29,3,235,5,1,6,Rural,51.5,Band 3 (1800MHz),30,41009,NEC,LTE,Active
