cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
RJPN-001-1,RJPN-001,Open Area,278244,268061,10183,3.66,3054,5092,2037,3082,1.15,-89.2,No
RJPN-001-2,RJPN-001,Rural,179369,172500,6869,3.83,2061,3434,1374,1621,0.94,-80.3,No
RJPN-001-3,RJPN-001,Rural,241362,236439,4923,2.04,1477,2461,985,2860,1.21,-77.6,No
RJPN-002-1,RJPN-002,Open Area,171058,167329,3729,2.18,1119,1864,746,2141,1.28,-90.5,No
RJPN-002-2,RJPN-002,Suburban,251726,246390,5336,2.12,1601,2668,1067,1453,0.59,-89.4,No
RJPN-002-3,RJPN-002,Rural,154019,148136,5883,3.82,1765,2942,1176,2266,1.53,-87.6,No
RJPN-003-1,RJPN-003,Suburban,232581,225418,7163,3.08,2149,3582,1432,2885,1.28,-92.7,No
RJPN-003-2,RJPN-003,Rural,260819,255473,5346,2.05,1604,2673,1069,2554,1.0,-83.2,No
RJPN-003-3,RJPN-003,Suburban,216670,198254,18416,8.5,5525,9208,3683,6562,3.31,-99.0,Yes
RJPN-004-1,RJPN-004,Rural,225169,223030,2139,0.95,642,1070,427,1628,0.73,-82.9,No
RJPN-004-2,RJPN-004,Suburban,265255,257351,7904,2.98,2371,3952,1581,2624,1.02,-81.1,No
RJPN-004-3,RJPN-004,Suburban,172005,158107,13898,8.08,4170,6949,2779,3842,2.43,-102.9,Yes
RJPN-005-1,RJPN-005,Rural,196190,188931,7259,3.7,2178,3629,1452,963,0.51,-84.3,No
RJPN-005-2,RJPN-005,Rural,216140,213093,3047,1.41,914,1523,610,2919,1.37,-87.3,No
RJPN-005-3,RJPN-005,Suburban,218134,214884,3250,1.49,975,1625,650,1654,0.77,-90.0,No
RJPN-006-1,RJPN-006,Suburban,253051,245435,7616,3.01,2285,3808,1523,1668,0.68,-83.6,No
RJPN-006-2,RJPN-006,Suburban,179620,173172,6448,3.59,1934,3224,1290,1212,0.7,-87.8,No
RJPN-006-3,RJPN-006,Rural,244260,237128,7132,2.92,2139,3566,1427,1233,0.52,-90.0,No
RJPN-007-1,RJPN-007,Suburban,180096,175684,4412,2.45,1324,2206,882,1546,0.88,-89.8,No
RJPN-007-2,RJPN-007,Suburban,178677,171870,6807,3.81,2042,3404,1361,842,0.49,-84.0,No
RJPN-007-3,RJPN-007,Suburban,166885,161528,5357,3.21,1607,2679,1071,2406,1.49,-83.5,No
RJPN-008-1,RJPN-008,Open Area,157833,155419,2414,1.53,724,1207,483,761,0.49,-90.5,No
RJPN-008-2,RJPN-008,Rural,200815,192321,8494,4.23,2548,4247,1699,1807,0.94,-85.9,No
RJPN-008-3,RJPN-008,Rural,219544,212607,6937,3.16,2081,3468,1388,3571,1.68,-88.1,No
RJPN-009-1,RJPN-009,Rural,177227,172478,4749,2.68,1425,2374,950,1224,0.71,-85.0,No
RJPN-009-2,RJPN-009,Rural,280837,268930,11907,4.24,3572,5953,2382,1506,0.56,-87.0,No
RJPN-009-3,RJPN-009,Suburban,156279,150575,5704,3.65,1711,2852,1141,2650,1.76,-93.2,No
RJPN-010-1,RJPN-010,Suburban,270842,265507,5335,1.97,1600,2668,1067,4088,1.54,-94.1,No
RJPN-010-2,RJPN-010,Suburban,212597,207070,5527,2.6,1658,2764,1105,973,0.47,-90.7,No
RJPN-010-3,RJPN-010,Open Area,209642,200900,8742,4.17,2623,4371,1748,1145,0.57,-84.5,No
RJPN-011-1,RJPN-011,Open Area,154660,150732,3928,2.54,1178,1964,786,2698,1.79,-92.4,No
RJPN-011-2,RJPN-011,Rural,290156,254177,35979,12.4,10793,17989,7197,7981,3.14,-98.2,Yes
RJPN-011-3,RJPN-011,Rural,251920,246429,5491,2.18,1647,2745,1099,1848,0.75,-87.2,No
