serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
RJPN-001-1,RJPN-001-2,1,0.0,-3.3,Yes,Intra-Frequency,2026-01-13
RJPN-001-1,RJPN-001-3,2,0.0,0.1,Yes,Intra-Frequency,2026-01-13
RJPN-001-1,RJPN-007-1,3,3178.1,4.6,Yes,Intra-Frequency,2026-01-13
RJPN-001-1,RJPN-007-2,4,3178.1,-1.4,Yes,Intra-Frequency,2026-01-13
RJPN-001-1,RJPN-007-3,5,3178.1,-1.9,Yes,Intra-Frequency,2026-01-13
RJPN-001-1,RJPN-005-1,6,3431.2,-0.7,Yes,Intra-Frequency,2026-01-13
RJPN-001-1,RJPN-005-2,7,3431.2,-1.8,Yes,Intra-Frequency,2026-01-13
RJPN-001-1,RJPN-005-3,8,3431.2,-1.7,Yes,Intra-Frequency,2026-01-13
RJPN-001-1,RJPN-002-1,9,3940.8,-0.6,Yes,Inter-Frequency,2026-01-13
RJPN-001-1,RJPN-002-2,10,3940.8,1.1,Yes,Inter-Frequency,2026-01-13
RJPN-001-1,RJPN-002-3,11,3940.8,1.5,Yes,Inter-Frequency,2026-01-13
RJPN-001-1,RJPN-003-1,12,5578.7,-4.9,Yes,Intra-Frequency,2026-01-13
RJPN-001-2,RJPN-001-1,1,0.0,0.3,Yes,Intra-Frequency,2026-01-13
RJPN-001-2,RJPN-001-3,2,0.0,5.0,Yes,Intra-Frequency,2026-01-13
RJPN-001-2,RJPN-007-1,3,3178.1,-5.2,Yes,Intra-Frequency,2026-01-13
RJPN-001-2,RJPN-007-2,4,3178.1,3.9,Yes,Intra-Frequency,2026-01-13
RJPN-001-2,RJPN-007-3,5,3178.1,1.5,Yes,Intra-Frequency,2026-01-13
RJPN-001-2,RJPN-005-1,6,3431.2,2.0,Yes,Intra-Frequency,2026-01-13
RJPN-001-2,RJPN-005-2,7,3431.2,-2.4,Yes,Intra-Frequency,2026-01-13
RJPN-001-2,RJPN-005-3,8,3431.2,1.1,Yes,Intra-Frequency,2026-01-13
RJPN-001-2,RJPN-002-1,9,3940.8,-3.8,Yes,Inter-Frequency,2026-01-13
RJPN-001-3,RJPN-001-1,1,0.0,3.0,Yes,Intra-Frequency,2026-01-13
RJPN-001-3,RJPN-001-2,2,0.0,-5.0,Yes,Intra-Frequency,2026-01-13
RJPN-001-3,RJPN-007-1,3,3178.1,5.2,Yes,Intra-Frequency,2026-01-13
RJPN-001-3,RJPN-007-2,4,3178.1,0.8,Yes,Intra-Frequency,2026-01-13
RJPN-001-3,RJPN-007-3,5,3178.1,-1.9,Yes,Intra-Frequency,2026-01-13
RJPN-001-3,RJPN-005-1,6,3431.2,4.0,Yes,Intra-Frequency,2026-01-13
RJPN-001-3,RJPN-005-2,7,3431.2,3.5,Yes,Intra-Frequency,2026-01-13
RJPN-001-3,RJPN-005-3,8,3431.2,1.5,Yes,Intra-Frequency,2026-01-13
RJPN-001-3,RJPN-002-1,9,3940.8,3.9,Yes,Inter-Frequency,2026-01-13
RJPN-002-1,RJPN-002-2,1,0.0,-5.5,Yes,Intra-Frequency,2026-01-13
RJPN-002-1,RJPN-002-3,2,0.0,3.6,Yes,Intra-Frequency,2026-01-13
RJPN-002-1,RJPN-007-1,3,2106.7,1.6,Yes,Inter-Frequency,2026-01-13
RJPN-002-1,RJPN-007-2,4,2106.7,-4.5,Yes,Inter-Frequency,2026-01-13
RJPN-002-1,RJPN-007-3,5,2106.7,-3.5,Yes,Inter-Frequency,2026-01-13
RJPN-002-1,RJPN-011-1,6,2171.9,5.6,Yes,Inter-Frequency,2026-01-13
RJPN-002-1,RJPN-011-2,7,2171.9,-5.3,Yes,Inter-Frequency,2026-01-13
RJPN-002-1,RJPN-011-3,8,2171.9,-4.8,Yes,Inter-Frequency,2026-01-13
RJPN-002-1,RJPN-008-1,9,2674.5,-4.1,Yes,Intra-Frequency,2026-01-13
RJPN-002-1,RJPN-008-2,10,2674.5,-2.5,Yes,Intra-Frequency,2026-01-13
RJPN-002-1,RJPN-008-3,11,2674.5,-0.1,Yes,Intra-Frequency,2026-01-13
RJPN-002-2,RJPN-002-1,1,0.0,0.5,Yes,Intra-Frequency,2026-01-13
RJPN-002-2,RJPN-002-3,2,0.0,3.6,Yes,Intra-Frequency,2026-01-13
