timestamp_utc,cell_id,enodeb_id,frequency_band,avg_rsrp_dBm,avg_rsrq_dB,avg_sinr_dB,prb_utilization_dl_pct,prb_utilization_ul_pct,active_ue_avg
2026-01-13 00:00:00,RJPN-001-1,RJPN-001,Band 1 (2100MHz),-89.6,-9.4,10.7,0.0,4.9,24.9
2026-01-13 00:00:00,RJPN-001-2,RJPN-001,Band 1 (2100MHz),-83.9,-9.0,12.8,25.7,8.8,32.2
2026-01-13 00:00:00,RJPN-001-3,RJPN-001,Band 1 (2100MHz),-93.7,-10.1,14.4,8.7,0.0,23.5
2026-01-13 00:00:00,RJPN-002-1,RJPN-002,Band 3 (1800MHz),-94.6,-8.6,9.9,26.1,0.0,15.5
2026-01-13 00:00:00,RJPN-002-2,RJPN-002,Band 3 (1800MHz),-91.1,-9.0,14.0,5.7,19.1,1.1
2026-01-13 00:00:00,RJPN-002-3,RJPN-002,Band 3 (1800MHz),-83.5,-9.0,11.1,33.8,9.2,0.0
2026-01-13 00:00:00,RJPN-003-1,RJPN-003,Band 1 (2100MHz),-90.7,-9.8,10.7,2.8,4.7,0.0
2026-01-13 00:00:00,RJPN-003-2,RJPN-003,Band 1 (2100MHz),-86.5,-6.9,23.9,13.3,8.7,27.1
2026-01-13 00:00:00,RJPN-003-3,RJPN-003,Band 1 (2100MHz),-89.1,-16.6,3.2,11.8,5.4,19.8
2026-01-13 00:00:00,RJPN-004-1,RJPN-004,Band 3 (1800MHz),-89.7,-7.1,19.6,15.4,0.0,4.5
2026-01-13 00:00:00,RJPN-004-2,RJPN-004,Band 3 (1800MHz),-91.0,-11.8,12.5,0.0,14.4,0.0
2026-01-13 00:00:00,RJPN-004-3,RJPN-004,Band 3 (1800MHz),-100.5,-12.6,13.2,0.0,15.7,33.0
2026-01-13 00:00:00,RJPN-005-1,RJPN-005,Band 1 (2100MHz),-93.7,-9.3,15.2,23.9,1.8,22.9
2026-01-13 00:00:00,RJPN-005-2,RJPN-005,Band 1 (2100MHz),-83.1,-8.2,16.6,4.7,13.1,16.1
2026-01-13 00:00:00,RJPN-005-3,RJPN-005,Band 1 (2100MHz),-87.0,-8.7,7.7,14.0,0.0,40.2
