cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
RJPN-001-1,RJPN-001,Nagano-Rural-Site-001,36.611419,138.17115,32,1,5,5,0,5,Open Area,45.3,Band 1 (2100MHz),1,41000,NEC,LTE,Active
RJPN-001-2,RJPN-001,Nagano-Rural-Site-001,36.611419,138.17115,49,2,115,6,1,7,Rural,44.5,Band 1 (2100MHz),2,41000,NEC,LTE,Active
RJPN-001-3,RJPN-001,Nagano-Rural-Site-001,36.611419,138.17115,37,3,237,2,2,4,Rural,77.7,Band 1 (2100MHz),3,41000,NEC,LTE,Active
RJPN-002-1,RJPN-002,Nagano-Rural-Site-002,36.646409,138.164131,34,1,4,6,1,7,Open Area,52.9,Band 3 (1800MHz),4,41001,NEC,LTE,Active
RJPN-002-2,RJPN-002,Nagano-Rural-Site-002,36.646409,138.164131,33,2,124,2,1,3,Suburban,56.0,Band 3 (1800MHz),5,41001,NEC,LTE,Active
RJPN-002-3,RJPN-002,Nagano-Rural-Site-002,36.646409,138.164131,36,3,244,5,0,5,Rural,44.6,Band 3 (1800MHz),6,41001,NEC,LTE,Active
RJPN-003-1,RJPN-003,Nagano-Rural-Site-003,36.625062,138.231302,25,1,-1,2,0,2,Suburban,69.5,Band 1 (2100MHz),7,41002,NEC,LTE,Active
RJPN-003-2,RJPN-003,Nagano-Rural-Site-003,36.625062,138.231302,36,2,120,2,3,5,Rural,39.6,Band 1 (2100MHz),8,41002,NEC,LTE,Active
RJPN-003-3,RJPN-003,Nagano-Rural-Site-003,36.625062,138.231302,49,3,237,3,2,5,Suburban,53.4,Band 1 (2100MHz),9,41002,NEC,LTE,Active
RJPN-004-1,RJPN-004,Nagano-Rural-Site-004,36.698919,138.116432,26,1,-4,6,1,7,Rural,71.2,Band 3 (1800MHz),10,41003,NEC,LTE,Active
RJPN-004-2,RJPN-004,Nagano-Rural-Site-004,36.698919,138.116432,25,2,115,5,1,6,Suburban,52.9,Band 3 (1800MHz),11,41003,NEC,LTE,Active
RJPN-004-3,RJPN-004,Nagano-Rural-Site-004,36.698919,138.116432,25,3,242,2,3,5,Suburban,59.8,Band 3 (1800MHz),12,41003,NEC,LTE,Active
RJPN-005-1,RJPN-005,Nagano-Rural-Site-005,36.628977,138.202766,40,1,-4,3,0,3,Rural,34.7,Band 1 (2100MHz),13,41004,NEC,LTE,Active
RJPN-005-2,RJPN-005,Nagano-Rural-Site-005,36.628977,138.202766,46,2,124,6,3,9,Rural,72.5,Band 1 (2100MHz),14,41004,NEC,LTE,Active
RJPN-005-3,RJPN-005,Nagano-Rural-Site-005,36.628977,138.202766,29,3,237,2,0,2,Suburban,62.0,Band 1 (2100MHz),15,41004,NEC,LTE,Active
RJPN-006-1,RJPN-006,Nagano-Rural-Site-006,36.684122,138.155054,32,1,-4,2,3,5,Suburban,70.4,Band 3 (1800MHz),16,41005,NEC,LTE,Active
RJPN-006-2,RJPN-006,Nagano-Rural-Site-006,36.684122,138.155054,50,2,115,3,0,3,Suburban,35.6,Band 3 (1800MHz),17,41005,NEC,LTE,Active
RJPN-006-3,RJPN-006,Nagano-Rural-Site-006,36.684122,138.155054,29,3,239,4,0,4,Rural,57.8,Band 3 (1800MHz),18,41005,NEC,LTE,Active
