cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
KYIV-001-1,KYIV-001,Urban,188004,183737,4267,2.27,2049,1280,938,2719,1.48,-84.1,No
KYIV-001-2,KYIV-001,Suburban,183400,182007,1393,0.76,668,418,307,1528,0.84,-84.8,No
KYIV-001-3,KYIV-001,Suburban,221779,219806,1973,0.89,947,592,434,2307,1.05,-88.9,No
KYIV-002-1,KYIV-002,Dense Urban,257596,255819,1777,0.69,853,533,391,2634,1.03,-89.5,No
KYIV-002-2,KYIV-002,Urban,281943,268044,13899,4.93,6672,4170,3057,9542,3.56,-99.4,Yes
KYIV-002-3,KYIV-002,Suburban,188112,183692,4420,2.35,2122,1326,972,1377,0.75,-85.8,No
KYIV-003-1,KYIV-003,Dense Urban,218024,216607,1417,0.65,680,425,312,736,0.34,-83.2,No
KYIV-003-2,KYIV-003,Dense Urban,200702,199197,1505,0.75,722,451,332,2051,1.03,-86.1,No
KYIV-003-3,KYIV-003,Urban,250825,247916,2909,1.16,1396,872,641,2008,0.81,-86.8,No
KYIV-004-1,KYIV-004,Dense Urban,220655,215007,5648,2.56,2711,1694,1243,2429,1.13,-85.0,No
KYIV-004-2,KYIV-004,Dense Urban,296099,292842,3257,1.1,1563,978,716,2167,0.74,-86.7,No
KYIV-004-3,KYIV-004,Suburban,170463,166884,3579,2.1,1718,1073,788,1902,1.14,-82.7,No
KYIV-005-1,KYIV-005,Suburban,230273,226244,4029,1.75,1933,1209,887,1538,0.68,-81.2,No
KYIV-005-2,KYIV-005,Urban,207213,202676,4537,2.19,2178,1361,998,790,0.39,-79.7,No
KYIV-005-3,KYIV-005,Suburban,235151,229720,5431,2.31,2607,1630,1194,1631,0.71,-84.2,No
KYIV-006-1,KYIV-006,Urban,286686,281583,5103,1.78,2449,1531,1123,4139,1.47,-84.6,No
KYIV-006-2,KYIV-006,Suburban,246436,241212,5224,2.12,2508,1567,1149,2074,0.86,-89.3,No
KYIV-006-3,KYIV-006,Dense Urban,208405,206467,1938,0.93,930,582,426,1238,0.6,-78.2,No
KYIV-007-1,KYIV-007,Suburban,283961,281491,2470,0.87,1185,741,544,2617,0.93,-90.6,No
KYIV-007-2,KYIV-007,Dense Urban,291849,284903,6946,2.38,3334,2083,1529,3219,1.13,-85.0,No
KYIV-007-3,KYIV-007,Urban,275818,272178,3640,1.32,1748,1092,800,3266,1.2,-81.5,No
KYIV-008-1,KYIV-008,Suburban,185440,180916,4524,2.44,2171,1357,996,2496,1.38,-83.8,No
KYIV-008-2,KYIV-008,Suburban,227571,223726,3845,1.69,1846,1153,846,3221,1.44,-81.7,No
KYIV-008-3,KYIV-008,Dense Urban,168547,164688,3859,2.29,1853,1158,848,1004,0.61,-83.8,No
KYIV-009-1,KYIV-009,Suburban,280018,275762,4256,1.52,2043,1276,937,2840,1.03,-81.5,No
KYIV-009-2,KYIV-009,Suburban,236646,230636,6010,2.54,2885,1803,1322,3413,1.48,-85.2,No
KYIV-009-3,KYIV-009,Urban,191446,187388,4058,2.12,1947,1217,894,974,0.52,-80.8,No
KYIV-010-1,KYIV-010,Suburban,220040,215398,4642,2.11,2228,1392,1022,1572,0.73,-80.2,No
KYIV-010-2,KYIV-010,Urban,203825,200809,3016,1.48,1448,905,663,1064,0.53,-88.7,No
KYIV-010-3,KYIV-010,Suburban,164231,162244,1987,1.21,954,596,437,632,0.39,-80.1,No
KYIV-011-1,KYIV-011,Dense Urban,193182,189203,3979,2.06,1909,1194,876,2005,1.06,-88.0,No
KYIV-011-2,KYIV-011,Urban,211438,197949,13489,6.38,6474,4046,2969,6611,3.34,-91.7,Yes
KYIV-011-3,KYIV-011,Dense Urban,156986,154365,2621,1.67,1258,786,577,2053,1.33,-80.3,No
KYIV-012-1,KYIV-012,Urban,218356,214972,3384,1.55,1625,1016,743,3289,1.53,-83.6,No
KYIV-012-2,KYIV-012,Suburban,287716,282653,5063,1.76,2430,1519,1114,1413,0.5,-84.1,No
KYIV-012-3,KYIV-012,Dense Urban,180509,176791,3718,2.06,1785,1115,818,1361,0.77,-78.7,No
