serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
KYIV-001-1,KYIV-001-2,1,0.0,-2.6,Yes,Intra-Frequency,2026-10-13
KYIV-001-1,KYIV-001-3,2,0.0,2.8,Yes,Intra-Frequency,2026-10-13
KYIV-001-1,KYIV-013-1,3,1163.8,0.9,Yes,Intra-Frequency,2026-10-13
KYIV-001-1,KYIV-013-2,4,1163.8,-0.5,Yes,Intra-Frequency,2026-10-13
KYIV-001-1,KYIV-013-3,5,1163.8,-2.7,Yes,Intra-Frequency,2026-10-13
KYIV-001-1,KYIV-002-1,6,1485.5,5.6,Yes,Inter-Frequency,2026-10-13
KYIV-001-1,KYIV-002-2,7,1485.5,-5.3,Yes,Inter-Frequency,2026-10-13
KYIV-001-1,KYIV-002-3,8,1485.5,-2.2,Yes,Inter-Frequency,2026-10-13
KYIV-001-2,KYIV-001-1,1,0.0,-5.4,Yes,Intra-Frequency,2026-10-13
KYIV-001-2,KYIV-001-3,2,0.0,1.7,Yes,Intra-Frequency,2026-10-13
KYIV-001-2,KYIV-013-1,3,1163.8,-2.5,Yes,Intra-Frequency,2026-10-13
KYIV-001-2,KYIV-013-2,4,1163.8,-4.2,Yes,Intra-Frequency,2026-10-13
KYIV-001-2,KYIV-013-3,5,1163.8,-3.8,Yes,Intra-Frequency,2026-10-13
KYIV-001-2,KYIV-002-1,6,1485.5,-5.4,Yes,Inter-Frequency,2026-10-13
KYIV-001-2,KYIV-002-2,7,1485.5,3.7,Yes,Inter-Frequency,2026-10-13
KYIV-001-2,KYIV-002-3,8,1485.5,-6.0,Yes,Inter-Frequency,2026-10-13
KYIV-001-2,KYIV-006-1,9,1853.3,0.1,Yes,Inter-Frequency,2026-10-13
KYIV-001-2,KYIV-006-2,10,1853.3,1.6,Yes,Inter-Frequency,2026-10-13
KYIV-001-2,KYIV-006-3,11,1853.3,-2.1,Yes,Inter-Frequency,2026-10-13
KYIV-001-3,KYIV-001-1,1,0.0,-5.8,Yes,Intra-Frequency,2026-10-13
KYIV-001-3,KYIV-001-2,2,0.0,-5.9,Yes,Intra-Frequency,2026-10-13
KYIV-001-3,KYIV-013-1,3,1163.8,-5.1,Yes,Intra-Frequency,2026-10-13
KYIV-001-3,KYIV-013-2,4,1163.8,-4.6,Yes,Intra-Frequency,2026-10-13
KYIV-001-3,KYIV-013-3,5,1163.8,4.6,Yes,Intra-Frequency,2026-10-13
KYIV-001-3,KYIV-002-1,6,1485.5,3.0,Yes,Inter-Frequency,2026-10-13
KYIV-001-3,KYIV-002-2,7,1485.5,-3.0,Yes,Inter-Frequency,2026-10-13
