cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
KYIV-001-1,KYIV-001,Kyiv-Site-001,50.436598,30.544625,43,1,4,3,0,3,Urban,58.3,Band 1 (2100MHz),1,40000,Ericsson,LTE,Active
KYIV-001-2,KYIV-001,Kyiv-Site-001,50.436598,30.544625,38,2,122,5,1,6,Suburban,71.4,Band 1 (2100MHz),2,40000,Ericsson,LTE,Active
KYIV-001-3,KYIV-001,Kyiv-Site-001,50.436598,30.544625,44,3,236,4,0,4,Suburban,49.6,Band 1 (2100MHz),3,40000,Ericsson,LTE,Active
KYIV-002-1,KYIV-002,Kyiv-Site-002,50.449895,30.542601,33,1,-5,6,3,9,Dense Urban,40.8,Band 3 (1800MHz),4,40001,Ericsson,LTE,Active
KYIV-002-2,KYIV-002,Kyiv-Site-002,50.449895,30.542601,31,2,124,3,1,4,Urban,69.8,Band 3 (1800MHz),5,40001,Ericsson,LTE,Active
KYIV-002-3,KYIV-002,Kyiv-Site-002,50.449895,30.542601,41,3,238,3,2,5,Suburban,73.8,Band 3 (1800MHz),6,40001,Ericsson,LTE,Active
KYIV-003-1,KYIV-003,Kyiv-Site-003,50.436298,30.513091,50,1,0,4,1,5,Dense Urban,62.2,Band 1 (2100MHz),7,40002,Ericsson,LTE,Active
KYIV-003-2,KYIV-003,Kyiv-Site-003,50.436298,30.513091,33,2,123,5,1,6,Dense Urban,73.8,Band 1 (2100MHz),8,40002,Ericsson,LTE,Active
KYIV-003-3,KYIV-003,Kyiv-Site-003,50.436298,30.513091,27,3,237,3,3,6,Urban,31.9,Band 1 (2100MHz),9,40002,Ericsson,LTE,Active
KYIV-004-1,KYIV-004,Kyiv-Site-004,50.462988,30.529705,47,1,5,3,1,4,Dense Urban,65.3,Band 3 (1800MHz),10,40003,Ericsson,LTE,Active
KYIV-004-2,KYIV-004,Kyiv-Site-004,50.462988,30.529705,35,2,117,2,0,2,Dense Urban,42.6,Band 3 (1800MHz),11,40003,Ericsson,LTE,Active
KYIV-004-3,KYIV-004,Kyiv-Site-004,50.462988,30.529705,33,3,243,2,0,2,Suburban,31.4,Band 3 (1800MHz),12,40003,Ericsson,LTE,Active
KYIV-005-1,KYIV-005,Kyiv-Site-005,50.464021,30.509516,26,1,2,3,3,6,Suburban,37.7,Band 1 (2100MHz),13,40004,Ericsson,LTE,Active
KYIV-005-2,KYIV-005,Kyiv-Site-005,50.464021,30.509516,27,2,122,3,0,3,Urban,37.5,Band 1 (2100MHz),14,40004,Ericsson,LTE,Active
KYIV-005-3,KYIV-005,Kyiv-Site-005,50.464021,30.509516,46,3,240,6,3,9,Suburban,51.0,Band 1 (2100MHz),15,40004,Ericsson,LTE,Active
KYIV-006-1,KYIV-006,Kyiv-Site-006,50.445487,30.522488,25,1,3,5,3,8,Urban,73.9,Band 3 (1800MHz),16,40005,Ericsson,LTE,Active
KYIV-006-2,KYIV-006,Kyiv-Site-006,50.445487,30.522488,31,2,122,5,0,5,Suburban,67.4,Band 3 (1800MHz),17,40005,Ericsson,LTE,Active
KYIV-006-3,KYIV-006,Kyiv-Site-006,50.445487,30.522488,42,3,245,4,3,7,Dense Urban,42.8,Band 3 (1800MHz),18,40005,Ericsson,LTE,Active
KYIV-007-1,KYIV-007,Kyiv-Site-007,50.459322,30.507503,45,1,0,4,2,6,Suburban,77.3,Band 1 (2100MHz),19,40006,Ericsson,LTE,Active
KYIV-007-2,KYIV-007,Kyiv-Site-007,50.459322,30.507503,39,2,119,3,2,5,Dense Urban,59.3,Band 1 (2100MHz),20,40006,Ericsson,LTE,Active
KYIV-007-3,KYIV-007,Kyiv-Site-007,50.459322,30.507503,35,3,245,4,1,5,Urban,55.4,Band 1 (2100MHz),21,40006,Ericsson,LTE,Active
KYIV-008-1,KYIV-008,Kyiv-Site-008,50.451592,30.515265,29,1,-5,5,0,5,Suburban,62.2,Band 3 (1800MHz),22,40007,Ericsson,LTE,Active
KYIV-008-2,KYIV-008,Kyiv-Site-008,50.451592,30.515265,45,2,119,2,2,4,Suburban,31.3,Band 3 (1800MHz),23,40007,Ericsson,LTE,Active
KYIV-008-3,KYIV-008,Kyiv-Site-008,50.451592,30.515265,26,3,239,5,1,6,Dense Urban,75.1,Band 3 (1800MHz),24,40007,Ericsson,LTE,Active
KYIV-009-1,KYIV-009,Kyiv-Site-009,50.460443,30.508798,30,1,5,4,0,4,Suburban,53.7,Band 1 (2100MHz),25,40008,Ericsson,LTE,Active
KYIV-009-2,KYIV-009,Kyiv-Site-009,50.460443,30.508798,48,2,117,4,2,6,Suburban,79.8,Band 1 (2100MHz),26,40008,Ericsson,LTE,Active
