cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
KYIV-001-1,KYIV-001,Suburban,165454,163850,1604,0.97,802,481,321,901,0.55,-91.7,No
KYIV-001-2,KYIV-001,Dense Urban,216854,211693,5161,2.38,2580,1548,1033,3090,1.46,-82.2,No
KYIV-001-3,KYIV-001,Suburban,156151,143894,12257,7.85,6129,3678,2450,6906,4.8,-104.7,Yes
KYIV-002-1,KYIV-002,Suburban,166035,163030,3005,1.81,1502,901,602,2282,1.4,-80.6,No
KYIV-002-2,KYIV-002,Urban,284852,277902,6950,2.44,3475,2085,1390,1973,0.71,-81.1,No
KYIV-002-3,KYIV-002,Suburban,224340,221020,3320,1.48,1660,996,664,2143,0.97,-82.4,No
KYIV-003-1,KYIV-003,Urban,288863,271474,17389,6.02,8695,5217,3477,9610,3.54,-100.4,Yes
KYIV-003-2,KYIV-003,Dense Urban,260083,256572,3511,1.35,1756,1054,701,1411,0.55,-73.8,No
KYIV-003-3,KYIV-003,Suburban,200407,198203,2204,1.1,1102,661,441,911,0.46,-78.7,No
KYIV-004-1,KYIV-004,Suburban,222796,220190,2606,1.17,1303,782,521,2510,1.14,-85.4,No
KYIV-004-2,KYIV-004,Urban,195698,191726,3972,2.03,1986,1192,794,1380,0.72,-80.4,No
KYIV-004-3,KYIV-004,Urban,218134,212725,5409,2.48,2704,1623,1082,3063,1.44,-87.7,No
KYIV-005-1,KYIV-005,Urban,232441,230396,2045,0.88,1022,613,410,2465,1.07,-80.1,No
KYIV-005-2,KYIV-005,Dense Urban,291587,288351,3236,1.11,1618,971,647,4094,1.42,-80.4,No
KYIV-005-3,KYIV-005,Urban,169230,166811,2419,1.43,1210,725,484,834,0.5,-87.0,No
KYIV-006-1,KYIV-006,Dense Urban,211620,209060,2560,1.21,1280,768,512,2885,1.38,-81.4,No
KYIV-006-2,KYIV-006,Suburban,177961,161945,16016,9.0,8008,4805,3203,7708,4.76,-98.0,Yes
KYIV-006-3,KYIV-006,Urban,232136,228724,3412,1.47,1706,1024,682,800,0.35,-87.3,No
KYIV-007-1,KYIV-007,Suburban,254157,251184,2973,1.17,1487,892,594,2763,1.1,-90.5,No
KYIV-007-2,KYIV-007,Urban,264328,261157,3171,1.2,1586,952,633,1279,0.49,-82.8,No
KYIV-007-3,KYIV-007,Urban,227226,222750,4476,1.97,2238,1342,896,1648,0.74,-80.9,No
KYIV-008-1,KYIV-008,Urban,151012,149955,1057,0.7,528,318,211,1424,0.95,-81.3,No
KYIV-008-2,KYIV-008,Suburban,297678,292707,4971,1.67,2485,1492,994,3658,1.25,-85.1,No
KYIV-008-3,KYIV-008,Dense Urban,291144,272744,18400,6.32,9200,5520,3680,11482,4.21,-98.6,Yes
KYIV-009-1,KYIV-009,Dense Urban,167110,162766,4344,2.6,2172,1303,869,765,0.47,-76.4,No
KYIV-009-2,KYIV-009,Dense Urban,282301,277559,4742,1.68,2371,1423,948,2692,0.97,-82.6,No
KYIV-009-3,KYIV-009,Suburban,184999,181281,3718,2.01,1859,1116,743,1142,0.63,-85.6,No
KYIV-010-1,KYIV-010,Suburban,187398,182564,4834,2.58,2417,1450,967,1460,0.8,-86.1,No
KYIV-010-2,KYIV-010,Suburban,279585,273267,6318,2.26,3159,1896,1263,2978,1.09,-80.5,No
KYIV-010-3,KYIV-010,Urban,262660,258537,4123,1.57,2061,1236,826,1551,0.6,-83.6,No
KYIV-011-1,KYIV-011,Urban,156336,153053,3283,2.1,1642,985,656,642,0.42,-83.7,No
KYIV-011-2,KYIV-011,Urban,232699,229302,3397,1.46,1698,1019,680,3164,1.38,-87.0,No
KYIV-011-3,KYIV-011,Suburban,295307,293536,1771,0.6,886,531,354,909,0.31,-84.8,No
KYIV-012-1,KYIV-012,Suburban,200473,199150,1323,0.66,662,397,264,2389,1.2,-84.1,No
KYIV-012-2,KYIV-012,Urban,153212,150301,2911,1.9,1455,874,582,676,0.45,-81.6,No
KYIV-012-3,KYIV-012,Suburban,230950,225731,5219,2.26,2609,1566,1044,835,0.37,-84.9,No
KYIV-013-1,KYIV-013,Dense Urban,234438,232633,1805,0.77,903,541,361,2000,0.86,-79.0,No
KYIV-013-2,KYIV-013,Suburban,211645,209952,1693,0.8,847,508,338,2813,1.34,-83.5,No
KYIV-013-3,KYIV-013,Urban,234957,230799,4158,1.77,2079,1247,832,853,0.37,-80.7,No
KYIV-014-1,KYIV-014,Suburban,264630,260555,4075,1.54,2038,1222,815,2266,0.87,-81.4,No
KYIV-014-2,KYIV-014,Suburban,261005,255524,5481,2.1,2741,1645,1095,2938,1.15,-83.8,No
KYIV-014-3,KYIV-014,Dense Urban,236070,233710,2360,1.0,1180,708,472,1332,0.57,-74.8,No
KYIV-015-1,KYIV-015,Dense Urban,208494,204387,4107,1.97,2054,1232,821,981,0.48,-81.1,No
KYIV-015-2,KYIV-015,Urban,284091,281393,2698,0.95,1349,809,540,1547,0.55,-82.8,No
KYIV-015-3,KYIV-015,Urban,186160,183796,2364,1.27,1182,709,473,1525,0.83,-81.6,No
KYIV-016-1,KYIV-016,Urban,283881,278800,5081,1.79,2541,1525,1015,1170,0.42,-82.5,No
KYIV-016-2,KYIV-016,Suburban,257245,253567,3678,1.43,1839,1104,735,1927,0.76,-71.4,No
KYIV-016-3,KYIV-016,Dense Urban,266367,263011,3356,1.26,1678,1007,671,1420,0.54,-80.6,No
