serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
KYIV-001-1,KYIV-001-2,1,0.0,1.3,Yes,Intra-Frequency,2026-04-14
KYIV-001-1,KYIV-001-3,2,0.0,1.7,Yes,Intra-Frequency,2026-04-14
KYIV-001-1,KYIV-013-1,3,345.2,-4.3,Yes,Intra-Frequency,2026-04-14
KYIV-001-1,KYIV-013-2,4,345.2,-4.2,Yes,Intra-Frequency,2026-04-14
KYIV-001-1,KYIV-013-3,5,345.2,3.4,Yes,Intra-Frequency,2026-04-14
KYIV-001-1,KYIV-010-1,6,469.8,0.7,Yes,Inter-Frequency,2026-04-14
KYIV-001-1,KYIV-010-2,7,469.8,-0.4,Yes,Inter-Frequency,2026-04-14
KYIV-001-1,KYIV-010-3,8,469.8,1.5,Yes,Inter-Frequency,2026-04-14
KYIV-001-2,KYIV-001-1,1,0.0,-2.9,Yes,Intra-Frequency,2026-04-14
KYIV-001-2,KYIV-001-3,2,0.0,5.1,Yes,Intra-Frequency,2026-04-14
KYIV-001-2,KYIV-013-1,3,345.2,1.5,Yes,Intra-Frequency,2026-04-14
KYIV-001-2,KYIV-013-2,4,345.2,4.8,Yes,Intra-Frequency,2026-04-14
KYIV-001-2,KYIV-013-3,5,345.2,-3.4,Yes,Intra-Frequency,2026-04-14
KYIV-001-2,KYIV-010-1,6,469.8,4.5,Yes,Inter-Frequency,2026-04-14
KYIV-001-2,KYIV-010-2,7,469.8,4.6,Yes,Inter-Frequency,2026-04-14
KYIV-001-2,KYIV-010-3,8,469.8,-0.4,Yes,Inter-Frequency,2026-04-14
KYIV-001-2,KYIV-015-1,9,709.8,-5.8,Yes,Intra-Frequency,2026-04-14
KYIV-001-2,KYIV-015-2,10,709.8,4.6,Yes,Intra-Frequency,2026-04-14
KYIV-001-2,KYIV-015-3,11,709.8,3.6,Yes,Intra-Frequency,2026-04-14
KYIV-001-3,KYIV-001-1,1,0.0,4.2,Yes,Intra-Frequency,2026-04-14
KYIV-001-3,KYIV-001-2,2,0.0,-3.4,Yes,Intra-Frequency,2026-04-14
KYIV-001-3,KYIV-013-1,3,345.2,-0.1,Yes,Intra-Frequency,2026-04-14
KYIV-001-3,KYIV-013-2,4,345.2,4.7,Yes,Intra-Frequency,2026-04-14
KYIV-001-3,KYIV-013-3,5,345.2,-4.9,Yes,Intra-Frequency,2026-04-14
KYIV-001-3,KYIV-010-1,6,469.8,-3.7,Yes,Inter-Frequency,2026-04-14
KYIV-001-3,KYIV-010-2,7,469.8,1.9,Yes,Inter-Frequency,2026-04-14
KYIV-001-3,KYIV-010-3,8,469.8,-1.0,Yes,Inter-Frequency,2026-04-14
