timestamp_utc,cell_id,enodeb_id,frequency_band,avg_rsrp_dBm,avg_rsrq_dB,avg_sinr_dB,prb_utilization_dl_pct,prb_utilization_ul_pct,active_ue_avg
2026-04-14 00:00:00,KYIV-001-1,KYIV-001,Band 1 (2100MHz),-80.5,-9.0,15.0,0.0,2.9,0.0
2026-04-14 00:00:00,KYIV-001-2,KYIV-001,Band 1 (2100MHz),-80.6,-8.7,9.2,0.0,15.8,0.0
2026-04-14 00:00:00,KYIV-001-3,KYIV-001,Band 1 (2100MHz),-97.7,-10.9,7.6,7.2,0.0,39.0
2026-04-14 00:00:00,KYIV-002-1,KYIV-002,Band 3 (1800MHz),-85.0,-4.8,12.4,23.1,0.2,8.3
2026-04-14 00:00:00,KYIV-002-2,KYIV-002,Band 3 (1800MHz),-80.1,-7.3,6.4,0.0,11.0,25.4
2026-04-14 00:00:00,KYIV-002-3,KYIV-002,Band 3 (1800MHz),-79.0,-11.3,5.7,3.0,0.0,2.4
2026-04-14 00:00:00,KYIV-003-1,KYIV-003,Band 1 (2100MHz),-90.7,-12.0,8.8,0.0,14.2,25.9
2026-04-14 00:00:00,KYIV-003-2,KYIV-003,Band 1 (2100MHz),-81.5,-10.1,18.7,14.4,14.7,3.3
2026-04-14 00:00:00,KYIV-003-3,KYIV-003,Band 1 (2100MHz),-81.4,-9.3,20.9,33.4,0.0,0.0
2026-04-14 00:00:00,KYIV-004-1,KYIV-004,Band 3 (1800MHz),-76.8,-8.5,11.5,25.0,13.0,0.0
2026-04-14 00:00:00,KYIV-004-2,KYIV-004,Band 3 (1800MHz),-82.8,-9.1,10.5,19.8,0.0,3.6
2026-04-14 00:00:00,KYIV-004-3,KYIV-004,Band 3 (1800MHz),-89.3,-6.6,11.0,26.7,4.2,0.0
2026-04-14 00:00:00,KYIV-005-1,KYIV-005,Band 1 (2100MHz),-89.7,-6.7,24.1,15.6,20.8,26.5
2026-04-14 00:00:00,KYIV-005-2,KYIV-005,Band 1 (2100MHz),-83.1,-5.4,13.4,18.9,8.6,41.3
2026-04-14 00:00:00,KYIV-005-3,KYIV-005,Band 1 (2100MHz),-77.7,-8.4,14.1,38.9,7.0,37.9
2026-04-14 00:00:00,KYIV-006-1,KYIV-006,Band 3 (1800MHz),-82.8,-8.6,18.0,0.0,6.0,2.1
2026-04-14 00:00:00,KYIV-006-2,KYIV-006,Band 3 (1800MHz),-91.3,-11.5,14.2,2.1,10.0,23.6
2026-04-14 00:00:00,KYIV-006-3,KYIV-006,Band 3 (1800MHz),-84.0,-6.8,10.3,21.0,21.7,0.0
2026-04-14 00:00:00,KYIV-007-1,KYIV-007,Band 1 (2100MHz),-87.6,-4.9,14.9,20.2,0.0,0.0
2026-04-14 00:00:00,KYIV-007-2,KYIV-007,Band 1 (2100MHz),-82.9,-2.8,24.0,18.5,0.0,0.0
