cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
KYIV-001-1,KYIV-001,Kyiv-Site-001,50.447181,30.536957,45,1,-2,5,3,8,Suburban,61.1,Band 1 (2100MHz),1,40000,Ericsson,LTE,Active
KYIV-001-2,KYIV-001,Kyiv-Site-001,50.447181,30.536957,41,2,117,2,1,3,Dense Urban,70.6,Band 1 (2100MHz),2,40000,Ericsson,LTE,Active
KYIV-001-3,KYIV-001,Kyiv-Site-001,50.447181,30.536957,26,3,245,6,2,8,Suburban,72.9,Band 1 (2100MHz),3,40000,Ericsson,LTE,Active
KYIV-002-1,KYIV-002,Kyiv-Site-002,50.44073,30.537784,32,1,4,4,3,7,Suburban,68.5,Band 3 (1800MHz),4,40001,Ericsson,LTE,Active
KYIV-002-2,KYIV-002,Kyiv-Site-002,50.44073,30.537784,27,2,122,2,0,2,Urban,39.7,Band 3 (1800MHz),5,40001,Ericsson,LTE,Active
KYIV-002-3,KYIV-002,Kyiv-Site-002,50.44073,30.537784,49,3,244,4,1,5,Suburban,60.4,Band 3 (1800MHz),6,40001,Ericsson,LTE,Active
KYIV-003-1,KYIV-003,Kyiv-Site-003,50.460994,30.528834,36,1,-3,2,0,2,Urban,34.4,Band 1 (2100MHz),7,40002,Ericsson,LTE,Active
KYIV-003-2,KYIV-003,Kyiv-Site-003,50.460994,30.528834,49,2,121,5,2,7,Dense Urban,64.2,Band 1 (2100MHz),8,40002,Ericsson,LTE,Active
KYIV-003-3,KYIV-003,Kyiv-Site-003,50.460994,30.528834,38,3,236,2,2,4,Suburban,45.4,Band 1 (2100MHz),9,40002,Ericsson,LTE,Active
KYIV-004-1,KYIV-004,Kyiv-Site-004,50.441586,30.524639,45,1,-3,5,2,7,Suburban,37.8,Band 3 (1800MHz),10,40003,Ericsson,LTE,Active
KYIV-004-2,KYIV-004,Kyiv-Site-004,50.441586,30.524639,32,2,116,5,3,8,Urban,69.0,Band 3 (1800MHz),11,40003,Ericsson,LTE,Active
KYIV-004-3,KYIV-004,Kyiv-Site-004,50.441586,30.524639,26,3,239,2,1,3,Urban,69.4,Band 3 (1800MHz),12,40003,Ericsson,LTE,Active
KYIV-005-1,KYIV-005,Kyiv-Site-005,50.462908,30.528849,50,1,4,4,0,4,Urban,57.6,Band 1 (2100MHz),13,40004,Ericsson,LTE,Active
KYIV-005-2,KYIV-005,Kyiv-Site-005,50.462908,30.528849,35,2,119,5,1,6,Dense Urban,46.8,Band 1 (2100MHz),14,40004,Ericsson,LTE,Active
KYIV-005-3,KYIV-005,Kyiv-Site-005,50.462908,30.528849,40,3,237,3,2,5,Urban,36.4,Band 1 (2100MHz),15,40004,Ericsson,LTE,Active
KYIV-006-1,KYIV-006,Kyiv-Site-006,50.455769,30.511752,46,1,4,6,0,6,Dense Urban,36.7,Band 3 (1800MHz),16,40005,Ericsson,LTE,Active
KYIV-006-2,KYIV-006,Kyiv-Site-006,50.455769,30.511752,42,2,118,2,3,5,Suburban,44.0,Band 3 (1800MHz),17,40005,Ericsson,LTE,Active
KYIV-006-3,KYIV-006,Kyiv-Site-006,50.455769,30.511752,37,3,238,5,2,7,Urban,56.3,Band 3 (1800MHz),18,40005,Ericsson,LTE,Active
KYIV-007-1,KYIV-007,Kyiv-Site-007,50.439842,30.54287,49,1,-4,6,3,9,Suburban,53.1,Band 1 (2100MHz),19,40006,Ericsson,LTE,Active
KYIV-007-2,KYIV-007,Kyiv-Site-007,50.439842,30.54287,42,2,121,2,0,2,Urban,60.5,Band 1 (2100MHz),20,40006,Ericsson,LTE,Active
KYIV-007-3,KYIV-007,Kyiv-Site-007,50.439842,30.54287,50,3,238,6,0,6,Urban,36.3,Band 1 (2100MHz),21,40006,Ericsson,LTE,Active
KYIV-008-1,KYIV-008,Kyiv-Site-008,50.46378,30.540523,46,1,-5,5,2,7,Urban,35.6,Band 3 (1800MHz),22,40007,Ericsson,LTE,Active
