cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
KYIV-001-1,KYIV-001,Dense Urban,251403,235967,15436,6.14,7255,4631,3550,8825,3.74,-98.3,Yes
KYIV-001-2,KYIV-001,Dense Urban,157522,153458,4064,2.58,1910,1219,935,1902,1.24,-86.5,No
KYIV-001-3,KYIV-001,Suburban,164131,159552,4579,2.79,2152,1374,1053,2457,1.54,-82.7,No
KYIV-002-1,KYIV-002,Urban,202642,200576,2066,1.02,971,620,475,3149,1.57,-82.6,No
KYIV-002-2,KYIV-002,Urban,220919,216236,4683,2.12,2201,1404,1078,1881,0.87,-84.7,No
KYIV-002-3,KYIV-002,Dense Urban,276876,269512,7364,2.66,3461,2209,1694,1024,0.38,-88.3,No
KYIV-003-1,KYIV-003,Dense Urban,206657,204219,2438,1.18,1146,732,560,2797,1.37,-93.3,No
KYIV-003-2,KYIV-003,Dense Urban,183200,181057,2143,1.17,1007,643,493,1575,0.87,-80.7,No
KYIV-003-3,KYIV-003,Urban,290003,281767,8236,2.84,3871,2471,1894,3775,1.34,-92.7,No
KYIV-004-1,KYIV-004,Dense Urban,299614,296828,2786,0.93,1310,836,640,1721,0.58,-75.1,No
KYIV-004-2,KYIV-004,Suburban,236054,233623,2431,1.03,1143,730,558,1238,0.53,-76.3,No
KYIV-004-3,KYIV-004,Dense Urban,193346,187817,5529,2.86,2598,1658,1273,1202,0.64,-81.2,No
KYIV-005-1,KYIV-005,Dense Urban,168307,164756,3551,2.11,1669,1065,817,2059,1.25,-83.5,No
KYIV-005-2,KYIV-005,Suburban,234720,228782,5938,2.53,2791,1781,1366,2836,1.24,-84.1,No
KYIV-005-3,KYIV-005,Suburban,193166,187777,5389,2.79,2532,1617,1240,1596,0.85,-82.4,No
KYIV-006-1,KYIV-006,Suburban,253891,229848,24043,9.47,11300,7213,5530,9561,4.16,-95.5,Yes
KYIV-006-2,KYIV-006,Urban,262700,260100,2600,0.99,1222,780,598,3147,1.21,-85.3,No
KYIV-006-3,KYIV-006,Dense Urban,282510,280222,2288,0.81,1075,686,527,1120,0.4,-81.1,No
KYIV-007-1,KYIV-007,Dense Urban,286004,280542,5462,1.91,2567,1639,1256,3394,1.21,-83.2,No
KYIV-007-2,KYIV-007,Dense Urban,209004,205472,3532,1.69,1660,1059,813,3020,1.47,-86.4,No
KYIV-007-3,KYIV-007,Dense Urban,264161,256923,7238,2.74,3402,2172,1664,3417,1.33,-86.8,No
KYIV-008-1,KYIV-008,Urban,279143,275543,3600,1.29,1692,1080,828,2121,0.77,-89.6,No
KYIV-008-2,KYIV-008,Dense Urban,289351,287413,1938,0.67,911,581,446,4512,1.57,-81.6,No
KYIV-008-3,KYIV-008,Suburban,299312,294913,4399,1.47,2068,1320,1011,3951,1.34,-80.7,No
KYIV-009-1,KYIV-009,Urban,170333,153845,16488,9.68,7749,4947,3792,7676,4.99,-100.8,Yes
KYIV-009-2,KYIV-009,Urban,200161,196018,4143,2.07,1947,1242,954,2626,1.34,-86.6,No
KYIV-009-3,KYIV-009,Dense Urban,175473,170420,5053,2.88,2375,1516,1162,1005,0.59,-84.2,No
KYIV-010-1,KYIV-010,Urban,189539,184384,5155,2.72,2423,1547,1185,2784,1.51,-89.1,No
KYIV-010-2,KYIV-010,Suburban,191166,186808,4358,2.28,2048,1307,1003,1513,0.81,-87.3,No
KYIV-010-3,KYIV-010,Urban,253210,249033,4177,1.65,1963,1254,960,2838,1.14,-86.2,No
KYIV-011-1,KYIV-011,Dense Urban,157925,155114,2811,1.78,1321,843,647,1644,1.06,-96.0,No
KYIV-011-2,KYIV-011,Dense Urban,281811,277725,4086,1.45,1920,1226,940,1749,0.63,-81.6,No
KYIV-011-3,KYIV-011,Dense Urban,239922,237763,2159,0.9,1015,648,496,3138,1.32,-81.3,No
KYIV-012-1,KYIV-012,Suburban,195285,192708,2577,1.32,1211,773,593,2563,1.33,-84.1,No
KYIV-012-2,KYIV-012,Dense Urban,275328,268032,7296,2.65,3429,2189,1678,2626,0.98,-82.5,No
KYIV-012-3,KYIV-012,Dense Urban,210030,206481,3549,1.69,1668,1065,816,2229,1.08,-82.6,No
KYIV-013-1,KYIV-013,Urban,286966,279936,7030,2.45,3304,2109,1617,2631,0.94,-88.0,No
KYIV-013-2,KYIV-013,Suburban,242942,237768,5174,2.13,2432,1552,1190,1117,0.47,-88.5,No
KYIV-013-3,KYIV-013,Suburban,266436,264385,2051,0.77,964,615,472,1189,0.45,-92.1,No
KYIV-014-1,KYIV-014,Urban,221527,215015,6512,2.94,3060,1953,1499,2494,1.16,-85.8,No
KYIV-014-2,KYIV-014,Suburban,191725,189942,1783,0.93,838,535,410,1481,0.78,-95.5,No
KYIV-014-3,KYIV-014,Dense Urban,187702,186426,1276,0.68,600,383,293,1771,0.95,-87.3,No
KYIV-015-1,KYIV-015,Urban,209325,207379,1946,0.93,915,584,447,2841,1.37,-78.2,No
KYIV-015-2,KYIV-015,Suburban,152092,149994,2098,1.38,986,630,482,674,0.45,-86.0,No
KYIV-015-3,KYIV-015,Suburban,193781,181786,11995,6.19,5637,3598,2760,7325,4.03,-97.0,Yes
KYIV-016-1,KYIV-016,Suburban,235552,233503,2049,0.87,963,614,472,3315,1.42,-84.7,No
KYIV-016-2,KYIV-016,Dense Urban,264784,257980,6804,2.57,3198,2042,1564,1599,0.62,-81.2,No
KYIV-016-3,KYIV-016,Urban,225900,220479,5421,2.4,2548,1627,1246,1543,0.7,-87.9,No
