serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
KYIV-001-1,KYIV-001-2,1,0.0,-2.9,Yes,Intra-Frequency,2026-07-15
KYIV-001-1,KYIV-001-3,2,0.0,-5.5,Yes,Intra-Frequency,2026-07-15
KYIV-001-1,KYIV-002-1,3,450.4,-0.5,Yes,Inter-Frequency,2026-07-15
KYIV-001-1,KYIV-002-2,4,450.4,-1.9,Yes,Inter-Frequency,2026-07-15
KYIV-001-1,KYIV-002-3,5,450.4,1.2,Yes,Inter-Frequency,2026-07-15
KYIV-001-1,KYIV-004-1,6,508.6,-1.9,Yes,Inter-Frequency,2026-07-15
KYIV-001-1,KYIV-004-2,7,508.6,-1.2,Yes,Inter-Frequency,2026-07-15
KYIV-001-1,KYIV-004-3,8,508.6,-2.6,Yes,Inter-Frequency,2026-07-15
KYIV-001-1,KYIV-013-1,9,762.4,-3.4,Yes,Intra-Frequency,2026-07-15
KYIV-001-1,KYIV-013-2,10,762.4,-2.8,Yes,Intra-Frequency,2026-07-15
KYIV-001-1,KYIV-013-3,11,762.4,1.3,Yes,Intra-Frequency,2026-07-15
KYIV-001-2,KYIV-001-1,1,0.0,0.6,Yes,Intra-Frequency,2026-07-15
KYIV-001-2,KYIV-001-3,2,0.0,-0.2,Yes,Intra-Frequency,2026-07-15
KYIV-001-2,KYIV-002-1,3,450.4,3.1,Yes,Inter-Frequency,2026-07-15
KYIV-001-2,KYIV-002-2,4,450.4,2.1,Yes,Inter-Frequency,2026-07-15
KYIV-001-2,KYIV-002-3,5,450.4,-3.7,Yes,Inter-Frequency,2026-07-15
KYIV-001-2,KYIV-004-1,6,508.6,-4.4,Yes,Inter-Frequency,2026-07-15
KYIV-001-2,KYIV-004-2,7,508.6,3.8,Yes,Inter-Frequency,2026-07-15
KYIV-001-2,KYIV-004-3,8,508.6,0.6,Yes,Inter-Frequency,2026-07-15
KYIV-001-2,KYIV-013-1,9,762.4,-4.8,Yes,Intra-Frequency,2026-07-15
KYIV-001-2,KYIV-013-2,10,762.4,2.6,Yes,Intra-Frequency,2026-07-15
KYIV-001-2,KYIV-013-3,11,762.4,-0.4,Yes,Intra-Frequency,2026-07-15
KYIV-001-2,KYIV-010-1,12,811.3,2.9,Yes,Inter-Frequency,2026-07-15
KYIV-001-2,KYIV-010-2,13,811.3,3.0,Yes,Inter-Frequency,2026-07-15
KYIV-001-3,KYIV-001-1,1,0.0,3.5,Yes,Intra-Frequency,2026-07-15
KYIV-001-3,KYIV-001-2,2,0.0,5.2,Yes,Intra-Frequency,2026-07-15
KYIV-001-3,KYIV-002-1,3,450.4,-2.8,Yes,Inter-Frequency,2026-07-15
