cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
KYIV-001-1,KYIV-001,Kyiv-Site-001,50.463511,30.525167,40,1,-2,6,3,9,Dense Urban,48.9,Band 1 (2100MHz),1,40000,Ericsson,LTE,Active
KYIV-001-2,KYIV-001,Kyiv-Site-001,50.463511,30.525167,35,2,125,3,3,6,Dense Urban,63.0,Band 1 (2100MHz),2,40000,Ericsson,LTE,Active
KYIV-001-3,KYIV-001,Kyiv-Site-001,50.463511,30.525167,45,3,238,6,0,6,Suburban,36.4,Band 1 (2100MHz),3,40000,Ericsson,LTE,Active
KYIV-002-1,KYIV-002,Kyiv-Site-002,50.463883,30.531503,36,1,1,6,0,6,Urban,44.5,Band 3 (1800MHz),4,40001,Ericsson,LTE,Active
KYIV-002-2,KYIV-002,Kyiv-Site-002,50.463883,30.531503,49,2,125,5,3,8,Urban,66.5,Band 3 (1800MHz),5,40001,Ericsson,LTE,Active
KYIV-002-3,KYIV-002,Kyiv-Site-002,50.463883,30.531503,49,3,239,2,0,2,Dense Urban,50.8,Band 3 (1800MHz),6,40001,Ericsson,LTE,Active
KYIV-003-1,KYIV-003,Kyiv-Site-003,50.457781,30.538962,45,1,-2,6,3,9,Dense Urban,31.3,Band 1 (2100MHz),7,40002,Ericsson,LTE,Active
KYIV-003-2,KYIV-003,Kyiv-Site-003,50.457781,30.538962,40,2,121,2,0,2,Dense Urban,56.0,Band 1 (2100MHz),8,40002,Ericsson,LTE,Active
KYIV-003-3,KYIV-003,Kyiv-Site-003,50.457781,30.538962,34,3,235,5,1,6,Urban,41.2,Band 1 (2100MHz),9,40002,Ericsson,LTE,Active
KYIV-004-1,KYIV-004,Kyiv-Site-004,50.46315,30.53233,33,1,-4,3,1,4,Dense Urban,72.6,Band 3 (1800MHz),10,40003,Ericsson,LTE,Active
KYIV-004-2,KYIV-004,Kyiv-Site-004,50.46315,30.53233,40,2,125,6,1,7,Suburban,38.1,Band 3 (1800MHz),11,40003,Ericsson,LTE,Active
KYIV-004-3,KYIV-004,Kyiv-Site-004,50.46315,30.53233,45,3,242,2,0,2,Dense Urban,48.0,Band 3 (1800MHz),12,40003,Ericsson,LTE,Active
KYIV-005-1,KYIV-005,Kyiv-Site-005,50.460599,30.514302,37,1,2,4,2,6,Dense Urban,63.4,Band 1 (2100MHz),13,40004,Ericsson,LTE,Active
KYIV-005-2,KYIV-005,Kyiv-Site-005,50.460599,30.514302,34,2,122,4,3,7,Suburban,36.7,Band 1 (2100MHz),14,40004,Ericsson,LTE,Active
KYIV-005-3,KYIV-005,Kyiv-Site-005,50.460599,30.514302,50,3,240,3,3,6,Suburban,72.6,Band 1 (2100MHz),15,40004,Ericsson,LTE,Active
KYIV-006-1,KYIV-006,Kyiv-Site-006,50.4608,30.544127,47,1,-5,3,3,6,Suburban,58.3,Band 3 (1800MHz),16,40005,Ericsson,LTE,Active
KYIV-006-2,KYIV-006,Kyiv-Site-006,50.4608,30.544127,44,2,123,5,1,6,Urban,76.9,Band 3 (1800MHz),17,40005,Ericsson,LTE,Active
KYIV-006-3,KYIV-006,Kyiv-Site-006,50.4608,30.544127,33,3,241,5,1,6,Dense Urban,53.4,Band 3 (1800MHz),18,40005,Ericsson,LTE,Active
KYIV-007-1,KYIV-007,Kyiv-Site-007,50.439004,30.531667,28,1,-5,5,0,5,Dense Urban,60.9,Band 1 (2100MHz),19,40006,Ericsson,LTE,Active
KYIV-007-2,KYIV-007,Kyiv-Site-007,50.439004,30.531667,42,2,116,6,2,8,Dense Urban,41.7,Band 1 (2100MHz),20,40006,Ericsson,LTE,Active
KYIV-007-3,KYIV-007,Kyiv-Site-007,50.439004,30.531667,42,3,244,5,3,8,Dense Urban,47.6,Band 1 (2100MHz),21,40006,Ericsson,LTE,Active
KYIV-008-1,KYIV-008,Kyiv-Site-008,50.450185,30.540638,28,1,-3,5,3,8,Urban,54.4,Band 3 (1800MHz),22,40007,Ericsson,LTE,Active
KYIV-008-2,KYIV-008,Kyiv-Site-008,50.450185,30.540638,48,2,124,4,2,6,Dense Urban,63.6,Band 3 (1800MHz),23,40007,Ericsson,LTE,Active
KYIV-008-3,KYIV-008,Kyiv-Site-008,50.450185,30.540638,25,3,241,4,0,4,Suburban,30.0,Band 3 (1800MHz),24,40007,Ericsson,LTE,Active
KYIV-009-1,KYIV-009,Kyiv-Site-009,50.445993,30.521565,37,1,-3,3,2,5,Urban,66.3,Band 1 (2100MHz),25,40008,Ericsson,LTE,Active
KYIV-009-2,KYIV-009,Kyiv-Site-009,50.445993,30.521565,45,2,120,3,3,6,Urban,38.5,Band 1 (2100MHz),26,40008,Ericsson,LTE,Active
KYIV-009-3,KYIV-009,Kyiv-Site-009,50.445993,30.521565,41,3,239,5,3,8,Dense Urban,42.0,Band 1 (2100MHz),27,40008,Ericsson,LTE,Active
KYIV-010-1,KYIV-010,Kyiv-Site-010,50.461306,30.536092,46,1,-1,4,1,5,Urban,74.2,Band 3 (1800MHz),28,40009,Ericsson,LTE,Active
KYIV-010-2,KYIV-010,Kyiv-Site-010,50.461306,30.536092,37,2,121,2,2,4,Suburban,44.0,Band 3 (1800MHz),29,40009,Ericsson,LTE,Active
KYIV-010-3,KYIV-010,Kyiv-Site-010,50.461306,30.536092,48,3,239,5,0,5,Urban,62.9,Band 3 (1800MHz),30,40009,Ericsson,LTE,Active
KYIV-011-1,KYIV-011,Kyiv-Site-011,50.452494,30.5052,33,1,5,3,2,5,Dense Urban,32.1,Band 1 (2100MHz),31,40010,Ericsson,LTE,Active
KYIV-011-2,KYIV-011,Kyiv-Site-011,50.452494,30.5052,28,2,121,4,0,4,Dense Urban,71.0,Band 1 (2100MHz),32,40010,Ericsson,LTE,Active
KYIV-011-3,KYIV-011,Kyiv-Site-011,50.452494,30.5052,50,3,237,3,3,6,Dense Urban,47.6,Band 1 (2100MHz),33,40010,Ericsson,LTE,Active
