cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
KYIV-001-1,KYIV-001,Urban,292750,288418,4332,1.48,2166,1300,866,2509,0.87,-96.2,No
KYIV-001-2,KYIV-001,Urban,243989,236255,7734,3.17,3867,2320,1547,3520,1.49,-81.0,No
KYIV-001-3,KYIV-001,Suburban,212475,205209,7266,3.42,3633,2180,1453,1580,0.77,-85.0,No
KYIV-002-1,KYIV-002,Suburban,185903,158241,27662,14.88,13831,8298,5533,3940,2.49,-97.0,Yes
KYIV-002-2,KYIV-002,Dense Urban,271651,228703,42948,15.81,21474,12885,8589,5603,2.45,-103.0,Yes
KYIV-002-3,KYIV-002,Urban,219338,211969,7369,3.36,3684,2210,1475,1377,0.65,-86.9,No
KYIV-003-1,KYIV-003,Urban,251686,248188,3498,1.39,1749,1050,699,1712,0.69,-82.4,No
KYIV-003-2,KYIV-003,Suburban,226524,219706,6818,3.01,3409,2045,1364,2043,0.93,-84.3,No
KYIV-003-3,KYIV-003,Dense Urban,217255,213258,3997,1.84,1999,1200,798,1706,0.8,-94.5,No
KYIV-004-1,KYIV-004,Dense Urban,276845,273219,3626,1.31,1813,1087,726,3606,1.32,-89.5,No
KYIV-004-2,KYIV-004,Urban,195109,189529,5580,2.86,2790,1674,1116,1781,0.94,-93.6,No
KYIV-004-3,KYIV-004,Dense Urban,282759,276426,6333,2.24,3166,1900,1267,3400,1.23,-92.6,No
KYIV-005-1,KYIV-005,Urban,205457,197280,8177,3.98,4088,2453,1636,1597,0.81,-88.3,No
KYIV-005-2,KYIV-005,Dense Urban,182173,177036,5137,2.82,2569,1541,1027,1009,0.57,-86.8,No
KYIV-005-3,KYIV-005,Suburban,223766,202016,21750,9.72,10875,6525,4350,11009,5.45,-98.7,Yes
KYIV-006-1,KYIV-006,Urban,270812,267346,3466,1.28,1733,1040,693,4170,1.56,-79.1,No
KYIV-006-2,KYIV-006,Urban,226722,220352,6370,2.81,3185,1911,1274,2864,1.3,-87.9,No
KYIV-006-3,KYIV-006,Suburban,185042,179769,5273,2.85,2637,1582,1054,1563,0.87,-88.9,No
KYIV-007-1,KYIV-007,Dense Urban,271535,263797,7738,2.85,3869,2321,1548,3534,1.34,-93.7,No
KYIV-007-2,KYIV-007,Dense Urban,235674,230065,5609,2.38,2804,1682,1123,2507,1.09,-82.6,No
KYIV-007-3,KYIV-007,Urban,276345,268635,7710,2.79,3855,2313,1542,1074,0.4,-88.7,No
KYIV-008-1,KYIV-008,Suburban,294039,291040,2999,1.02,1500,899,600,2211,0.76,-89.7,No
KYIV-008-2,KYIV-008,Urban,294970,285826,9144,3.1,4572,2743,1829,4001,1.4,-90.6,No
KYIV-008-3,KYIV-008,Dense Urban,200761,198533,2228,1.11,1114,668,446,1627,0.82,-93.9,No
KYIV-009-1,KYIV-009,Dense Urban,293581,288737,4844,1.65,2422,1453,969,4359,1.51,-88.7,No
KYIV-009-2,KYIV-009,Urban,263412,258223,5189,1.97,2594,1557,1038,4183,1.62,-86.3,No
KYIV-009-3,KYIV-009,Dense Urban,202265,198079,4186,2.07,2093,1256,837,2674,1.35,-83.5,No
KYIV-010-1,KYIV-010,Dense Urban,205443,201109,4334,2.11,2167,1300,867,3579,1.78,-87.9,No
KYIV-010-2,KYIV-010,Dense Urban,202567,196268,6299,3.11,3150,1889,1260,3277,1.67,-96.9,No
KYIV-010-3,KYIV-010,Urban,195500,187700,7800,3.99,3900,2340,1560,713,0.38,-82.9,No
KYIV-011-1,KYIV-011,Dense Urban,225399,222830,2569,1.14,1285,770,514,1470,0.66,-83.5,No
KYIV-011-2,KYIV-011,Suburban,172230,167735,4495,2.61,2247,1349,899,1543,0.92,-84.4,No
KYIV-011-3,KYIV-011,Urban,272696,267488,5208,1.91,2604,1562,1042,1658,0.62,-89.5,No
KYIV-012-1,KYIV-012,Dense Urban,158695,153062,5633,3.55,2816,1690,1127,2494,1.63,-78.8,No
KYIV-012-2,KYIV-012,Dense Urban,254330,247057,7273,2.86,3637,2182,1454,3532,1.43,-84.6,No
KYIV-012-3,KYIV-012,Suburban,294722,288710,6012,2.04,3006,1804,1202,5052,1.75,-84.6,No
KYIV-013-1,KYIV-013,Suburban,154160,151956,2204,1.43,1102,661,441,714,0.47,-84.9,No
KYIV-013-2,KYIV-013,Urban,232410,230086,2324,1.0,1162,697,465,966,0.42,-85.1,No
KYIV-013-3,KYIV-013,Suburban,257158,250498,6660,2.59,3330,1998,1332,4208,1.68,-86.0,No
KYIV-014-1,KYIV-014,Suburban,202381,197828,4553,2.25,2276,1366,911,2492,1.26,-88.7,No
KYIV-014-2,KYIV-014,Urban,291296,261701,29595,10.16,14798,8878,5919,8766,3.35,-98.2,Yes
KYIV-014-3,KYIV-014,Dense Urban,293944,288066,5878,2.0,2939,1764,1175,1814,0.63,-89.3,No
KYIV-015-1,KYIV-015,Dense Urban,288069,279082,8987,3.12,4494,2696,1797,2651,0.95,-93.8,No
KYIV-015-2,KYIV-015,Dense Urban,177004,172916,4088,2.31,2044,1227,817,847,0.49,-88.0,No
KYIV-015-3,KYIV-015,Dense Urban,222617,215204,7413,3.33,3706,2224,1483,2195,1.02,-90.2,No
KYIV-016-1,KYIV-016,Urban,285660,274805,10855,3.8,5427,3256,2172,1291,0.47,-85.4,No
KYIV-016-2,KYIV-016,Suburban,279906,276967,2939,1.05,1470,881,588,1855,0.67,-87.0,No
KYIV-016-3,KYIV-016,Urban,261716,257451,4265,1.63,2132,1279,854,3861,1.5,-88.8,No
