serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
KYIV-001-1,KYIV-001-2,1,0.0,-1.0,Yes,Intra-Frequency,2026-01-13
KYIV-001-1,KYIV-001-3,2,0.0,-1.2,Yes,Intra-Frequency,2026-01-13
KYIV-001-1,KYIV-015-1,3,289.1,0.5,Yes,Intra-Frequency,2026-01-13
KYIV-001-1,KYIV-015-2,4,289.1,-1.6,Yes,Intra-Frequency,2026-01-13
KYIV-001-1,KYIV-015-3,5,289.1,-0.1,Yes,Intra-Frequency,2026-01-13
KYIV-001-1,KYIV-014-1,6,484.3,5.3,Yes,Inter-Frequency,2026-01-13
KYIV-001-1,KYIV-014-2,7,484.3,3.5,Yes,Inter-Frequency,2026-01-13
KYIV-001-1,KYIV-014-3,8,484.3,-2.1,Yes,Inter-Frequency,2026-01-13
KYIV-001-1,KYIV-012-1,9,654.0,-5.1,Yes,Inter-Frequency,2026-01-13
KYIV-001-1,KYIV-012-2,10,654.0,3.1,Yes,Inter-Frequency,2026-01-13
KYIV-001-1,KYIV-012-3,11,654.0,-5.7,Yes,Inter-Frequency,2026-01-13
KYIV-001-2,KYIV-001-1,1,0.0,-1.9,Yes,Intra-Frequency,2026-01-13
KYIV-001-2,KYIV-001-3,2,0.0,-5.4,Yes,Intra-Frequency,2026-01-13
KYIV-001-2,KYIV-015-1,3,289.1,-3.6,Yes,Intra-Frequency,2026-01-13
KYIV-001-2,KYIV-015-2,4,289.1,-5.2,Yes,Intra-Frequency,2026-01-13
KYIV-001-2,KYIV-015-3,5,289.1,-5.0,Yes,Intra-Frequency,2026-01-13
KYIV-001-2,KYIV-014-1,6,484.3,-2.0,Yes,Inter-Frequency,2026-01-13
KYIV-001-2,KYIV-014-2,7,484.3,2.8,Yes,Inter-Frequency,2026-01-13
KYIV-001-2,KYIV-014-3,8,484.3,-2.2,Yes,Inter-Frequency,2026-01-13
KYIV-001-2,KYIV-012-1,9,654.0,-5.6,Yes,Inter-Frequency,2026-01-13
KYIV-001-2,KYIV-012-2,10,654.0,2.6,Yes,Inter-Frequency,2026-01-13
KYIV-001-2,KYIV-012-3,11,654.0,3.6,Yes,Inter-Frequency,2026-01-13
KYIV-001-2,KYIV-013-1,12,760.8,-5.0,Yes,Intra-Frequency,2026-01-13
KYIV-001-3,KYIV-001-1,1,0.0,-0.2,Yes,Intra-Frequency,2026-01-13
KYIV-001-3,KYIV-001-2,2,0.0,-4.5,Yes,Intra-Frequency,2026-01-13
KYIV-001-3,KYIV-015-1,3,289.1,-4.5,Yes,Intra-Frequency,2026-01-13
KYIV-001-3,KYIV-015-2,4,289.1,1.7,Yes,Intra-Frequency,2026-01-13
KYIV-001-3,KYIV-015-3,5,289.1,5.7,Yes,Intra-Frequency,2026-01-13
KYIV-001-3,KYIV-014-1,6,484.3,-4.6,Yes,Inter-Frequency,2026-01-13
KYIV-001-3,KYIV-014-2,7,484.3,-2.9,Yes,Inter-Frequency,2026-01-13
KYIV-001-3,KYIV-014-3,8,484.3,0.6,Yes,Inter-Frequency,2026-01-13
KYIV-001-3,KYIV-012-1,9,654.0,-0.9,Yes,Inter-Frequency,2026-01-13
KYIV-001-3,KYIV-012-2,10,654.0,-3.8,Yes,Inter-Frequency,2026-01-13
