cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
KYIV-001-1,KYIV-001,Kyiv-Site-001,50.452916,30.516369,36,1,3,2,3,5,Urban,58.6,Band 1 (2100MHz),1,40000,Ericsson,LTE,Active
KYIV-001-2,KYIV-001,Kyiv-Site-001,50.452916,30.516369,28,2,121,3,1,4,Urban,48.4,Band 1 (2100MHz),2,40000,Ericsson,LTE,Active
KYIV-001-3,KYIV-001,Kyiv-Site-001,50.452916,30.516369,28,3,244,3,1,4,Suburban,68.7,Band 1 (2100MHz),3,40000,Ericsson,LTE,Active
KYIV-002-1,KYIV-002,Kyiv-Site-002,50.462103,30.502924,34,1,5,2,2,4,Suburban,33.6,Band 3 (1800MHz),4,40001,Ericsson,LTE,Active
KYIV-002-2,KYIV-002,Kyiv-Site-002,50.462103,30.502924,43,2,120,6,2,8,Dense Urban,33.3,Band 3 (1800MHz),5,40001,Ericsson,LTE,Active
KYIV-002-3,KYIV-002,Kyiv-Site-002,50.462103,30.502924,50,3,241,2,1,3,Urban,76.0,Band 3 (1800MHz),6,40001,Ericsson,LTE,Active
KYIV-003-1,KYIV-003,Kyiv-Site-003,50.457349,30.537626,26,1,2,2,1,3,Urban,32.7,Band 1 (2100MHz),7,40002,Ericsson,LTE,Active
KYIV-003-2,KYIV-003,Kyiv-Site-003,50.457349,30.537626,46,2,125,4,1,5,Suburban,73.8,Band 1 (2100MHz),8,40002,Ericsson,LTE,Active
KYIV-003-3,KYIV-003,Kyiv-Site-003,50.457349,30.537626,31,3,239,3,3,6,Dense Urban,69.5,Band 1 (2100MHz),9,40002,Ericsson,LTE,Active
KYIV-004-1,KYIV-004,Kyiv-Site-004,50.445127,30.520155,29,1,-4,4,3,7,Dense Urban,43.4,Band 3 (1800MHz),10,40003,Ericsson,LTE,Active
KYIV-004-2,KYIV-004,Kyiv-Site-004,50.445127,30.520155,44,2,115,5,1,6,Urban,58.3,Band 3 (1800MHz),11,40003,Ericsson,LTE,Active
KYIV-004-3,KYIV-004,Kyiv-Site-004,50.445127,30.520155,36,3,235,2,0,2,Dense Urban,75.3,Band 3 (1800MHz),12,40003,Ericsson,LTE,Active
KYIV-005-1,KYIV-005,Kyiv-Site-005,50.462708,30.516728,44,1,4,3,2,5,Urban,63.8,Band 1 (2100MHz),13,40004,Ericsson,LTE,Active
KYIV-005-2,KYIV-005,Kyiv-Site-005,50.462708,30.516728,41,2,121,5,3,8,Dense Urban,79.6,Band 1 (2100MHz),14,40004,Ericsson,LTE,Active
KYIV-005-3,KYIV-005,Kyiv-Site-005,50.462708,30.516728,39,3,235,3,1,4,Suburban,34.5,Band 1 (2100MHz),15,40004,Ericsson,LTE,Active
KYIV-006-1,KYIV-006,Kyiv-Site-006,50.440049,30.506273,49,1,2,2,3,5,Urban,72.4,Band 3 (1800MHz),16,40005,Ericsson,LTE,Active
KYIV-006-2,KYIV-006,Kyiv-Site-006,50.440049,30.506273,39,2,121,6,3,9,Urban,70.9,Band 3 (1800MHz),17,40005,Ericsson,LTE,Active
KYIV-006-3,KYIV-006,Kyiv-Site-006,50.440049,30.506273,34,3,245,6,3,9,Suburban,61.8,Band 3 (1800MHz),18,40005,Ericsson,LTE,Active
KYIV-007-1,KYIV-007,Kyiv-Site-007,50.462863,30.521517,29,1,3,4,2,6,Dense Urban,64.6,Band 1 (2100MHz),19,40006,Ericsson,LTE,Active
