cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
TKYO-001-1,TKYO-001,High-Rise,281668,275472,6196,2.2,2168,1859,2169,3608,1.31,-80.8,No
TKYO-001-2,TKYO-001,High-Rise,220020,214476,5544,2.52,1940,1663,1941,4310,2.01,-86.5,No
TKYO-001-3,TKYO-001,Dense Urban,268840,266528,2312,0.86,809,694,809,5117,1.92,-78.9,No
TKYO-002-1,TKYO-002,High-Rise,240565,235369,5196,2.16,1818,1559,1819,3765,1.6,-80.6,No
TKYO-002-2,TKYO-002,Dense Urban,215622,193823,21799,10.11,7630,6539,7630,5504,2.84,-96.1,Yes
TKYO-002-3,TKYO-002,Dense Urban,204664,201861,2803,1.37,981,841,981,2866,1.42,-77.1,No
TKYO-003-1,TKYO-003,Dense Urban,172985,169041,3944,2.28,1380,1183,1381,3414,2.02,-78.0,No
TKYO-003-2,TKYO-003,High-Rise,252851,223040,29811,11.79,10434,8943,10434,6601,2.96,-93.9,Yes
TKYO-003-3,TKYO-003,Urban,290516,283864,6652,2.29,2328,1996,2328,2128,0.75,-79.6,No
TKYO-004-1,TKYO-004,Urban,254527,247248,7279,2.86,2548,2184,2547,3263,1.32,-77.9,No
TKYO-004-2,TKYO-004,Urban,282887,279945,2942,1.04,1030,883,1029,1875,0.67,-84.2,No
TKYO-004-3,TKYO-004,Dense Urban,186965,185675,1290,0.69,452,387,451,2562,1.38,-87.5,No
TKYO-005-1,TKYO-005,Urban,224438,221139,3299,1.47,1154,990,1155,3184,1.44,-82.3,No
TKYO-005-2,TKYO-005,Dense Urban,293352,288072,5280,1.8,1848,1584,1848,4407,1.53,-83.7,No
TKYO-005-3,TKYO-005,Dense Urban,239031,233534,5497,2.3,1924,1649,1924,980,0.42,-86.7,No
TKYO-006-1,TKYO-006,High-Rise,241434,215022,26412,10.94,9244,7924,9244,10923,5.08,-98.9,Yes
TKYO-006-2,TKYO-006,High-Rise,256517,252747,3770,1.47,1319,1131,1320,1440,0.57,-84.3,No
TKYO-006-3,TKYO-006,Urban,248532,241375,7157,2.88,2505,2148,2504,2486,1.03,-87.7,No
TKYO-007-1,TKYO-007,Dense Urban,165162,160934,4228,2.56,1480,1268,1480,1512,0.94,-85.0,No
TKYO-007-2,TKYO-007,High-Rise,261596,256522,5074,1.94,1776,1522,1776,2385,0.93,-83.4,No
TKYO-007-3,TKYO-007,High-Rise,247329,240083,7246,2.93,2536,2174,2536,1488,0.62,-83.5,No
TKYO-008-1,TKYO-008,Urban,242882,237321,5561,2.29,1946,1668,1947,4248,1.79,-94.6,No
TKYO-008-2,TKYO-008,Urban,164496,161075,3421,2.08,1197,1027,1197,2351,1.46,-82.8,No
TKYO-008-3,TKYO-008,Urban,276139,270920,5219,1.89,1827,1566,1826,1354,0.5,-86.0,No
TKYO-009-1,TKYO-009,High-Rise,172138,168851,3287,1.91,1151,986,1150,2009,1.19,-90.3,No
