serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
TKYO-001-1,TKYO-001-2,1,0.0,1.2,Yes,Intra-Frequency,2026-10-13
TKYO-001-1,TKYO-001-3,2,0.0,2.9,Yes,Intra-Frequency,2026-10-13
TKYO-001-1,TKYO-008-1,3,507.4,1.2,Yes,Inter-Frequency,2026-10-13
TKYO-001-1,TKYO-008-2,4,507.4,-1.5,Yes,Inter-Frequency,2026-10-13
TKYO-001-1,TKYO-008-3,5,507.4,1.1,Yes,Inter-Frequency,2026-10-13
TKYO-001-1,TKYO-002-1,6,554.1,1.2,Yes,Inter-Frequency,2026-10-13
TKYO-001-1,TKYO-002-2,7,554.1,-0.6,Yes,Inter-Frequency,2026-10-13
TKYO-001-1,TKYO-002-3,8,554.1,5.1,Yes,Inter-Frequency,2026-10-13
TKYO-001-1,TKYO-013-1,9,1023.1,-0.3,Yes,Intra-Frequency,2026-10-13
TKYO-001-1,TKYO-013-2,10,1023.1,-5.7,Yes,Intra-Frequency,2026-10-13
TKYO-001-1,TKYO-013-3,11,1023.1,0.6,Yes,Intra-Frequency,2026-10-13
TKYO-001-1,TKYO-011-1,12,1132.4,0.5,Yes,Intra-Frequency,2026-10-13
TKYO-001-1,TKYO-011-2,13,1132.4,0.8,Yes,Intra-Frequency,2026-10-13
TKYO-001-2,TKYO-001-1,1,0.0,0.5,Yes,Intra-Frequency,2026-10-13
TKYO-001-2,TKYO-001-3,2,0.0,0.0,Yes,Intra-Frequency,2026-10-13
TKYO-001-2,TKYO-008-1,3,507.4,0.4,Yes,Inter-Frequency,2026-10-13
TKYO-001-2,TKYO-008-2,4,507.4,5.7,Yes,Inter-Frequency,2026-10-13
TKYO-001-2,TKYO-008-3,5,507.4,0.3,Yes,Inter-Frequency,2026-10-13
TKYO-001-2,TKYO-002-1,6,554.1,-5.6,Yes,Inter-Frequency,2026-10-13
TKYO-001-2,TKYO-002-2,7,554.1,-0.4,Yes,Inter-Frequency,2026-10-13
TKYO-001-2,TKYO-002-3,8,554.1,1.0,Yes,Inter-Frequency,2026-10-13
TKYO-001-2,TKYO-013-1,9,1023.1,-0.9,Yes,Intra-Frequency,2026-10-13
TKYO-001-2,TKYO-013-2,10,1023.1,-3.0,Yes,Intra-Frequency,2026-10-13
TKYO-001-3,TKYO-001-1,1,0.0,-2.8,Yes,Intra-Frequency,2026-10-13
TKYO-001-3,TKYO-001-2,2,0.0,3.8,Yes,Intra-Frequency,2026-10-13
TKYO-001-3,TKYO-008-1,3,507.4,-2.1,Yes,Inter-Frequency,2026-10-13
TKYO-001-3,TKYO-008-2,4,507.4,-2.6,Yes,Inter-Frequency,2026-10-13
TKYO-001-3,TKYO-008-3,5,507.4,-2.1,Yes,Inter-Frequency,2026-10-13
TKYO-001-3,TKYO-002-1,6,554.1,3.2,Yes,Inter-Frequency,2026-10-13
TKYO-001-3,TKYO-002-2,7,554.1,1.2,Yes,Inter-Frequency,2026-10-13
TKYO-001-3,TKYO-002-3,8,554.1,3.8,Yes,Inter-Frequency,2026-10-13
TKYO-001-3,TKYO-013-1,9,1023.1,-2.2,Yes,Intra-Frequency,2026-10-13
TKYO-001-3,TKYO-013-2,10,1023.1,-1.2,Yes,Intra-Frequency,2026-10-13
TKYO-002-1,TKYO-002-2,1,0.0,1.7,Yes,Intra-Frequency,2026-10-13
TKYO-002-1,TKYO-002-3,2,0.0,1.5,Yes,Intra-Frequency,2026-10-13
TKYO-002-1,TKYO-008-1,3,118.2,-1.9,Yes,Intra-Frequency,2026-10-13
