cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
TKYO-001-1,TKYO-001,Tokyo-Downtown-Site-001,35.667006,139.6935,40,1,-3,2,3,5,High-Rise,57.6,Band 1 (2100MHz),1,42000,Rakuten,LTE,Active
TKYO-001-2,TKYO-001,Tokyo-Downtown-Site-001,35.667006,139.6935,32,2,120,6,3,9,High-Rise,34.7,Band 1 (2100MHz),2,42000,Rakuten,LTE,Active
TKYO-001-3,TKYO-001,Tokyo-Downtown-Site-001,35.667006,139.6935,48,3,239,3,2,5,Dense Urban,58.7,Band 1 (2100MHz),3,42000,Rakuten,LTE,Active
TKYO-002-1,TKYO-002,Tokyo-Downtown-Site-002,35.662024,139.69363,39,1,-5,4,3,7,High-Rise,67.6,Band 41 (2500MHz),4,42001,Rakuten,LTE,Active
TKYO-002-2,TKYO-002,Tokyo-Downtown-Site-002,35.662024,139.69363,39,2,118,2,0,2,Dense Urban,69.5,Band 41 (2500MHz),5,42001,Rakuten,LTE,Active
TKYO-002-3,TKYO-002,Tokyo-Downtown-Site-002,35.662024,139.69363,34,3,244,2,3,5,Dense Urban,40.3,Band 41 (2500MHz),6,42001,Rakuten,LTE,Active
TKYO-003-1,TKYO-003,Tokyo-Downtown-Site-003,35.648951,139.708462,45,1,4,6,3,9,Dense Urban,44.3,Band 1 (2100MHz),7,42002,Rakuten,LTE,Active
TKYO-003-2,TKYO-003,Tokyo-Downtown-Site-003,35.648951,139.708462,42,2,120,4,0,4,High-Rise,45.0,Band 1 (2100MHz),8,42002,Rakuten,LTE,Active
TKYO-003-3,TKYO-003,Tokyo-Downtown-Site-003,35.648951,139.708462,28,3,236,6,1,7,Urban,55.5,Band 1 (2100MHz),9,42002,Rakuten,LTE,Active
TKYO-004-1,TKYO-004,Tokyo-Downtown-Site-004,35.651784,139.702423,44,1,5,2,2,4,Urban,56.9,Band 41 (2500MHz),10,42003,Rakuten,LTE,Active
TKYO-004-2,TKYO-004,Tokyo-Downtown-Site-004,35.651784,139.702423,48,2,118,6,1,7,Urban,65.5,Band 41 (2500MHz),11,42003,Rakuten,LTE,Active
TKYO-004-3,TKYO-004,Tokyo-Downtown-Site-004,35.651784,139.702423,44,3,244,4,2,6,Dense Urban,47.3,Band 41 (2500MHz),12,42003,Rakuten,LTE,Active
TKYO-005-1,TKYO-005,Tokyo-Downtown-Site-005,35.65247,139.698498,26,1,-1,6,3,9,Urban,52.0,Band 1 (2100MHz),13,42004,Rakuten,LTE,Active
TKYO-005-2,TKYO-005,Tokyo-Downtown-Site-005,35.65247,139.698498,31,2,125,3,2,5,Dense Urban,66.8,Band 1 (2100MHz),14,42004,Rakuten,LTE,Active
TKYO-005-3,TKYO-005,Tokyo-Downtown-Site-005,35.65247,139.698498,38,3,239,2,2,4,Dense Urban,62.0,Band 1 (2100MHz),15,42004,Rakuten,LTE,Active
TKYO-006-1,TKYO-006,Tokyo-Downtown-Site-006,35.650629,139.69263,36,1,1,5,0,5,High-Rise,39.5,Band 41 (2500MHz),16,42005,Rakuten,LTE,Active
TKYO-006-2,TKYO-006,Tokyo-Downtown-Site-006,35.650629,139.69263,27,2,115,4,3,7,High-Rise,68.5,Band 41 (2500MHz),17,42005,Rakuten,LTE,Active
TKYO-006-3,TKYO-006,Tokyo-Downtown-Site-006,35.650629,139.69263,27,3,245,6,3,9,Urban,47.1,Band 41 (2500MHz),18,42005,Rakuten,LTE,Active
TKYO-007-1,TKYO-007,Tokyo-Downtown-Site-007,35.648484,139.696797,35,1,-4,4,1,5,Dense Urban,74.1,Band 1 (2100MHz),19,42006,Rakuten,LTE,Active
