cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
TKYO-001-1,TKYO-001,Urban,257865,243348,14517,5.63,6533,4355,3629,6424,2.64,-87.8,Yes
TKYO-001-2,TKYO-001,High-Rise,287337,283545,3792,1.32,1706,1138,948,3260,1.15,-75.3,No
TKYO-001-3,TKYO-001,Urban,274686,270676,4010,1.46,1805,1203,1002,2652,0.98,-83.7,No
TKYO-002-1,TKYO-002,High-Rise,230948,228385,2563,1.11,1154,769,640,1553,0.68,-81.7,No
TKYO-002-2,TKYO-002,Dense Urban,218678,212796,5882,2.69,2647,1765,1470,936,0.44,-83.2,No
TKYO-002-3,TKYO-002,High-Rise,282212,278572,3640,1.29,1638,1092,910,2507,0.9,-81.0,No
TKYO-003-1,TKYO-003,Dense Urban,176801,174574,2227,1.26,1002,668,557,733,0.42,-85.2,No
TKYO-003-2,TKYO-003,Urban,254388,252481,1907,0.75,858,572,477,2045,0.81,-79.8,No
TKYO-003-3,TKYO-003,High-Rise,187274,186057,1217,0.65,548,365,304,1934,1.04,-84.5,No
TKYO-004-1,TKYO-004,Dense Urban,292709,289724,2985,1.02,1344,896,745,3389,1.17,-81.3,No
TKYO-004-2,TKYO-004,High-Rise,163949,160572,3377,2.06,1519,1013,845,947,0.59,-81.7,No
TKYO-004-3,TKYO-004,Dense Urban,211880,207219,4661,2.2,2097,1398,1166,2714,1.31,-89.2,No
TKYO-005-1,TKYO-005,High-Rise,279123,274992,4131,1.48,1859,1239,1033,1567,0.57,-84.0,No
TKYO-005-2,TKYO-005,High-Rise,225531,219352,6179,2.74,2781,1854,1544,2083,0.95,-86.6,No
TKYO-005-3,TKYO-005,Urban,190741,186335,4406,2.31,1982,1322,1102,2291,1.23,-86.3,No
TKYO-006-1,TKYO-006,Dense Urban,216851,211842,5009,2.31,2254,1503,1252,995,0.47,-81.1,No
TKYO-006-2,TKYO-006,High-Rise,221166,218756,2410,1.09,1084,723,603,875,0.4,-82.7,No
TKYO-006-3,TKYO-006,Dense Urban,248672,242257,6415,2.58,2887,1924,1604,3488,1.44,-89.3,No
TKYO-007-1,TKYO-007,Urban,270775,266578,4197,1.55,1888,1259,1050,1626,0.61,-82.9,No
TKYO-007-2,TKYO-007,Dense Urban,245669,239601,6068,2.47,2730,1820,1518,1198,0.5,-76.7,No
TKYO-007-3,TKYO-007,High-Rise,186297,183652,2645,1.42,1190,793,662,2809,1.53,-89.0,No
TKYO-008-1,TKYO-008,Urban,240766,224587,16179,6.72,7281,4854,4044,10892,4.85,-89.4,Yes
TKYO-008-2,TKYO-008,Urban,191310,187618,3692,1.93,1661,1108,923,1519,0.81,-84.3,No
TKYO-008-3,TKYO-008,High-Rise,276276,269231,7045,2.55,3170,2113,1762,2584,0.96,-80.7,No
TKYO-009-1,TKYO-009,Dense Urban,216458,210549,5909,2.73,2659,1773,1477,2484,1.18,-82.0,No
