serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
TKYO-001-1,TKYO-001-2,1,0.0,3.9,Yes,Intra-Frequency,2026-04-14
TKYO-001-1,TKYO-001-3,2,0.0,-2.2,Yes,Intra-Frequency,2026-04-14
TKYO-001-1,TKYO-007-1,3,172.2,1.3,Yes,Intra-Frequency,2026-04-14
TKYO-001-1,TKYO-007-2,4,172.2,3.8,Yes,Intra-Frequency,2026-04-14
TKYO-001-1,TKYO-007-3,5,172.2,3.1,Yes,Intra-Frequency,2026-04-14
TKYO-001-1,TKYO-009-1,6,552.8,1.2,Yes,Intra-Frequency,2026-04-14
TKYO-001-1,TKYO-009-2,7,552.8,4.5,Yes,Intra-Frequency,2026-04-14
TKYO-001-1,TKYO-009-3,8,552.8,1.3,Yes,Intra-Frequency,2026-04-14
TKYO-001-1,TKYO-016-1,9,758.6,-0.8,Yes,Inter-Frequency,2026-04-14
TKYO-001-1,TKYO-016-2,10,758.6,2.8,Yes,Inter-Frequency,2026-04-14
TKYO-001-1,TKYO-016-3,11,758.6,-3.4,Yes,Inter-Frequency,2026-04-14
TKYO-001-1,TKYO-006-1,12,918.1,5.0,Yes,Inter-Frequency,2026-04-14
TKYO-001-2,TKYO-001-1,1,0.0,2.4,Yes,Intra-Frequency,2026-04-14
TKYO-001-2,TKYO-001-3,2,0.0,1.7,Yes,Intra-Frequency,2026-04-14
TKYO-001-2,TKYO-007-1,3,172.2,2.2,Yes,Intra-Frequency,2026-04-14
TKYO-001-2,TKYO-007-2,4,172.2,-2.6,Yes,Intra-Frequency,2026-04-14
TKYO-001-2,TKYO-007-3,5,172.2,-3.3,Yes,Intra-Frequency,2026-04-14
TKYO-001-2,TKYO-009-1,6,552.8,-5.8,Yes,Intra-Frequency,2026-04-14
TKYO-001-2,TKYO-009-2,7,552.8,3.4,Yes,Intra-Frequency,2026-04-14
TKYO-001-2,TKYO-009-3,8,552.8,-2.8,Yes,Intra-Frequency,2026-04-14
TKYO-001-3,TKYO-001-1,1,0.0,3.0,Yes,Intra-Frequency,2026-04-14
TKYO-001-3,TKYO-001-2,2,0.0,5.3,Yes,Intra-Frequency,2026-04-14
TKYO-001-3,TKYO-007-1,3,172.2,4.6,Yes,Intra-Frequency,2026-04-14
TKYO-001-3,TKYO-007-2,4,172.2,-2.6,Yes,Intra-Frequency,2026-04-14
TKYO-001-3,TKYO-007-3,5,172.2,-2.5,Yes,Intra-Frequency,2026-04-14
