cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
TKYO-001-1,TKYO-001,Tokyo-Downtown-Site-001,35.649274,139.686098,31,1,-2,3,1,4,Urban,67.4,Band 1 (2100MHz),1,42000,Rakuten,LTE,Active
TKYO-001-2,TKYO-001,Tokyo-Downtown-Site-001,35.649274,139.686098,30,2,125,5,0,5,High-Rise,50.4,Band 1 (2100MHz),2,42000,Rakuten,LTE,Active
TKYO-001-3,TKYO-001,Tokyo-Downtown-Site-001,35.649274,139.686098,28,3,245,6,1,7,Urban,63.6,Band 1 (2100MHz),3,42000,Rakuten,LTE,Active
TKYO-002-1,TKYO-002,Tokyo-Downtown-Site-002,35.662421,139.702972,35,1,-5,6,0,6,High-Rise,30.1,Band 41 (2500MHz),4,42001,Rakuten,LTE,Active
TKYO-002-2,TKYO-002,Tokyo-Downtown-Site-002,35.662421,139.702972,30,2,116,6,1,7,Dense Urban,69.6,Band 41 (2500MHz),5,42001,Rakuten,LTE,Active
TKYO-002-3,TKYO-002,Tokyo-Downtown-Site-002,35.662421,139.702972,46,3,237,5,3,8,High-Rise,74.2,Band 41 (2500MHz),6,42001,Rakuten,LTE,Active
TKYO-003-1,TKYO-003,Tokyo-Downtown-Site-003,35.664778,139.69813,32,1,0,4,3,7,Dense Urban,68.9,Band 1 (2100MHz),7,42002,Rakuten,LTE,Active
TKYO-003-2,TKYO-003,Tokyo-Downtown-Site-003,35.664778,139.69813,40,2,116,3,2,5,Urban,42.8,Band 1 (2100MHz),8,42002,Rakuten,LTE,Active
TKYO-003-3,TKYO-003,Tokyo-Downtown-Site-003,35.664778,139.69813,26,3,240,2,0,2,High-Rise,58.3,Band 1 (2100MHz),9,42002,Rakuten,LTE,Active
TKYO-004-1,TKYO-004,Tokyo-Downtown-Site-004,35.660838,139.688884,27,1,-1,2,3,5,Dense Urban,75.8,Band 41 (2500MHz),10,42003,Rakuten,LTE,Active
TKYO-004-2,TKYO-004,Tokyo-Downtown-Site-004,35.660838,139.688884,34,2,116,6,2,8,High-Rise,47.0,Band 41 (2500MHz),11,42003,Rakuten,LTE,Active
TKYO-004-3,TKYO-004,Tokyo-Downtown-Site-004,35.660838,139.688884,25,3,239,2,1,3,Dense Urban,36.7,Band 41 (2500MHz),12,42003,Rakuten,LTE,Active
TKYO-005-1,TKYO-005,Tokyo-Downtown-Site-005,35.662491,139.697282,25,1,-3,6,1,7,High-Rise,41.7,Band 1 (2100MHz),13,42004,Rakuten,LTE,Active
TKYO-005-2,TKYO-005,Tokyo-Downtown-Site-005,35.662491,139.697282,28,2,121,6,2,8,High-Rise,30.2,Band 1 (2100MHz),14,42004,Rakuten,LTE,Active
TKYO-005-3,TKYO-005,Tokyo-Downtown-Site-005,35.662491,139.697282,42,3,244,5,0,5,Urban,37.8,Band 1 (2100MHz),15,42004,Rakuten,LTE,Active
TKYO-006-1,TKYO-006,Tokyo-Downtown-Site-006,35.647851,139.696107,40,1,0,6,3,9,Dense Urban,62.1,Band 41 (2500MHz),16,42005,Rakuten,LTE,Active
