cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
TKYO-001-1,TKYO-001,Urban,271143,267998,3145,1.16,943,943,1259,5681,2.12,-82.0,No
TKYO-001-2,TKYO-001,Urban,272776,270212,2564,0.94,769,769,1026,3972,1.47,-79.2,No
TKYO-001-3,TKYO-001,Dense Urban,182735,179647,3088,1.69,926,927,1235,1329,0.74,-84.1,No
TKYO-002-1,TKYO-002,Urban,286827,283300,3527,1.23,1058,1058,1411,3371,1.19,-82.2,No
TKYO-002-2,TKYO-002,Dense Urban,170626,168733,1893,1.11,568,568,757,2986,1.77,-90.1,No
TKYO-002-3,TKYO-002,High-Rise,242365,240402,1963,0.81,589,589,785,4182,1.74,-83.1,No
TKYO-003-1,TKYO-003,Urban,230221,223246,6975,3.03,2092,2092,2791,1718,0.77,-77.7,No
TKYO-003-2,TKYO-003,Urban,169012,155965,13047,7.72,3914,3915,5218,8359,5.36,-92.9,Yes
TKYO-003-3,TKYO-003,Urban,263857,255625,8232,3.12,2469,2470,3293,4422,1.73,-74.8,No
TKYO-004-1,TKYO-004,Urban,295081,292455,2626,0.89,788,788,1050,5790,1.98,-82.8,No
TKYO-004-2,TKYO-004,Dense Urban,295648,291539,4109,1.39,1232,1232,1645,4081,1.4,-77.1,No
TKYO-004-3,TKYO-004,Urban,202422,201107,1315,0.65,395,394,526,3217,1.6,-93.8,No
TKYO-005-1,TKYO-005,Dense Urban,203465,200719,2746,1.35,824,824,1098,2569,1.28,-82.6,No
TKYO-005-2,TKYO-005,Dense Urban,299386,292950,6436,2.15,1931,1931,2574,1464,0.5,-86.8,No
TKYO-005-3,TKYO-005,Dense Urban,206979,190752,16227,7.84,4868,4868,6491,13619,7.14,-93.8,Yes
TKYO-006-1,TKYO-006,Urban,215404,213466,1938,0.9,582,581,775,4546,2.13,-87.8,No
TKYO-006-2,TKYO-006,High-Rise,248031,241161,6870,2.77,2061,2061,2748,3545,1.47,-86.4,No
TKYO-006-3,TKYO-006,High-Rise,162658,160300,2358,1.45,708,708,942,1731,1.08,-81.0,No
TKYO-007-1,TKYO-007,High-Rise,207981,203780,4201,2.02,1260,1260,1681,4299,2.11,-81.8,No
TKYO-007-2,TKYO-007,High-Rise,203815,199637,4178,2.05,1253,1254,1671,1257,0.63,-84.4,No
TKYO-007-3,TKYO-007,Dense Urban,159139,149973,9166,5.76,2750,2749,3667,5788,3.86,-89.6,Yes
TKYO-008-1,TKYO-008,Dense Urban,225812,219309,6503,2.88,1951,1951,2601,4912,2.24,-82.2,No
TKYO-008-2,TKYO-008,Dense Urban,238956,234273,4683,1.96,1405,1405,1873,3748,1.6,-89.9,No
TKYO-008-3,TKYO-008,Dense Urban,225285,222965,2320,1.03,696,696,928,3500,1.57,-79.0,No
TKYO-009-1,TKYO-009,Dense Urban,263789,258250,5539,2.1,1661,1661,2217,3563,1.38,-84.4,No
TKYO-009-2,TKYO-009,Dense Urban,188927,186623,2304,1.22,691,691,922,2370,1.27,-81.5,No
TKYO-009-3,TKYO-009,Urban,157532,153783,3749,2.38,1124,1125,1500,1737,1.13,-80.4,No
TKYO-010-1,TKYO-010,Dense Urban,287321,280771,6550,2.28,1965,1965,2620,6176,2.2,-82.7,No
TKYO-010-2,TKYO-010,High-Rise,200271,193943,6328,3.16,1898,1899,2531,3529,1.82,-82.7,No
TKYO-010-3,TKYO-010,Dense Urban,187392,185425,1967,1.05,590,590,787,1446,0.78,-85.6,No
TKYO-011-1,TKYO-011,High-Rise,174427,169596,4831,2.77,1449,1450,1932,2018,1.19,-84.7,No
TKYO-011-2,TKYO-011,Urban,208425,203319,5106,2.45,1532,1532,2042,1301,0.64,-85.0,No
TKYO-011-3,TKYO-011,Urban,163676,160190,3486,2.13,1046,1046,1394,2579,1.61,-86.7,No
TKYO-012-1,TKYO-012,Dense Urban,213845,212092,1753,0.82,526,526,701,3817,1.8,-80.9,No
TKYO-012-2,TKYO-012,High-Rise,253597,249591,4006,1.58,1202,1202,1602,1672,0.67,-82.7,No
TKYO-012-3,TKYO-012,Urban,224775,220864,3911,1.74,1173,1173,1565,3975,1.8,-82.4,No
TKYO-013-1,TKYO-013,Dense Urban,259386,252850,6536,2.52,1960,1961,2615,4399,1.74,-84.0,No
TKYO-013-2,TKYO-013,High-Rise,279270,263157,16113,5.77,4834,4834,6445,14052,5.34,-94.4,Yes
TKYO-013-3,TKYO-013,Dense Urban,212626,209373,3253,1.53,976,975,1302,4271,2.04,-86.0,No
TKYO-014-1,TKYO-014,Urban,165947,163591,2356,1.42,707,706,943,2208,1.35,-92.8,No
TKYO-014-2,TKYO-014,Dense Urban,203061,183202,19859,9.78,5958,5958,7943,11303,6.17,-89.5,Yes
TKYO-014-3,TKYO-014,Urban,266952,263162,3790,1.42,1137,1137,1516,2052,0.78,-80.6,No
TKYO-015-1,TKYO-015,Dense Urban,170095,168122,1973,1.16,592,592,789,2404,1.43,-81.1,No
TKYO-015-2,TKYO-015,Urban,265476,257672,7804,2.94,2341,2342,3121,5127,1.99,-87.1,No
TKYO-015-3,TKYO-015,High-Rise,150660,148868,1792,1.19,538,537,717,774,0.52,-81.8,No
TKYO-016-1,TKYO-016,High-Rise,279872,275115,4757,1.7,1427,1427,1903,4621,1.68,-78.9,No
TKYO-016-2,TKYO-016,High-Rise,288405,281916,6489,2.25,1947,1947,2595,6061,2.15,-85.7,No
TKYO-016-3,TKYO-016,Urban,215516,210258,5258,2.44,1578,1577,2103,2670,1.27,-87.5,No
