serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
TKYO-001-1,TKYO-001-2,1,0.0,-5.2,Yes,Intra-Frequency,2026-07-15
TKYO-001-1,TKYO-001-3,2,0.0,5.2,Yes,Intra-Frequency,2026-07-15
TKYO-001-1,TKYO-009-1,3,116.8,-1.1,Yes,Intra-Frequency,2026-07-15
TKYO-001-1,TKYO-009-2,4,116.8,-2.3,Yes,Intra-Frequency,2026-07-15
TKYO-001-1,TKYO-009-3,5,116.8,5.3,Yes,Intra-Frequency,2026-07-15
TKYO-001-1,TKYO-007-1,6,120.4,0.6,Yes,Intra-Frequency,2026-07-15
TKYO-001-1,TKYO-007-2,7,120.4,0.9,Yes,Intra-Frequency,2026-07-15
TKYO-001-1,TKYO-007-3,8,120.4,-5.2,Yes,Intra-Frequency,2026-07-15
TKYO-001-1,TKYO-016-1,9,281.5,-4.5,Yes,Inter-Frequency,2026-07-15
TKYO-001-1,TKYO-016-2,10,281.5,-0.9,Yes,Inter-Frequency,2026-07-15
TKYO-001-2,TKYO-001-1,1,0.0,5.0,Yes,Intra-Frequency,2026-07-15
TKYO-001-2,TKYO-001-3,2,0.0,0.4,Yes,Intra-Frequency,2026-07-15
TKYO-001-2,TKYO-009-1,3,116.8,-5.7,Yes,Intra-Frequency,2026-07-15
TKYO-001-2,TKYO-009-2,4,116.8,1.9,Yes,Intra-Frequency,2026-07-15
TKYO-001-2,TKYO-009-3,5,116.8,5.5,Yes,Intra-Frequency,2026-07-15
TKYO-001-2,TKYO-007-1,6,120.4,3.6,Yes,Intra-Frequency,2026-07-15
TKYO-001-2,TKYO-007-2,7,120.4,-4.9,Yes,Intra-Frequency,2026-07-15
TKYO-001-2,TKYO-007-3,8,120.4,2.1,Yes,Intra-Frequency,2026-07-15
TKYO-001-2,TKYO-016-1,9,281.5,-2.4,Yes,Inter-Frequency,2026-07-15
TKYO-001-2,TKYO-016-2,10,281.5,5.0,Yes,Inter-Frequency,2026-07-15
TKYO-001-3,TKYO-001-1,1,0.0,3.5,Yes,Intra-Frequency,2026-07-15
TKYO-001-3,TKYO-001-2,2,0.0,1.3,Yes,Intra-Frequency,2026-07-15
TKYO-001-3,TKYO-009-1,3,116.8,3.4,Yes,Intra-Frequency,2026-07-15
TKYO-001-3,TKYO-009-2,4,116.8,5.4,Yes,Intra-Frequency,2026-07-15
TKYO-001-3,TKYO-009-3,5,116.8,-0.1,Yes,Intra-Frequency,2026-07-15
TKYO-001-3,TKYO-007-1,6,120.4,-2.1,Yes,Intra-Frequency,2026-07-15
TKYO-001-3,TKYO-007-2,7,120.4,5.6,Yes,Intra-Frequency,2026-07-15
TKYO-001-3,TKYO-007-3,8,120.4,-3.9,Yes,Intra-Frequency,2026-07-15
TKYO-002-1,TKYO-002-2,1,0.0,1.7,Yes,Intra-Frequency,2026-07-15
TKYO-002-1,TKYO-002-3,2,0.0,4.8,Yes,Intra-Frequency,2026-07-15
TKYO-002-1,TKYO-012-1,3,797.5,-2.9,Yes,Intra-Frequency,2026-07-15
TKYO-002-1,TKYO-012-2,4,797.5,-5.6,Yes,Intra-Frequency,2026-07-15
TKYO-002-1,TKYO-012-3,5,797.5,3.6,Yes,Intra-Frequency,2026-07-15
TKYO-002-1,TKYO-015-1,6,839.3,3.9,Yes,Inter-Frequency,2026-07-15
TKYO-002-1,TKYO-015-2,7,839.3,-2.9,Yes,Inter-Frequency,2026-07-15
TKYO-002-1,TKYO-015-3,8,839.3,-5.7,Yes,Inter-Frequency,2026-07-15
TKYO-002-1,TKYO-011-1,9,909.9,-5.1,Yes,Inter-Frequency,2026-07-15
TKYO-002-2,TKYO-002-1,1,0.0,-3.7,Yes,Intra-Frequency,2026-07-15
TKYO-002-2,TKYO-002-3,2,0.0,5.6,Yes,Intra-Frequency,2026-07-15
TKYO-002-2,TKYO-012-1,3,797.5,5.6,Yes,Intra-Frequency,2026-07-15
TKYO-002-2,TKYO-012-2,4,797.5,-1.1,Yes,Intra-Frequency,2026-07-15
TKYO-002-2,TKYO-012-3,5,797.5,-1.8,Yes,Intra-Frequency,2026-07-15
TKYO-002-2,TKYO-015-1,6,839.3,3.9,Yes,Inter-Frequency,2026-07-15
TKYO-002-2,TKYO-015-2,7,839.3,-0.7,Yes,Inter-Frequency,2026-07-15
TKYO-002-2,TKYO-015-3,8,839.3,2.8,Yes,Inter-Frequency,2026-07-15
