timestamp_utc,cell_id,enodeb_id,frequency_band,avg_rsrp_dBm,avg_rsrq_dB,avg_sinr_dB,prb_utilization_dl_pct,prb_utilization_ul_pct,active_ue_avg
2026-07-15 00:00:00,TKYO-001-1,TKYO-001,Band 1 (2100MHz),-86.7,-10.8,1.2,24.0,0.0,0.0
2026-07-15 00:00:00,TKYO-001-2,TKYO-001,Band 1 (2100MHz),-81.8,-7.7,14.7,8.4,6.8,20.5
2026-07-15 00:00:00,TKYO-001-3,TKYO-001,Band 1 (2100MHz),-81.9,-7.3,16.7,0.3,18.7,28.5
2026-07-15 00:00:00,TKYO-002-1,TKYO-002,Band 41 (2500MHz),-90.7,-7.6,1.6,2.5,3.5,0.8
2026-07-15 00:00:00,TKYO-002-2,TKYO-002,Band 41 (2500MHz),-83.1,-6.8,4.4,9.1,13.1,46.2
2026-07-15 00:00:00,TKYO-002-3,TKYO-002,Band 41 (2500MHz),-81.1,-7.9,5.3,13.0,0.0,31.0
2026-07-15 00:00:00,TKYO-003-1,TKYO-003,Band 1 (2100MHz),-82.1,-7.6,9.3,0.0,15.0,53.3
2026-07-15 00:00:00,TKYO-003-2,TKYO-003,Band 1 (2100MHz),-95.8,-10.1,-5.8,8.4,0.0,29.4
2026-07-15 00:00:00,TKYO-003-3,TKYO-003,Band 1 (2100MHz),-85.9,-5.4,3.7,8.3,18.5,23.6
2026-07-15 00:00:00,TKYO-004-1,TKYO-004,Band 41 (2500MHz),-77.5,-8.6,9.3,0.0,14.3,25.5
2026-07-15 00:00:00,TKYO-004-2,TKYO-004,Band 41 (2500MHz),-85.2,-7.1,-4.9,14.2,0.0,39.5
2026-07-15 00:00:00,TKYO-004-3,TKYO-004,Band 41 (2500MHz),-82.1,-5.9,8.2,0.0,0.0,0.0
2026-07-15 00:00:00,TKYO-005-1,TKYO-005,Band 1 (2100MHz),-82.9,-10.4,8.4,0.0,19.2,41.8
2026-07-15 00:00:00,TKYO-005-2,TKYO-005,Band 1 (2100MHz),-81.6,-9.4,2.6,0.0,10.4,0.0
2026-07-15 00:00:00,TKYO-005-3,TKYO-005,Band 1 (2100MHz),-98.3,-13.9,-4.7,0.7,21.0,9.1
2026-07-15 00:00:00,TKYO-006-1,TKYO-006,Band 41 (2500MHz),-80.7,-5.9,4.3,0.0,1.7,0.0
2026-07-15 00:00:00,TKYO-006-2,TKYO-006,Band 41 (2500MHz),-88.4,-11.1,2.1,30.5,13.2,24.2
2026-07-15 00:00:00,TKYO-006-3,TKYO-006,Band 41 (2500MHz),-95.2,-9.2,9.3,2.4,6.0,46.2
2026-07-15 00:00:00,TKYO-007-1,TKYO-007,Band 1 (2100MHz),-80.0,-8.8,19.7,10.3,1.7,30.4
2026-07-15 00:00:00,TKYO-007-2,TKYO-007,Band 1 (2100MHz),-79.3,-9.9,16.5,12.6,8.7,5.4
2026-07-15 00:00:00,TKYO-007-3,TKYO-007,Band 1 (2100MHz),-86.1,-9.9,4.3,25.8,28.1,57.6
2026-07-15 00:00:00,TKYO-008-1,TKYO-008,Band 41 (2500MHz),-84.4,-10.8,1.5,13.2,9.1,9.2
2026-07-15 00:00:00,TKYO-008-2,TKYO-008,Band 41 (2500MHz),-82.2,-9.0,4.3,7.7,5.6,23.5
2026-07-15 00:00:00,TKYO-008-3,TKYO-008,Band 41 (2500MHz),-85.7,-7.4,-3.0,0.0,10.6,9.1
2026-07-15 00:00:00,TKYO-009-1,TKYO-009,Band 1 (2100MHz),-76.9,-7.7,6.9,0.0,17.9,64.2
2026-07-15 00:00:00,TKYO-009-2,TKYO-009,Band 1 (2100MHz),-87.1,-5.8,11.7,39.5,21.1,0.0
2026-07-15 00:00:00,TKYO-009-3,TKYO-009,Band 1 (2100MHz),-77.0,-11.9,3.1,7.9,22.5,0.0
2026-07-15 00:00:00,TKYO-010-1,TKYO-010,Band 41 (2500MHz),-92.9,-6.2,-1.5,25.9,3.3,28.2
2026-07-15 00:00:00,TKYO-010-2,TKYO-010,Band 41 (2500MHz),-87.2,-6.2,7.9,17.4,8.9,20.7
2026-07-15 00:00:00,TKYO-010-3,TKYO-010,Band 41 (2500MHz),-88.6,-10.3,5.1,7.1,1.1,0.0
2026-07-15 00:00:00,TKYO-011-1,TKYO-011,Band 1 (2100MHz),-88.4,-6.6,6.9,7.5,11.9,18.3
2026-07-15 00:00:00,TKYO-011-2,TKYO-011,Band 1 (2100MHz),-84.9,-7.0,4.8,7.9,23.7,41.7
2026-07-15 00:00:00,TKYO-011-3,TKYO-011,Band 1 (2100MHz),-93.1,-5.7,10.3,7.8,6.4,12.8
2026-07-15 00:00:00,TKYO-012-1,TKYO-012,Band 41 (2500MHz),-85.2,-6.0,15.3,12.6,12.0,11.1
2026-07-15 00:00:00,TKYO-012-2,TKYO-012,Band 41 (2500MHz),-82.2,-9.5,-1.7,5.9,13.4,24.6
2026-07-15 00:00:00,TKYO-012-3,TKYO-012,Band 41 (2500MHz),-80.2,-7.9,6.4,0.0,23.7,43.3
2026-07-15 00:00:00,TKYO-013-1,TKYO-013,Band 1 (2100MHz),-90.5,-8.6,10.2,13.5,16.6,0.0
2026-07-15 00:00:00,TKYO-013-2,TKYO-013,Band 1 (2100MHz),-99.8,-11.8,-0.7,9.0,9.6,17.6
2026-07-15 00:00:00,TKYO-013-3,TKYO-013,Band 1 (2100MHz),-75.7,-8.7,8.2,27.3,2.2,24.3
2026-07-15 00:00:00,TKYO-014-1,TKYO-014,Band 41 (2500MHz),-85.6,-10.9,-1.3,23.3,0.0,18.2
2026-07-15 00:00:00,TKYO-014-2,TKYO-014,Band 41 (2500MHz),-101.6,-9.6,-2.3,25.9,19.3,0.0
2026-07-15 00:00:00,TKYO-014-3,TKYO-014,Band 41 (2500MHz),-81.4,-9.3,13.5,8.8,6.3,4.5
2026-07-15 00:00:00,TKYO-015-1,TKYO-015,Band 1 (2100MHz),-86.5,-10.8,4.9,0.9,12.3,28.1
2026-07-15 00:00:00,TKYO-015-2,TKYO-015,Band 1 (2100MHz),-79.6,-10.8,10.4,19.8,8.7,31.0
2026-07-15 00:00:00,TKYO-015-3,TKYO-015,Band 1 (2100MHz),-79.1,-6.1,14.2,5.8,6.9,5.8
2026-07-15 00:00:00,TKYO-016-1,TKYO-016,Band 41 (2500MHz),-89.7,-6.1,7.0,5.4,20.0,36.8
2026-07-15 00:00:00,TKYO-016-2,TKYO-016,Band 41 (2500MHz),-85.5,-8.4,4.2,13.8,23.4,23.1
2026-07-15 00:00:00,TKYO-016-3,TKYO-016,Band 41 (2500MHz),-81.1,-11.4,15.1,8.9,0.0,2.1
2026-07-15 01:00:00,TKYO-001-1,TKYO-001,Band 1 (2100MHz),-83.8,-5.7,3.6,0.0,3.6,50.2
2026-07-15 01:00:00,TKYO-001-2,TKYO-001,Band 1 (2100MHz),-87.7,-9.3,13.6,0.0,2.6,29.2
2026-07-15 01:00:00,TKYO-001-3,TKYO-001,Band 1 (2100MHz),-85.0,-2.8,5.3,26.7,12.3,20.6
2026-07-15 01:00:00,TKYO-002-1,TKYO-002,Band 41 (2500MHz),-85.0,-8.5,7.1,10.7,0.0,27.5
2026-07-15 01:00:00,TKYO-002-2,TKYO-002,Band 41 (2500MHz),-87.0,-7.6,10.6,13.0,14.9,37.6
2026-07-15 01:00:00,TKYO-002-3,TKYO-002,Band 41 (2500MHz),-74.9,-8.4,5.4,13.8,12.2,43.5
2026-07-15 01:00:00,TKYO-003-1,TKYO-003,Band 1 (2100MHz),-85.6,-9.7,9.1,16.8,8.0,21.3
2026-07-15 01:00:00,TKYO-003-2,TKYO-003,Band 1 (2100MHz),-94.4,-12.0,6.2,27.4,13.8,71.9
2026-07-15 01:00:00,TKYO-003-3,TKYO-003,Band 1 (2100MHz),-81.7,-5.9,12.7,0.0,0.6,0.0
2026-07-15 01:00:00,TKYO-004-1,TKYO-004,Band 41 (2500MHz),-85.2,-6.8,12.4,5.8,12.2,46.8
2026-07-15 01:00:00,TKYO-004-2,TKYO-004,Band 41 (2500MHz),-88.5,-8.5,3.8,15.6,0.0,10.2
2026-07-15 01:00:00,TKYO-004-3,TKYO-004,Band 41 (2500MHz),-88.1,-8.2,13.4,16.4,6.7,73.6
2026-07-15 01:00:00,TKYO-005-1,TKYO-005,Band 1 (2100MHz),-83.1,-6.4,6.5,0.2,11.8,64.6
2026-07-15 01:00:00,TKYO-005-2,TKYO-005,Band 1 (2100MHz),-85.3,-10.7,6.2,3.2,0.0,24.5
2026-07-15 01:00:00,TKYO-005-3,TKYO-005,Band 1 (2100MHz),-99.0,-12.9,3.4,0.2,0.0,19.6
2026-07-15 01:00:00,TKYO-006-1,TKYO-006,Band 41 (2500MHz),-83.0,-6.9,9.5,22.7,8.9,0.0
2026-07-15 01:00:00,TKYO-006-2,TKYO-006,Band 41 (2500MHz),-81.8,-8.6,10.7,0.0,14.1,0.0
2026-07-15 01:00:00,TKYO-006-3,TKYO-006,Band 41 (2500MHz),-86.4,-7.5,1.4,25.9,0.0,16.4
2026-07-15 01:00:00,TKYO-007-1,TKYO-007,Band 1 (2100MHz),-85.3,-10.9,7.3,30.1,8.2,3.8
2026-07-15 01:00:00,TKYO-007-2,TKYO-007,Band 1 (2100MHz),-85.6,-6.5,6.0,24.5,0.0,55.0
2026-07-15 01:00:00,TKYO-007-3,TKYO-007,Band 1 (2100MHz),-100.7,-7.9,-1.1,10.4,0.0,4.7
2026-07-15 01:00:00,TKYO-008-1,TKYO-008,Band 41 (2500MHz),-88.4,-6.7,-0.1,0.0,9.3,0.0
2026-07-15 01:00:00,TKYO-008-2,TKYO-008,Band 41 (2500MHz),-82.8,-8.4,0.0,28.0,5.4,0.0
2026-07-15 01:00:00,TKYO-008-3,TKYO-008,Band 41 (2500MHz),-81.6,-9.8,6.5,16.0,0.3,17.7
2026-07-15 01:00:00,TKYO-009-1,TKYO-009,Band 1 (2100MHz),-82.4,-6.9,13.7,21.7,13.0,24.4
2026-07-15 01:00:00,TKYO-009-2,TKYO-009,Band 1 (2100MHz),-83.6,-12.4,11.8,0.0,11.5,11.7
2026-07-15 01:00:00,TKYO-009-3,TKYO-009,Band 1 (2100MHz),-84.6,-7.1,8.9,51.5,6.7,12.1
2026-07-15 01:00:00,TKYO-010-1,TKYO-010,Band 41 (2500MHz),-90.2,-6.7,-0.5,41.1,9.1,0.0
2026-07-15 01:00:00,TKYO-010-2,TKYO-010,Band 41 (2500MHz),-85.9,-8.5,9.5,0.0,0.0,44.2
2026-07-15 01:00:00,TKYO-010-3,TKYO-010,Band 41 (2500MHz),-89.1,-4.5,9.6,8.8,2.6,2.8
2026-07-15 01:00:00,TKYO-011-1,TKYO-011,Band 1 (2100MHz),-82.1,-9.1,0.8,16.0,1.7,33.3
2026-07-15 01:00:00,TKYO-011-2,TKYO-011,Band 1 (2100MHz),-77.7,-8.0,7.0,8.2,9.0,32.9
2026-07-15 01:00:00,TKYO-011-3,TKYO-011,Band 1 (2100MHz),-80.2,-5.9,18.5,12.5,12.3,0.0
2026-07-15 01:00:00,TKYO-012-1,TKYO-012,Band 41 (2500MHz),-94.7,-8.3,4.3,23.5,8.0,11.7
2026-07-15 01:00:00,TKYO-012-2,TKYO-012,Band 41 (2500MHz),-83.8,-7.0,5.5,25.1,0.0,0.0
2026-07-15 01:00:00,TKYO-012-3,TKYO-012,Band 41 (2500MHz),-86.8,-8.5,4.9,4.2,10.4,23.0
2026-07-15 01:00:00,TKYO-013-1,TKYO-013,Band 1 (2100MHz),-81.1,-8.4,13.1,2.4,16.2,0.0
2026-07-15 01:00:00,TKYO-013-2,TKYO-013,Band 1 (2100MHz),-99.1,-10.4,-3.4,0.7,11.5,0.0
2026-07-15 01:00:00,TKYO-013-3,TKYO-013,Band 1 (2100MHz),-88.0,-7.4,5.2,34.2,16.2,25.6
2026-07-15 01:00:00,TKYO-014-1,TKYO-014,Band 41 (2500MHz),-78.8,-7.9,1.2,24.7,2.6,25.7
2026-07-15 01:00:00,TKYO-014-2,TKYO-014,Band 41 (2500MHz),-100.5,-11.8,-2.6,25.0,9.8,23.7
2026-07-15 01:00:00,TKYO-014-3,TKYO-014,Band 41 (2500MHz),-83.7,-10.2,10.2,47.2,0.4,0.0
2026-07-15 01:00:00,TKYO-015-1,TKYO-015,Band 1 (2100MHz),-83.0,-10.4,2.8,1.6,7.0,51.6
2026-07-15 01:00:00,TKYO-015-2,TKYO-015,Band 1 (2100MHz),-87.3,-3.0,13.4,2.9,8.9,21.6
2026-07-15 01:00:00,TKYO-015-3,TKYO-015,Band 1 (2100MHz),-87.4,-7.8,11.1,26.5,1.8,37.9
2026-07-15 01:00:00,TKYO-016-1,TKYO-016,Band 41 (2500MHz),-87.3,-7.3,4.1,4.7,4.1,0.0
2026-07-15 01:00:00,TKYO-016-2,TKYO-016,Band 41 (2500MHz),-74.8,-8.3,5.3,0.8,10.4,0.0
