cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
TKYO-001-1,TKYO-001,Tokyo-Downtown-Site-001,35.660696,139.691534,34,1,4,4,1,5,Urban,72.4,Band 1 (2100MHz),1,42000,Rakuten,LTE,Active
TKYO-001-2,TKYO-001,Tokyo-Downtown-Site-001,35.660696,139.691534,40,2,121,4,2,6,Urban,76.6,Band 1 (2100MHz),2,42000,Rakuten,LTE,Active
TKYO-001-3,TKYO-001,Tokyo-Downtown-Site-001,35.660696,139.691534,43,3,239,3,1,4,Dense Urban,46.1,Band 1 (2100MHz),3,42000,Rakuten,LTE,Active
TKYO-002-1,TKYO-002,Tokyo-Downtown-Site-002,35.651867,139.702946,46,1,-4,4,3,7,Urban,77.4,Band 41 (2500MHz),4,42001,Rakuten,LTE,Active
TKYO-002-2,TKYO-002,Tokyo-Downtown-Site-002,35.651867,139.702946,45,2,122,4,2,6,Dense Urban,44.9,Band 41 (2500MHz),5,42001,Rakuten,LTE,Active
TKYO-002-3,TKYO-002,Tokyo-Downtown-Site-002,35.651867,139.702946,39,3,242,5,0,5,High-Rise,67.8,Band 41 (2500MHz),6,42001,Rakuten,LTE,Active
TKYO-003-1,TKYO-003,Tokyo-Downtown-Site-003,35.664825,139.697925,45,1,4,5,2,7,Urban,55.0,Band 1 (2100MHz),7,42002,Rakuten,LTE,Active
TKYO-003-2,TKYO-003,Tokyo-Downtown-Site-003,35.664825,139.697925,39,2,117,5,0,5,Urban,33.7,Band 1 (2100MHz),8,42002,Rakuten,LTE,Active
TKYO-003-3,TKYO-003,Tokyo-Downtown-Site-003,35.664825,139.697925,30,3,237,5,2,7,Urban,60.4,Band 1 (2100MHz),9,42002,Rakuten,LTE,Active
TKYO-004-1,TKYO-004,Tokyo-Downtown-Site-004,35.648092,139.691414,50,1,2,6,0,6,Urban,59.2,Band 41 (2500MHz),10,42003,Rakuten,LTE,Active
TKYO-004-2,TKYO-004,Tokyo-Downtown-Site-004,35.648092,139.691414,36,2,119,5,2,7,Dense Urban,32.6,Band 41 (2500MHz),11,42003,Rakuten,LTE,Active
TKYO-004-3,TKYO-004,Tokyo-Downtown-Site-004,35.648092,139.691414,27,3,245,3,3,6,Urban,58.3,Band 41 (2500MHz),12,42003,Rakuten,LTE,Active
TKYO-005-1,TKYO-005,Tokyo-Downtown-Site-005,35.667434,139.696534,31,1,1,4,0,4,Dense Urban,61.1,Band 1 (2100MHz),13,42004,Rakuten,LTE,Active
TKYO-005-2,TKYO-005,Tokyo-Downtown-Site-005,35.667434,139.696534,35,2,122,2,2,4,Dense Urban,58.7,Band 1 (2100MHz),14,42004,Rakuten,LTE,Active
TKYO-005-3,TKYO-005,Tokyo-Downtown-Site-005,35.667434,139.696534,39,3,235,3,0,3,Dense Urban,31.4,Band 1 (2100MHz),15,42004,Rakuten,LTE,Active
TKYO-006-1,TKYO-006,Tokyo-Downtown-Site-006,35.659933,139.697058,39,1,2,2,1,3,Urban,50.5,Band 41 (2500MHz),16,42005,Rakuten,LTE,Active
TKYO-006-2,TKYO-006,Tokyo-Downtown-Site-006,35.659933,139.697058,26,2,125,4,2,6,High-Rise,38.8,Band 41 (2500MHz),17,42005,Rakuten,LTE,Active
TKYO-006-3,TKYO-006,Tokyo-Downtown-Site-006,35.659933,139.697058,33,3,243,3,2,5,High-Rise,52.4,Band 41 (2500MHz),18,42005,Rakuten,LTE,Active
TKYO-007-1,TKYO-007,Tokyo-Downtown-Site-007,35.659979,139.690535,44,1,4,6,0,6,High-Rise,43.8,Band 1 (2100MHz),19,42006,Rakuten,LTE,Active
TKYO-007-2,TKYO-007,Tokyo-Downtown-Site-007,35.659979,139.690535,34,2,116,6,0,6,High-Rise,31.6,Band 1 (2100MHz),20,42006,Rakuten,LTE,Active
TKYO-007-3,TKYO-007,Tokyo-Downtown-Site-007,35.659979,139.690535,29,3,235,3,2,5,Dense Urban,60.9,Band 1 (2100MHz),21,42006,Rakuten,LTE,Active
TKYO-008-1,TKYO-008,Tokyo-Downtown-Site-008,35.64977,139.689997,43,1,-3,6,3,9,Dense Urban,43.4,Band 41 (2500MHz),22,42007,Rakuten,LTE,Active
TKYO-008-2,TKYO-008,Tokyo-Downtown-Site-008,35.64977,139.689997,45,2,124,3,1,4,Dense Urban,58.4,Band 41 (2500MHz),23,42007,Rakuten,LTE,Active
TKYO-008-3,TKYO-008,Tokyo-Downtown-Site-008,35.64977,139.689997,48,3,235,2,2,4,Dense Urban,61.6,Band 41 (2500MHz),24,42007,Rakuten,LTE,Active
TKYO-009-1,TKYO-009,Tokyo-Downtown-Site-009,35.660408,139.692777,27,1,-3,4,0,4,Dense Urban,47.0,Band 1 (2100MHz),25,42008,Rakuten,LTE,Active
TKYO-009-2,TKYO-009,Tokyo-Downtown-Site-009,35.660408,139.692777,35,2,125,6,0,6,Dense Urban,63.4,Band 1 (2100MHz),26,42008,Rakuten,LTE,Active
TKYO-009-3,TKYO-009,Tokyo-Downtown-Site-009,35.660408,139.692777,48,3,238,3,0,3,Urban,57.3,Band 1 (2100MHz),27,42008,Rakuten,LTE,Active
TKYO-010-1,TKYO-010,Tokyo-Downtown-Site-010,35.666736,139.712287,46,1,4,5,0,5,Dense Urban,56.0,Band 41 (2500MHz),28,42009,Rakuten,LTE,Active
TKYO-010-2,TKYO-010,Tokyo-Downtown-Site-010,35.666736,139.712287,47,2,120,4,1,5,High-Rise,68.8,Band 41 (2500MHz),29,42009,Rakuten,LTE,Active
TKYO-010-3,TKYO-010,Tokyo-Downtown-Site-010,35.666736,139.712287,28,3,244,4,0,4,Dense Urban,50.2,Band 41 (2500MHz),30,42009,Rakuten,LTE,Active
TKYO-011-1,TKYO-011,Tokyo-Downtown-Site-011,35.656635,139.694762,32,1,1,4,2,6,High-Rise,72.4,Band 1 (2100MHz),31,42010,Rakuten,LTE,Active
TKYO-011-2,TKYO-011,Tokyo-Downtown-Site-011,35.656635,139.694762,39,2,118,3,1,4,Urban,36.0,Band 1 (2100MHz),32,42010,Rakuten,LTE,Active
TKYO-011-3,TKYO-011,Tokyo-Downtown-Site-011,35.656635,139.694762,48,3,243,3,0,3,Urban,56.9,Band 1 (2100MHz),33,42010,Rakuten,LTE,Active
TKYO-012-1,TKYO-012,Tokyo-Downtown-Site-012,35.658869,139.701033,31,1,-2,3,2,5,Dense Urban,39.3,Band 41 (2500MHz),34,42011,Rakuten,LTE,Active
TKYO-012-2,TKYO-012,Tokyo-Downtown-Site-012,35.658869,139.701033,35,2,116,2,2,4,High-Rise,54.6,Band 41 (2500MHz),35,42011,Rakuten,LTE,Active
TKYO-012-3,TKYO-012,Tokyo-Downtown-Site-012,35.658869,139.701033,25,3,238,2,3,5,Urban,74.4,Band 41 (2500MHz),36,42011,Rakuten,LTE,Active
TKYO-013-1,TKYO-013,Tokyo-Downtown-Site-013,35.668801,139.707245,34,1,5,2,0,2,Dense Urban,33.4,Band 1 (2100MHz),37,42012,Rakuten,LTE,Active
TKYO-013-2,TKYO-013,Tokyo-Downtown-Site-013,35.668801,139.707245,47,2,125,4,0,4,High-Rise,31.8,Band 1 (2100MHz),38,42012,Rakuten,LTE,Active
TKYO-013-3,TKYO-013,Tokyo-Downtown-Site-013,35.668801,139.707245,37,3,241,3,1,4,Dense Urban,78.6,Band 1 (2100MHz),39,42012,Rakuten,LTE,Active
TKYO-014-1,TKYO-014,Tokyo-Downtown-Site-014,35.656065,139.690222,26,1,5,2,1,3,Urban,51.9,Band 41 (2500MHz),40,42013,Rakuten,LTE,Active
TKYO-014-2,TKYO-014,Tokyo-Downtown-Site-014,35.656065,139.690222,48,2,119,4,0,4,Dense Urban,52.8,Band 41 (2500MHz),41,42013,Rakuten,LTE,Active
TKYO-014-3,TKYO-014,Tokyo-Downtown-Site-014,35.656065,139.690222,29,3,245,3,3,6,Urban,62.5,Band 41 (2500MHz),42,42013,Rakuten,LTE,Active
TKYO-015-1,TKYO-015,Tokyo-Downtown-Site-015,35.648312,139.694752,46,1,-5,4,2,6,Dense Urban,62.5,Band 1 (2100MHz),43,42014,Rakuten,LTE,Active
TKYO-015-2,TKYO-015,Tokyo-Downtown-Site-015,35.648312,139.694752,25,2,120,4,2,6,Urban,38.6,Band 1 (2100MHz),44,42014,Rakuten,LTE,Active
