cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
TKYO-001-1,TKYO-001,High-Rise,163600,160476,3124,1.91,1562,937,625,577,0.36,-80.9,No
TKYO-001-2,TKYO-001,High-Rise,280400,276391,4009,1.43,2004,1202,803,3565,1.29,-90.0,No
TKYO-001-3,TKYO-001,Dense Urban,275526,269575,5951,2.16,2976,1786,1189,3423,1.27,-88.4,No
TKYO-002-1,TKYO-002,High-Rise,206205,203442,2763,1.34,1382,829,552,2604,1.28,-84.2,No
TKYO-002-2,TKYO-002,Dense Urban,151281,135624,15657,10.35,7828,4697,3132,5004,3.69,-93.0,Yes
TKYO-002-3,TKYO-002,Urban,188570,184403,4167,2.21,2083,1250,834,1678,0.91,-84.8,No
TKYO-003-1,TKYO-003,Urban,207345,203136,4209,2.03,2105,1262,842,1767,0.87,-80.5,No
TKYO-003-2,TKYO-003,High-Rise,253118,249246,3872,1.53,1936,1161,775,2018,0.81,-77.6,No
TKYO-003-3,TKYO-003,Urban,272913,251899,21014,7.7,10507,6304,4203,11965,4.75,-90.5,Yes
TKYO-004-1,TKYO-004,Dense Urban,267025,264916,2109,0.79,1054,633,422,2834,1.07,-86.0,No
TKYO-004-2,TKYO-004,High-Rise,243251,240795,2456,1.01,1228,737,491,2937,1.22,-86.9,No
TKYO-004-3,TKYO-004,High-Rise,245246,242083,3163,1.29,1582,949,632,1283,0.53,-84.4,No
TKYO-005-1,TKYO-005,Urban,234694,232512,2182,0.93,1091,654,437,2534,1.09,-85.1,No
TKYO-005-2,TKYO-005,High-Rise,228747,226391,2356,1.03,1178,707,471,1358,0.6,-82.2,No
TKYO-005-3,TKYO-005,Urban,260421,258911,1510,0.58,755,453,302,3391,1.31,-90.8,No
TKYO-006-1,TKYO-006,Dense Urban,281098,277276,3822,1.36,1911,1147,764,2245,0.81,-85.3,No
TKYO-006-2,TKYO-006,High-Rise,222178,219446,2732,1.23,1366,820,546,2633,1.2,-84.1,No
TKYO-006-3,TKYO-006,Urban,229548,225187,4361,1.9,2181,1309,871,1486,0.66,-74.6,No
TKYO-007-1,TKYO-007,High-Rise,277372,274793,2579,0.93,1290,773,516,1593,0.58,-86.3,No
TKYO-007-2,TKYO-007,High-Rise,221219,219892,1327,0.6,663,398,266,2264,1.03,-81.2,No
TKYO-007-3,TKYO-007,Urban,162849,160146,2703,1.66,1351,811,541,1008,0.63,-80.6,No
TKYO-008-1,TKYO-008,Dense Urban,268411,264815,3596,1.34,1798,1078,720,2092,0.79,-88.9,No
TKYO-008-2,TKYO-008,Urban,168161,166413,1748,1.04,874,524,350,1431,0.86,-80.0,No
TKYO-008-3,TKYO-008,Urban,183586,179694,3892,2.12,1946,1168,778,1599,0.89,-83.8,No
TKYO-009-1,TKYO-009,High-Rise,224946,220200,4746,2.11,2373,1424,949,1211,0.55,-81.6,No
TKYO-009-2,TKYO-009,High-Rise,242296,240140,2156,0.89,1078,647,431,1897,0.79,-84.5,No
