serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
TKYO-001-1,TKYO-001-2,1,0.0,-2.9,Yes,Intra-Frequency,2026-01-13
TKYO-001-1,TKYO-001-3,2,0.0,-5.1,Yes,Intra-Frequency,2026-01-13
TKYO-001-1,TKYO-012-1,3,170.3,-2.4,Yes,Inter-Frequency,2026-01-13
TKYO-001-1,TKYO-012-2,4,170.3,-2.1,Yes,Inter-Frequency,2026-01-13
TKYO-001-1,TKYO-012-3,5,170.3,1.4,Yes,Inter-Frequency,2026-01-13
TKYO-001-1,TKYO-004-1,6,246.7,-4.7,Yes,Inter-Frequency,2026-01-13
TKYO-001-1,TKYO-004-2,7,246.7,-3.3,Yes,Inter-Frequency,2026-01-13
TKYO-001-1,TKYO-004-3,8,246.7,5.3,Yes,Inter-Frequency,2026-01-13
TKYO-001-2,TKYO-001-1,1,0.0,-0.0,Yes,Intra-Frequency,2026-01-13
TKYO-001-2,TKYO-001-3,2,0.0,4.0,Yes,Intra-Frequency,2026-01-13
TKYO-001-2,TKYO-012-1,3,170.3,0.6,Yes,Inter-Frequency,2026-01-13
TKYO-001-2,TKYO-012-2,4,170.3,-4.8,Yes,Inter-Frequency,2026-01-13
TKYO-001-2,TKYO-012-3,5,170.3,5.7,Yes,Inter-Frequency,2026-01-13
TKYO-001-2,TKYO-004-1,6,246.7,2.5,Yes,Inter-Frequency,2026-01-13
TKYO-001-2,TKYO-004-2,7,246.7,2.4,Yes,Inter-Frequency,2026-01-13
TKYO-001-2,TKYO-004-3,8,246.7,-1.9,Yes,Inter-Frequency,2026-01-13
TKYO-001-2,TKYO-006-1,9,479.3,5.6,Yes,Inter-Frequency,2026-01-13
TKYO-001-2,TKYO-006-2,10,479.3,-1.8,Yes,Inter-Frequency,2026-01-13
TKYO-001-2,TKYO-006-3,11,479.3,0.3,Yes,Inter-Frequency,2026-01-13
TKYO-001-2,TKYO-016-1,12,496.5,-0.2,Yes,Inter-Frequency,2026-01-13
TKYO-001-2,TKYO-016-2,13,496.5,4.5,Yes,Inter-Frequency,2026-01-13
TKYO-001-3,TKYO-001-1,1,0.0,4.0,Yes,Intra-Frequency,2026-01-13
TKYO-001-3,TKYO-001-2,2,0.0,-4.6,Yes,Intra-Frequency,2026-01-13
TKYO-001-3,TKYO-012-1,3,170.3,1.2,Yes,Inter-Frequency,2026-01-13
TKYO-001-3,TKYO-012-2,4,170.3,0.8,Yes,Inter-Frequency,2026-01-13
TKYO-001-3,TKYO-012-3,5,170.3,-1.0,Yes,Inter-Frequency,2026-01-13
TKYO-001-3,TKYO-004-1,6,246.7,-0.2,Yes,Inter-Frequency,2026-01-13
TKYO-001-3,TKYO-004-2,7,246.7,5.6,Yes,Inter-Frequency,2026-01-13
TKYO-001-3,TKYO-004-3,8,246.7,5.7,Yes,Inter-Frequency,2026-01-13
TKYO-001-3,TKYO-006-1,9,479.3,1.5,Yes,Inter-Frequency,2026-01-13
TKYO-001-3,TKYO-006-2,10,479.3,-2.2,Yes,Inter-Frequency,2026-01-13
TKYO-001-3,TKYO-006-3,11,479.3,4.5,Yes,Inter-Frequency,2026-01-13
TKYO-001-3,TKYO-016-1,12,496.5,-5.3,Yes,Inter-Frequency,2026-01-13
TKYO-001-3,TKYO-016-2,13,496.5,2.0,Yes,Inter-Frequency,2026-01-13
TKYO-002-1,TKYO-002-2,1,0.0,-5.4,Yes,Intra-Frequency,2026-01-13
