timestamp_utc,cell_id,enodeb_id,frequency_band,avg_rsrp_dBm,avg_rsrq_dB,avg_sinr_dB,prb_utilization_dl_pct,prb_utilization_ul_pct,active_ue_avg
2026-01-13 00:00:00,TKYO-001-1,TKYO-001,Band 1 (2100MHz),-87.1,-9.8,12.3,15.7,0.0,0.0
2026-01-13 00:00:00,TKYO-001-2,TKYO-001,Band 1 (2100MHz),-86.1,-7.8,16.7,0.0,0.0,29.1
2026-01-13 00:00:00,TKYO-001-3,TKYO-001,Band 1 (2100MHz),-85.0,-4.4,17.4,0.0,4.0,43.7
2026-01-13 00:00:00,TKYO-002-1,TKYO-002,Band 41 (2500MHz),-71.7,-10.7,6.8,0.0,21.1,0.0
2026-01-13 00:00:00,TKYO-002-2,TKYO-002,Band 41 (2500MHz),-101.1,-11.1,2.6,11.8,10.1,64.9
2026-01-13 00:00:00,TKYO-002-3,TKYO-002,Band 41 (2500MHz),-82.9,-10.6,15.0,16.9,13.4,0.0
2026-01-13 00:00:00,TKYO-003-1,TKYO-003,Band 1 (2100MHz),-81.8,-7.7,22.3,17.2,0.0,25.5
2026-01-13 00:00:00,TKYO-003-2,TKYO-003,Band 1 (2100MHz),-85.0,-8.6,16.2,24.1,9.9,0.0
2026-01-13 00:00:00,TKYO-003-3,TKYO-003,Band 1 (2100MHz),-97.6,-13.8,-1.5,0.0,0.0,0.0
2026-01-13 00:00:00,TKYO-004-1,TKYO-004,Band 41 (2500MHz),-92.6,-12.4,4.4,21.6,0.0,31.3
2026-01-13 00:00:00,TKYO-004-2,TKYO-004,Band 41 (2500MHz),-83.4,-3.3,20.9,11.4,5.6,7.7
2026-01-13 00:00:00,TKYO-004-3,TKYO-004,Band 41 (2500MHz),-76.0,-3.7,10.6,13.4,0.0,35.4
2026-01-13 00:00:00,TKYO-005-1,TKYO-005,Band 1 (2100MHz),-82.0,-11.2,14.9,3.6,7.0,0.0
2026-01-13 00:00:00,TKYO-005-2,TKYO-005,Band 1 (2100MHz),-75.3,-10.2,9.4,15.2,0.0,24.2
2026-01-13 00:00:00,TKYO-005-3,TKYO-005,Band 1 (2100MHz),-84.8,-6.2,11.3,18.6,27.0,33.6
2026-01-13 00:00:00,TKYO-006-1,TKYO-006,Band 41 (2500MHz),-79.9,-9.5,20.0,0.0,11.0,65.9
2026-01-13 00:00:00,TKYO-006-2,TKYO-006,Band 41 (2500MHz),-81.0,-6.0,12.9,0.0,0.0,23.0
2026-01-13 00:00:00,TKYO-006-3,TKYO-006,Band 41 (2500MHz),-84.0,-13.1,14.8,1.9,1.9,53.6
2026-01-13 00:00:00,TKYO-007-1,TKYO-007,Band 1 (2100MHz),-76.2,-6.0,21.3,13.7,0.0,0.7
2026-01-13 00:00:00,TKYO-007-2,TKYO-007,Band 1 (2100MHz),-90.3,-7.0,6.8,7.4,7.1,0.0
