source_cell,target_cell,cio_db,distance_km,handover_count_monthly,handover_success_rate,ping_pong_rate
CELL_000_0,CELL_000_1,1.9,0.0,2374,0.9367,0.0543
CELL_000_0,CELL_000_2,-2.0,0.0,1974,0.954,0.0257
CELL_000_0,CELL_021_0,-3.6,1.024,250,0.8851,0.0789
CELL_000_0,CELL_021_1,1.3,1.024,646,0.9301,0.072
CELL_000_0,CELL_021_2,0.9,1.024,3195,0.9344,0.0271
CELL_000_0,CELL_009_0,1.9,1.145,95,0.9782,0.0702
CELL_000_0,CELL_009_1,4.6,1.145,3532,0.9041,0.0663
CELL_000_0,CELL_009_2,2.4,1.145,3855,0.8855,0.0274
CELL_000_0,CELL_017_0,4.2,1.355,3789,0.8947,0.0425
CELL_000_1,CELL_000_0,5.9,0.0,4927,0.9149,0.0629
CELL_000_1,CELL_000_2,-0.7,0.0,4185,0.9269,0.0735
CELL_000_1,CELL_021_0,-0.6,1.024,1353,0.9618,0.0432
CELL_000_1,CELL_021_1,-2.9,1.024,2075,0.9724,0.0294
CELL_000_1,CELL_021_2,3.3,1.024,4019,0.9489,0.0292
CELL_000_1,CELL_009_0,-5.1,1.145,2390,0.9058,0.0335
CELL_000_1,CELL_009_1,4.7,1.145,710,0.8952,0.0262
CELL_000_1,CELL_009_2,2.3,1.145,1802,0.8871,0.0385
CELL_000_1,CELL_017_0,0.5,1.355,3456,0.8868,0.0683
CELL_000_1,CELL_017_1,-1.3,1.355,4834,0.9841,0.0114
CELL_000_1,CELL_017_2,4.6,1.355,4766,0.9218,0.0104
CELL_000_1,CELL_024_0,-1.8,1.423,3244,0.9739,0.0767
CELL_000_2,CELL_000_0,0.5,0.0,4523,0.968,0.0728
CELL_000_2,CELL_000_1,-0.1,0.0,2285,0.9279,0.012
CELL_000_2,CELL_021_0,-2.0,1.024,3362,0.9597,0.0688
CELL_000_2,CELL_021_1,5.0,1.024,4425,0.883,0.0376
CELL_000_2,CELL_021_2,0.8,1.024,272,0.8892,0.04
CELL_000_2,CELL_009_0,4.4,1.145,1538,0.8855,0.0365
CELL_000_2,CELL_009_1,-3.5,1.145,2727,0.9171,0.0716
CELL_000_2,CELL_009_2,-2.7,1.145,3503,0.9077,0.0157
CELL_000_2,CELL_017_0,-5.8,1.355,4468,0.8857,0.0766
CELL_000_2,CELL_017_1,-3.3,1.355,612,0.9659,0.0556
CELL_000_2,CELL_017_2,3.1,1.355,2075,0.9019,0.0114
CELL_001_0,CELL_001_1,-3.1,0.0,3929,0.9536,0.0495
CELL_001_0,CELL_001_2,-3.4,0.0,2149,0.9644,0.0217
CELL_001_0,CELL_007_0,1.3,0.659,988,0.9656,0.0215
CELL_001_0,CELL_007_1,-2.3,0.659,4790,0.8828,0.0318
CELL_001_0,CELL_007_2,2.1,0.659,3124,0.9236,0.0601
CELL_001_0,CELL_014_0,-5.1,0.694,2039,0.8912,0.0641
CELL_001_0,CELL_014_1,4.2,0.694,4968,0.9686,0.0657
CELL_001_0,CELL_014_2,0.8,0.694,386,0.9182,0.04
CELL_001_0,CELL_006_0,-1.6,0.711,4194,0.9512,0.0109
CELL_001_1,CELL_001_0,3.9,0.0,914,0.9277,0.0354
CELL_001_1,CELL_001_2,4.7,0.0,3816,0.9578,0.0405
CELL_001_1,CELL_007_0,2.8,0.659,2262,0.9478,0.0744
CELL_001_1,CELL_007_1,3.3,0.659,3858,0.9279,0.0612
CELL_001_1,CELL_007_2,-2.8,0.659,2061,0.9714,0.0161
CELL_001_1,CELL_014_0,4.6,0.694,2047,0.9626,0.0499
CELL_001_1,CELL_014_1,2.0,0.694,2805,0.8832,0.0696
CELL_001_1,CELL_014_2,-3.8,0.694,1787,0.919,0.0281
CELL_001_1,CELL_006_0,-2.6,0.711,4933,0.9571,0.0293
CELL_001_1,CELL_006_1,-5.9,0.711,1615,0.8894,0.0604
CELL_001_1,CELL_006_2,-0.1,0.711,2018,0.956,0.0552
CELL_001_2,CELL_001_0,-0.6,0.0,191,0.8902,0.0255
CELL_001_2,CELL_001_1,2.3,0.0,2558,0.953,0.0358
CELL_001_2,CELL_007_0,0.6,0.659,2866,0.9268,0.0622
CELL_001_2,CELL_007_1,-2.0,0.659,3767,0.9098,0.0276
CELL_001_2,CELL_007_2,-4.6,0.659,1627,0.9147,0.062
CELL_001_2,CELL_014_0,5.4,0.694,1566,0.9011,0.0617
CELL_001_2,CELL_014_1,-2.7,0.694,4879,0.9874,0.0467
CELL_001_2,CELL_014_2,-2.6,0.694,873,0.9716,0.0307
CELL_001_2,CELL_006_0,-1.7,0.711,2526,0.8816,0.0474
CELL_001_2,CELL_006_1,-2.7,0.711,496,0.9409,0.0588
CELL_001_2,CELL_006_2,-4.5,0.711,4071,0.8913,0.0109
CELL_002_0,CELL_002_1,-0.4,0.0,3658,0.9175,0.0776
CELL_002_0,CELL_002_2,-3.0,0.0,3963,0.8925,0.0146
CELL_002_0,CELL_018_0,-0.1,0.437,4776,0.9492,0.0138
CELL_002_0,CELL_018_1,-4.2,0.437,4660,0.9844,0.016
CELL_002_0,CELL_018_2,-3.0,0.437,4621,0.9641,0.0524
CELL_002_0,CELL_023_0,3.5,0.541,1898,0.9653,0.0366
CELL_002_0,CELL_023_1,4.9,0.541,2485,0.9746,0.0793
CELL_002_0,CELL_023_2,-2.3,0.541,543,0.9471,0.0618
CELL_002_0,CELL_015_0,5.4,0.588,1752,0.9488,0.0285
CELL_002_0,CELL_015_1,-5.0,0.588,2014,0.8991,0.0153
CELL_002_1,CELL_002_0,-1.1,0.0,4914,0.9317,0.0123
CELL_002_1,CELL_002_2,-2.5,0.0,2366,0.9573,0.0418
CELL_002_1,CELL_018_0,2.2,0.437,2217,0.9667,0.0538
CELL_002_1,CELL_018_1,1.9,0.437,1670,0.9268,0.0481
CELL_002_1,CELL_018_2,1.8,0.437,2226,0.9709,0.015
CELL_002_1,CELL_023_0,-4.0,0.541,2569,0.9455,0.0677
CELL_002_1,CELL_023_1,5.1,0.541,3647,0.8937,0.0582
CELL_002_1,CELL_023_2,2.4,0.541,2280,0.9351,0.0446
CELL_002_2,CELL_002_0,1.2,0.0,3589,0.9608,0.0523
CELL_002_2,CELL_002_1,-5.7,0.0,1925,0.9858,0.0685
CELL_002_2,CELL_018_0,0.9,0.437,219,0.99,0.0571
CELL_002_2,CELL_018_1,-2.8,0.437,379,0.9639,0.0223
CELL_002_2,CELL_018_2,0.2,0.437,3672,0.9808,0.0227
CELL_002_2,CELL_023_0,1.0,0.541,4078,0.9866,0.0429
CELL_002_2,CELL_023_1,-1.1,0.541,2680,0.9537,0.07
CELL_002_2,CELL_023_2,-2.0,0.541,4108,0.9117,0.0762
CELL_003_0,CELL_003_1,-5.6,0.0,771,0.9146,0.0326
CELL_003_0,CELL_003_2,5.6,0.0,3361,0.9751,0.0677
CELL_003_0,CELL_012_0,-6.0,0.166,4494,0.9308,0.0138
CELL_003_0,CELL_012_1,0.2,0.166,4133,0.9488,0.0632
CELL_003_0,CELL_012_2,-3.6,0.166,4549,0.8944,0.0302
CELL_003_0,CELL_008_0,4.6,0.706,4020,0.8934,0.0781
CELL_003_0,CELL_008_1,1.3,0.706,2010,0.9581,0.0318
CELL_003_0,CELL_008_2,-5.8,0.706,3392,0.8903,0.0795
CELL_003_0,CELL_004_0,5.0,0.927,3830,0.9842,0.0553
CELL_003_0,CELL_004_1,-4.2,0.927,2440,0.936,0.0291
CELL_003_0,CELL_004_2,4.0,0.927,3918,0.9068,0.0486
CELL_003_0,CELL_023_0,-1.4,1.329,4960,0.9359,0.0716
CELL_003_1,CELL_003_0,-2.7,0.0,3449,0.9174,0.0651
CELL_003_1,CELL_003_2,-2.8,0.0,71,0.9111,0.0309
CELL_003_1,CELL_012_0,1.0,0.166,4061,0.9752,0.0413
CELL_003_1,CELL_012_1,-0.2,0.166,2773,0.9407,0.048
CELL_003_1,CELL_012_2,-0.5,0.166,2686,0.9757,0.0787
CELL_003_1,CELL_008_0,-3.1,0.706,3187,0.9057,0.0643
CELL_003_1,CELL_008_1,-5.5,0.706,3924,0.9576,0.0668
CELL_003_1,CELL_008_2,-1.4,0.706,1296,0.9345,0.0126
CELL_003_2,CELL_003_0,5.6,0.0,2769,0.9757,0.0712
CELL_003_2,CELL_003_1,-0.7,0.0,4358,0.9801,0.0111
CELL_003_2,CELL_012_0,-4.3,0.166,1314,0.8882,0.0647
CELL_003_2,CELL_012_1,-2.8,0.166,3306,0.9515,0.0696
CELL_003_2,CELL_012_2,4.2,0.166,4421,0.9218,0.0322
CELL_003_2,CELL_008_0,2.6,0.706,4047,0.976,0.0125
CELL_003_2,CELL_008_1,-5.2,0.706,2404,0.9897,0.0623
CELL_003_2,CELL_008_2,-0.8,0.706,856,0.9636,0.0593
CELL_003_2,CELL_004_0,-4.8,0.927,1412,0.9563,0.0732
CELL_003_2,CELL_004_1,-5.4,0.927,509,0.9123,0.0362
CELL_003_2,CELL_004_2,-4.3,0.927,4401,0.9253,0.0577
CELL_003_2,CELL_023_0,-3.8,1.329,1484,0.8887,0.071
CELL_004_0,CELL_004_1,2.2,0.0,4126,0.9804,0.02
CELL_004_0,CELL_004_2,-0.5,0.0,2130,0.9306,0.0567
CELL_004_0,CELL_023_0,4.8,0.727,3861,0.9791,0.0574
CELL_004_0,CELL_023_1,-4.1,0.727,3668,0.984,0.0791
CELL_004_0,CELL_023_2,-2.4,0.727,3525,0.9559,0.042
CELL_004_0,CELL_019_0,-2.4,0.879,3201,0.9739,0.0175
CELL_004_0,CELL_019_1,-1.4,0.879,2990,0.9432,0.0795
CELL_004_0,CELL_019_2,-2.5,0.879,3292,0.9102,0.0496
CELL_004_0,CELL_018_0,2.2,0.894,451,0.9802,0.0622
CELL_004_0,CELL_018_1,4.0,0.894,2394,0.9653,0.0261
CELL_004_0,CELL_018_2,3.6,0.894,1844,0.95,0.0535
CELL_004_0,CELL_012_0,2.1,0.899,1170,0.9491,0.0732
CELL_004_1,CELL_004_0,-2.3,0.0,3661,0.8837,0.0355
CELL_004_1,CELL_004_2,-4.4,0.0,2467,0.9159,0.0391
CELL_004_1,CELL_023_0,-3.6,0.727,4468,0.9764,0.0356
CELL_004_1,CELL_023_1,0.0,0.727,2282,0.9714,0.028
CELL_004_1,CELL_023_2,3.9,0.727,3997,0.9864,0.0307
CELL_004_1,CELL_019_0,4.4,0.879,993,0.9315,0.0153
CELL_004_1,CELL_019_1,3.0,0.879,1898,0.9746,0.0607
CELL_004_1,CELL_019_2,5.8,0.879,4615,0.9202,0.0653
CELL_004_2,CELL_004_0,-2.8,0.0,1062,0.93,0.0571
CELL_004_2,CELL_004_1,2.1,0.0,4838,0.9219,0.0547
CELL_004_2,CELL_023_0,-1.5,0.727,1965,0.9319,0.0534
CELL_004_2,CELL_023_1,5.3,0.727,2737,0.9807,0.0255
CELL_004_2,CELL_023_2,-5.2,0.727,3853,0.98,0.0312
CELL_004_2,CELL_019_0,-1.1,0.879,1195,0.885,0.0126
CELL_004_2,CELL_019_1,6.0,0.879,1001,0.8907,0.0721
CELL_004_2,CELL_019_2,-4.4,0.879,3766,0.9208,0.0765
CELL_005_0,CELL_005_1,-1.0,0.0,1315,0.9774,0.0558
CELL_005_0,CELL_005_2,4.0,0.0,3393,0.9833,0.0296
CELL_005_0,CELL_007_0,2.3,0.253,1829,0.9288,0.0765
CELL_005_0,CELL_007_1,4.3,0.253,863,0.9879,0.0357
CELL_005_0,CELL_007_2,4.8,0.253,2988,0.8867,0.0293
CELL_005_0,CELL_011_0,5.6,0.725,3775,0.8901,0.0248
CELL_005_0,CELL_011_1,1.7,0.725,224,0.8856,0.0333
CELL_005_0,CELL_011_2,5.9,0.725,4675,0.9026,0.0681
CELL_005_0,CELL_001_0,0.7,0.826,4853,0.9038,0.0709
CELL_005_0,CELL_001_1,-2.1,0.826,1258,0.9668,0.0517
CELL_005_0,CELL_001_2,-2.7,0.826,1235,0.9886,0.0478
CELL_005_0,CELL_010_0,3.6,1.125,950,0.9527,0.0118
CELL_005_1,CELL_005_0,-1.7,0.0,1999,0.9448,0.0111
CELL_005_1,CELL_005_2,-2.8,0.0,1088,0.9616,0.0468
CELL_005_1,CELL_007_0,2.9,0.253,3951,0.9293,0.0353
CELL_005_1,CELL_007_1,1.1,0.253,3752,0.9354,0.0762
CELL_005_1,CELL_007_2,-5.5,0.253,4321,0.9132,0.055
CELL_005_1,CELL_011_0,-5.6,0.725,3973,0.9732,0.0398
CELL_005_1,CELL_011_1,-4.7,0.725,3683,0.8881,0.0157
CELL_005_1,CELL_011_2,1.3,0.725,588,0.8939,0.0537
CELL_005_2,CELL_005_0,0.6,0.0,2713,0.9219,0.0518
CELL_005_2,CELL_005_1,-2.5,0.0,4191,0.9466,0.0169
CELL_005_2,CELL_007_0,2.4,0.253,4566,0.9593,0.0251
CELL_005_2,CELL_007_1,-0.6,0.253,1921,0.9255,0.0679
CELL_005_2,CELL_007_2,-1.2,0.253,828,0.9144,0.0319
CELL_005_2,CELL_011_0,-2.9,0.725,1300,0.9556,0.0432
CELL_005_2,CELL_011_1,-4.9,0.725,749,0.8903,0.0168
CELL_005_2,CELL_011_2,2.9,0.725,1115,0.9412,0.0511
CELL_005_2,CELL_001_0,0.7,0.826,2750,0.9537,0.0388
CELL_005_2,CELL_001_1,4.5,0.826,3514,0.9755,0.0605
CELL_005_2,CELL_001_2,5.6,0.826,4968,0.9144,0.0173
CELL_005_2,CELL_010_0,0.1,1.125,1317,0.9522,0.0257
CELL_006_0,CELL_006_1,-1.8,0.0,4606,0.9204,0.0634
CELL_006_0,CELL_006_2,0.9,0.0,3565,0.973,0.0782
CELL_006_0,CELL_014_0,3.8,0.147,4610,0.8829,0.075
CELL_006_0,CELL_014_1,4.0,0.147,2240,0.8832,0.0291
CELL_006_0,CELL_014_2,3.1,0.147,2833,0.9186,0.0227
CELL_006_0,CELL_015_0,-4.3,0.225,3333,0.8877,0.0619
CELL_006_0,CELL_015_1,5.7,0.225,801,0.9621,0.0251
CELL_006_0,CELL_015_2,-1.0,0.225,2842,0.8973,0.0318
CELL_006_1,CELL_006_0,3.3,0.0,4699,0.9456,0.0718
CELL_006_1,CELL_006_2,-4.1,0.0,457,0.9541,0.029
CELL_006_1,CELL_014_0,1.9,0.147,4028,0.9468,0.039
CELL_006_1,CELL_014_1,-3.4,0.147,4247,0.8925,0.0401
CELL_006_1,CELL_014_2,-2.6,0.147,4908,0.9335,0.0567
CELL_006_1,CELL_015_0,-5.5,0.225,3287,0.9883,0.0138
CELL_006_1,CELL_015_1,-3.5,0.225,1780,0.9644,0.0635
CELL_006_1,CELL_015_2,-2.5,0.225,1032,0.8809,0.0623
CELL_006_1,CELL_024_0,-3.9,0.451,3164,0.9386,0.0261
CELL_006_1,CELL_024_1,0.7,0.451,2951,0.8879,0.0703
CELL_006_2,CELL_006_0,-0.8,0.0,3816,0.9813,0.0703
CELL_006_2,CELL_006_1,0.9,0.0,4747,0.9245,0.0548
CELL_006_2,CELL_014_0,-2.5,0.147,3368,0.8823,0.0327
CELL_006_2,CELL_014_1,3.6,0.147,3819,0.9715,0.0744
CELL_006_2,CELL_014_2,-4.9,0.147,917,0.9068,0.0512
CELL_006_2,CELL_015_0,0.3,0.225,3292,0.9758,0.0622
CELL_006_2,CELL_015_1,-3.3,0.225,1427,0.8884,0.0543
CELL_006_2,CELL_015_2,0.4,0.225,1638,0.9797,0.0345
CELL_007_0,CELL_007_1,-3.2,0.0,1249,0.9082,0.0221
CELL_007_0,CELL_007_2,-4.2,0.0,667,0.8995,0.0641
CELL_007_0,CELL_005_0,-0.1,0.253,4668,0.9636,0.0414
CELL_007_0,CELL_005_1,5.1,0.253,4674,0.9507,0.0791
CELL_007_0,CELL_005_2,-2.1,0.253,2639,0.8966,0.0148
CELL_007_0,CELL_001_0,-0.7,0.659,2530,0.9676,0.0514
CELL_007_0,CELL_001_1,-1.8,0.659,657,0.9141,0.0416
CELL_007_0,CELL_001_2,-5.3,0.659,2401,0.8884,0.0705
CELL_007_0,CELL_011_0,4.3,0.928,4916,0.9358,0.0424
CELL_007_1,CELL_007_0,5.5,0.0,386,0.9295,0.0667
CELL_007_1,CELL_007_2,1.8,0.0,2683,0.9466,0.0451
CELL_007_1,CELL_005_0,5.5,0.253,3740,0.8914,0.0729
CELL_007_1,CELL_005_1,-1.9,0.253,740,0.9355,0.0221
CELL_007_1,CELL_005_2,-3.0,0.253,3636,0.989,0.0467
CELL_007_1,CELL_001_0,1.3,0.659,3031,0.921,0.0298
CELL_007_1,CELL_001_1,-1.1,0.659,2821,0.9547,0.0137
CELL_007_1,CELL_001_2,1.6,0.659,2791,0.8873,0.0166
CELL_007_1,CELL_011_0,2.1,0.928,2377,0.9077,0.0696
CELL_007_1,CELL_011_1,5.6,0.928,4987,0.9761,0.0333
CELL_007_1,CELL_011_2,1.0,0.928,1208,0.9808,0.0317
CELL_007_1,CELL_016_0,1.9,0.965,3260,0.8942,0.0596
CELL_007_2,CELL_007_0,-2.3,0.0,3135,0.9508,0.033
CELL_007_2,CELL_007_1,-4.5,0.0,4362,0.8903,0.0569
CELL_007_2,CELL_005_0,0.1,0.253,199,0.9199,0.0226
CELL_007_2,CELL_005_1,-3.4,0.253,4033,0.9011,0.08
CELL_007_2,CELL_005_2,-4.1,0.253,2473,0.9729,0.0171
CELL_007_2,CELL_001_0,3.3,0.659,4363,0.8842,0.0336
CELL_007_2,CELL_001_1,3.2,0.659,1123,0.9457,0.0208
CELL_007_2,CELL_001_2,-3.8,0.659,1406,0.9593,0.0131
CELL_008_0,CELL_008_1,2.1,0.0,1995,0.9867,0.0527
CELL_008_0,CELL_008_2,3.0,0.0,3727,0.9057,0.0267
CELL_008_0,CELL_012_0,5.6,0.597,3892,0.9794,0.0236
CELL_008_0,CELL_012_1,2.1,0.597,4722,0.9883,0.0423
CELL_008_0,CELL_012_2,-2.6,0.597,3178,0.9353,0.0393
CELL_008_0,CELL_003_0,-4.1,0.706,1685,0.9681,0.0197
CELL_008_0,CELL_003_1,-3.0,0.706,3986,0.9762,0.0488
CELL_008_0,CELL_003_2,-4.8,0.706,4276,0.9736,0.03
CELL_008_0,CELL_004_0,3.2,1.41,2284,0.9294,0.0459
CELL_008_0,CELL_004_1,4.0,1.41,801,0.9841,0.0255
CELL_008_1,CELL_008_0,4.6,0.0,268,0.9256,0.0378
CELL_008_1,CELL_008_2,-1.5,0.0,3213,0.9894,0.0362
CELL_008_1,CELL_012_0,-5.7,0.597,861,0.9723,0.0555
CELL_008_1,CELL_012_1,3.5,0.597,1177,0.8842,0.0742
CELL_008_1,CELL_012_2,-0.3,0.597,1186,0.9635,0.0428
CELL_008_1,CELL_003_0,1.4,0.706,699,0.8821,0.0251
CELL_008_1,CELL_003_1,-4.2,0.706,4373,0.9266,0.0643
CELL_008_1,CELL_003_2,-3.1,0.706,1048,0.8853,0.0394
CELL_008_1,CELL_004_0,3.5,1.41,3794,0.8869,0.0686
CELL_008_1,CELL_004_1,-0.0,1.41,4441,0.8818,0.0461
CELL_008_1,CELL_004_2,-3.1,1.41,1226,0.912,0.0101
CELL_008_2,CELL_008_0,-3.1,0.0,3462,0.9006,0.0568
CELL_008_2,CELL_008_1,0.3,0.0,3004,0.8874,0.0468
CELL_008_2,CELL_012_0,0.1,0.597,4208,0.941,0.0373
CELL_008_2,CELL_012_1,-0.4,0.597,3219,0.9879,0.0278
CELL_008_2,CELL_012_2,-5.8,0.597,603,0.9179,0.0613
CELL_008_2,CELL_003_0,1.5,0.706,4816,0.9609,0.0333
CELL_008_2,CELL_003_1,-5.5,0.706,4522,0.9172,0.055
CELL_008_2,CELL_003_2,4.0,0.706,3856,0.9879,0.0435
CELL_008_2,CELL_004_0,-3.8,1.41,1154,0.8869,0.0643
CELL_008_2,CELL_004_1,-0.5,1.41,2453,0.9022,0.0654
CELL_009_0,CELL_009_1,-2.2,0.0,2590,0.9367,0.0792
CELL_009_0,CELL_009_2,0.5,0.0,2125,0.884,0.0553
CELL_009_0,CELL_016_0,-2.6,0.868,441,0.9752,0.0332
CELL_009_0,CELL_016_1,-4.5,0.868,3064,0.9281,0.038
CELL_009_0,CELL_016_2,-0.7,0.868,3217,0.9173,0.0231
CELL_009_0,CELL_001_0,2.3,0.951,3059,0.9817,0.0463
