cell_id,timestamp,rsrp_dbm,rsrq_db,sinr_db,prb_utilization_pct,active_ue_count,rrc_connected_ue,ho_attempt,ho_success,ho_failure,ho_ping_pong,late_ho,early_ho,wrong_cell_ho,dl_throughput_mbps,ul_throughput_mbps,cqi_avg,rlf_count,call_drop_rate_pct
CELL_000_0,2026-04-01T00:00:00,-91.9,-10.6,14.3,15.5,9,22,8,8,0,0,0,0,0,101.7,30.3,7.5,5,0
CELL_000_0,2026-04-01T00:15:00,-79.4,-7.8,9.5,12.9,12,26,10,10,0,0,0,0,0,84.5,16.8,10.2,5,1.33
CELL_000_0,2026-04-01T00:30:00,-86.5,-7.3,11.8,43.6,14,29,7,7,0,0,0,0,0,79.1,12.7,15,1,0.75
CELL_000_0,2026-04-01T00:45:00,-83.4,-7.1,17.9,23.5,12,17,8,8,0,0,0,0,0,88.6,12.1,9.3,8,0
CELL_000_0,2026-04-01T01:00:00,-94.8,-10.2,9.2,28.7,11,32,10,10,0,0,0,0,0,94.2,25.2,9.3,0,0.38
CELL_000_0,2026-04-01T01:15:00,-80.1,-15.0,12.4,33.6,24,25,6,6,0,0,0,0,0,76.4,25.9,10.3,5,1.38
CELL_000_0,2026-04-01T01:30:00,-92.5,-12.9,8.2,27.1,15,26,10,10,0,0,0,0,0,74.6,19.9,13.1,3,1.67
CELL_000_0,2026-04-01T01:45:00,-84.5,-13.3,7.7,3.8,20,14,12,12,0,0,0,0,0,78.0,13.3,7.8,5,0
CELL_000_0,2026-04-01T02:00:00,-78.6,-6.1,8.7,15.2,15,28,8,8,0,0,0,0,0,80.7,28.3,8.9,6,1.08
CELL_000_0,2026-04-01T02:15:00,-91.5,-10.1,13.3,30.4,5,29,12,12,0,0,0,0,0,64.9,26.2,6.6,3,0.53
CELL_000_0,2026-04-01T02:30:00,-90.7,-10.6,18.5,16.1,18,30,8,8,0,0,0,0,0,93.3,14.8,10.3,3,0.18
CELL_000_0,2026-04-01T02:45:00,-75.5,-4.8,17.3,9.6,15,15,12,12,0,0,0,0,0,90.4,25.9,7.8,4,0
CELL_000_0,2026-04-01T03:00:00,-83.8,-10.3,11.5,30.8,10,24,4,4,0,0,0,0,0,47.9,12.4,9.6,0,0
CELL_000_0,2026-04-01T03:15:00,-94.1,-6.7,18.0,33.2,10,42,9,9,0,0,0,0,0,83.4,24.2,12.9,0,1.15
CELL_000_0,2026-04-01T03:30:00,-75.6,-9.5,10.5,10.2,17,32,9,9,0,0,0,0,0,92.3,25.1,10.2,5,0.73
CELL_000_0,2026-04-01T03:45:00,-97.6,-7.0,8.7,16.3,10,17,12,12,0,0,0,0,0,111.4,20.7,7.3,1,0
CELL_000_0,2026-04-01T04:00:00,-83.9,-12.6,16.5,26.4,9,22,8,8,0,0,0,0,0,86.8,19.8,8.0,1,1.03
CELL_000_0,2026-04-01T04:15:00,-74.2,-9.0,15.4,22.6,13,17,13,13,0,0,0,0,0,57.8,15.0,8.7,2,0.48
CELL_000_0,2026-04-01T04:30:00,-95.1,-5.4,8.8,35.5,10,31,9,9,0,0,0,0,0,112.6,15.5,13.7,0,1.04
CELL_000_0,2026-04-01T04:45:00,-90.7,-11.5,19.0,31.3,20,31,9,9,0,0,0,0,0,64.3,19.5,7.5,2,1.04
CELL_000_0,2026-04-01T05:00:00,-96.9,-12.0,1.5,28.0,20,17,9,9,0,0,0,0,0,56.1,27.4,8.9,0,0
