cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
SEOL-001-1,SEOL-001,Dense Urban,285126,281791,3335,1.17,1150,1440,944,1775,0.63,-83.4,No
SEOL-001-2,SEOL-001,Urban,262005,259045,2960,1.13,982,1090,459,2590,1.0,-75.7,No
SEOL-001-3,SEOL-001,High-Rise,293946,291683,2263,0.77,380,808,442,3704,1.27,-80.5,No
SEOL-002-1,SEOL-002,High-Rise,231614,229970,1644,0.71,273,582,236,2437,1.06,-76.8,No
SEOL-002-2,SEOL-002,Urban,291106,269128,21978,7.55,6991,5908,3422,9258,3.44,-90.5,Yes
SEOL-002-3,SEOL-002,High-Rise,194517,191580,2937,1.51,914,1047,425,1034,0.54,-74.4,No
SEOL-003-1,SEOL-003,High-Rise,239422,237483,1939,0.81,490,579,467,3491,1.47,-72.4,No
SEOL-003-2,SEOL-003,Urban,228763,207145,21618,9.45,4204,6801,6100,5613,2.71,-92.4,Yes
SEOL-003-3,SEOL-003,Dense Urban,194528,193108,1420,0.73,460,491,331,1969,1.02,-78.6,No
SEOL-004-1,SEOL-004,High-Rise,248628,243731,4897,1.97,1368,2093,1083,755,0.31,-86.1,No
SEOL-004-2,SEOL-004,Urban,203682,183437,20245,9.94,6660,8113,3283,8383,4.57,-99.8,Yes
SEOL-004-3,SEOL-004,Dense Urban,206743,202319,4424,2.14,948,1476,776,2144,1.06,-81.2,No
SEOL-005-1,SEOL-005,Dense Urban,172103,170503,1600,0.93,300,711,230,1040,0.61,-81.5,No
SEOL-005-2,SEOL-005,Urban,197657,195108,2549,1.29,759,777,487,1755,0.9,-83.8,No
SEOL-005-3,SEOL-005,Dense Urban,260025,255475,4550,1.75,1157,1427,585,3755,1.47,-89.9,No
SEOL-006-1,SEOL-006,High-Rise,231674,229080,2594,1.12,528,1150,556,2267,0.99,-80.9,No
SEOL-006-2,SEOL-006,Dense Urban,182026,177694,4332,2.38,697,1210,551,533,0.3,-79.2,No
SEOL-006-3,SEOL-006,Urban,203017,184381,18636,9.18,4373,5276,2996,6029,3.27,-98.5,Yes
SEOL-007-1,SEOL-007,Dense Urban,269590,263956,5634,2.09,1479,1431,1653,3273,1.24,-86.0,No
SEOL-007-2,SEOL-007,High-Rise,273441,270625,2816,1.03,600,992,449,974,0.36,-84.0,No
SEOL-007-3,SEOL-007,Urban,174943,173352,1591,0.91,433,445,212,693,0.4,-86.5,No
SEOL-008-1,SEOL-008,Urban,271808,268329,3479,1.28,679,1013,386,3085,1.15,-84.2,No
SEOL-008-2,SEOL-008,Dense Urban,164557,161283,3274,1.99,763,1309,599,2032,1.26,-80.2,No
SEOL-008-3,SEOL-008,High-Rise,288940,283046,5894,2.04,1194,1749,665,2037,0.72,-84.0,No
SEOL-009-1,SEOL-009,Urban,154931,153227,1704,1.1,444,613,192,2068,1.35,-83.6,No
SEOL-009-2,SEOL-009,Dense Urban,262200,260050,2150,0.82,363,624,240,1898,0.73,-82.6,No
SEOL-009-3,SEOL-009,Urban,183546,182427,1119,0.61,375,431,251,2134,1.17,-80.1,No
SEOL-010-1,SEOL-010,Dense Urban,241578,238800,2778,1.15,827,790,628,2292,0.96,-86.4,No
SEOL-010-2,SEOL-010,Dense Urban,247730,242132,5598,2.26,1541,2154,1628,920,0.38,-79.6,No
SEOL-010-3,SEOL-010,Urban,273636,268027,5609,2.05,1419,1883,1329,3430,1.28,-82.9,No
SEOL-011-1,SEOL-011,High-Rise,287008,280493,6515,2.27,2036,2465,1100,1711,0.61,-84.4,No
SEOL-011-2,SEOL-011,Dense Urban,272003,270453,1550,0.57,465,588,180,3110,1.15,-82.2,No
SEOL-011-3,SEOL-011,Dense Urban,165747,164720,1027,0.62,263,436,119,2322,1.41,-87.0,No
SEOL-012-1,SEOL-012,Urban,274993,272904,2089,0.76,395,583,471,1773,0.65,-71.7,No
SEOL-012-2,SEOL-012,High-Rise,295870,293415,2455,0.83,596,758,629,4283,1.46,-85.7,No
SEOL-012-3,SEOL-012,Urban,200868,199764,1104,0.55,250,446,143,1178,0.59,-81.7,No
SEOL-013-1,SEOL-013,Dense Urban,187562,185105,2457,1.31,848,738,283,832,0.45,-82.3,No
SEOL-013-2,SEOL-013,High-Rise,215720,211859,3861,1.79,787,1553,600,2711,1.28,-78.9,No
SEOL-013-3,SEOL-013,Urban,212825,210910,1915,0.9,331,720,474,1750,0.83,-77.1,No
SEOL-014-1,SEOL-014,Dense Urban,195643,191202,4441,2.27,1448,1250,1252,1319,0.69,-82.1,No
SEOL-014-2,SEOL-014,High-Rise,240424,234991,5433,2.26,1092,2324,662,963,0.41,-83.2,No
SEOL-014-3,SEOL-014,Dense Urban,192472,190375,2097,1.09,525,909,603,1922,1.01,-88.8,No
SEOL-015-1,SEOL-015,Dense Urban,279982,277435,2547,0.91,879,864,689,3662,1.32,-86.6,No
SEOL-015-2,SEOL-015,High-Rise,244236,240500,3736,1.53,918,1344,902,1972,0.82,-77.0,No
SEOL-015-3,SEOL-015,Dense Urban,271787,267140,4647,1.71,782,1962,834,3579,1.34,-77.0,No
