serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
SEOL-001-1,SEOL-001-2,1,0.0,-4.8,Yes,Intra-Frequency,2026-06-01
SEOL-001-1,SEOL-001-3,2,0.0,-1.7,Yes,Intra-Frequency,2026-06-01
SEOL-001-1,SEOL-008-1,3,202.3,3.2,Yes,Inter-Frequency,2026-06-01
SEOL-001-1,SEOL-008-2,4,202.3,-4.2,Yes,Inter-Frequency,2026-06-01
SEOL-001-1,SEOL-008-3,5,202.3,5.9,Yes,Inter-Frequency,2026-06-01
SEOL-001-1,SEOL-010-1,6,390.1,-0.2,Yes,Inter-Frequency,2026-06-01
SEOL-001-1,SEOL-010-2,7,390.1,-4.6,Yes,Inter-Frequency,2026-06-01
SEOL-001-1,SEOL-010-3,8,390.1,4.0,Yes,Inter-Frequency,2026-06-01
SEOL-001-1,SEOL-004-1,9,829.0,4.4,Yes,Inter-Frequency,2026-06-01
SEOL-001-1,SEOL-004-2,10,829.0,-3.8,Yes,Inter-Frequency,2026-06-01
SEOL-001-1,SEOL-004-3,11,829.0,-3.6,Yes,Inter-Frequency,2026-06-01
SEOL-001-1,SEOL-002-1,12,968.0,-1.5,Yes,Inter-Frequency,2026-06-01
SEOL-001-1,SEOL-002-2,13,968.0,2.6,Yes,Inter-Frequency,2026-06-01
SEOL-001-2,SEOL-001-1,1,0.0,1.3,Yes,Intra-Frequency,2026-06-01
SEOL-001-2,SEOL-001-3,2,0.0,-2.9,Yes,Intra-Frequency,2026-06-01
SEOL-001-2,SEOL-008-1,3,202.3,-3.9,Yes,Inter-Frequency,2026-06-01
SEOL-001-2,SEOL-008-2,4,202.3,-2.9,Yes,Inter-Frequency,2026-06-01
SEOL-001-2,SEOL-008-3,5,202.3,-3.9,Yes,Inter-Frequency,2026-06-01
SEOL-001-2,SEOL-010-1,6,390.1,-3.7,Yes,Inter-Frequency,2026-06-01
SEOL-001-2,SEOL-010-2,7,390.1,0.1,Yes,Inter-Frequency,2026-06-01
SEOL-001-2,SEOL-010-3,8,390.1,0.7,Yes,Inter-Frequency,2026-06-01
SEOL-001-2,SEOL-004-1,9,829.0,2.8,Yes,Inter-Frequency,2026-06-01
SEOL-001-2,SEOL-004-2,10,829.0,0.6,Yes,Inter-Frequency,2026-06-01
SEOL-001-2,SEOL-004-3,11,829.0,-4.6,Yes,Inter-Frequency,2026-06-01
SEOL-001-2,SEOL-002-1,12,968.0,-1.2,Yes,Inter-Frequency,2026-06-01
SEOL-001-2,SEOL-002-2,13,968.0,-1.6,Yes,Inter-Frequency,2026-06-01
SEOL-001-2,SEOL-002-3,14,968.0,-4.2,Yes,Inter-Frequency,2026-06-01
SEOL-001-3,SEOL-001-1,1,0.0,-3.5,Yes,Intra-Frequency,2026-06-01
SEOL-001-3,SEOL-001-2,2,0.0,2.6,Yes,Intra-Frequency,2026-06-01
SEOL-001-3,SEOL-008-1,3,202.3,-3.8,Yes,Inter-Frequency,2026-06-01
SEOL-001-3,SEOL-008-2,4,202.3,-0.2,Yes,Inter-Frequency,2026-06-01
SEOL-001-3,SEOL-008-3,5,202.3,-3.4,Yes,Inter-Frequency,2026-06-01
SEOL-001-3,SEOL-010-1,6,390.1,5.1,Yes,Inter-Frequency,2026-06-01
SEOL-001-3,SEOL-010-2,7,390.1,2.4,Yes,Inter-Frequency,2026-06-01
SEOL-001-3,SEOL-010-3,8,390.1,3.9,Yes,Inter-Frequency,2026-06-01
SEOL-001-3,SEOL-004-1,9,829.0,6.0,Yes,Inter-Frequency,2026-06-01
SEOL-001-3,SEOL-004-2,10,829.0,-2.3,Yes,Inter-Frequency,2026-06-01
SEOL-002-1,SEOL-002-2,1,0.0,5.5,Yes,Intra-Frequency,2026-06-01
SEOL-002-1,SEOL-002-3,2,0.0,-3.9,Yes,Intra-Frequency,2026-06-01
SEOL-002-1,SEOL-004-1,3,465.9,1.8,Yes,Intra-Frequency,2026-06-01
SEOL-002-1,SEOL-004-2,4,465.9,-5.1,Yes,Intra-Frequency,2026-06-01
SEOL-002-1,SEOL-004-3,5,465.9,2.6,Yes,Intra-Frequency,2026-06-01
SEOL-002-1,SEOL-010-1,6,582.0,-4.3,Yes,Intra-Frequency,2026-06-01
SEOL-002-1,SEOL-010-2,7,582.0,4.9,Yes,Intra-Frequency,2026-06-01
SEOL-002-1,SEOL-010-3,8,582.0,-3.6,Yes,Intra-Frequency,2026-06-01
SEOL-002-1,SEOL-008-1,9,810.4,-3.7,Yes,Intra-Frequency,2026-06-01
SEOL-002-1,SEOL-008-2,10,810.4,-3.5,Yes,Intra-Frequency,2026-06-01
SEOL-002-1,SEOL-008-3,11,810.4,3.5,Yes,Intra-Frequency,2026-06-01
SEOL-002-2,SEOL-002-1,1,0.0,-5.7,Yes,Intra-Frequency,2026-06-01
SEOL-002-2,SEOL-002-3,2,0.0,3.3,Yes,Intra-Frequency,2026-06-01
SEOL-002-2,SEOL-004-1,3,465.9,5.4,Yes,Intra-Frequency,2026-06-01
SEOL-002-2,SEOL-004-2,4,465.9,-0.3,Yes,Intra-Frequency,2026-06-01
SEOL-002-2,SEOL-004-3,5,465.9,-5.6,Yes,Intra-Frequency,2026-06-01
SEOL-002-2,SEOL-010-1,6,582.0,5.4,Yes,Intra-Frequency,2026-06-01
