cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
SEOL-001-1,SEOL-001,Seoul-Site-001,37.554219,126.967888,47,1,-5,3,2,5,Dense Urban,64.6,n78 (3500MHz),1,30001,Samsung,5G NR,Active
SEOL-001-2,SEOL-001,Seoul-Site-001,37.554219,126.967888,47,2,117,2,3,5,Urban,52.0,n78 (3500MHz),2,30001,Samsung,5G NR,Active
SEOL-001-3,SEOL-001,Seoul-Site-001,37.554219,126.967888,32,3,238,2,2,4,High-Rise,65.0,n78 (3500MHz),3,30001,Samsung,5G NR,Active
SEOL-002-1,SEOL-002,Seoul-Site-002,37.562472,126.964393,38,1,-2,5,2,7,High-Rise,65.8,n257 (28GHz),4,30002,Samsung,5G NR,Active
SEOL-002-2,SEOL-002,Seoul-Site-002,37.562472,126.964393,48,2,117,3,3,6,Urban,38.0,n257 (28GHz),5,30002,Samsung,5G NR,Active
SEOL-002-3,SEOL-002,Seoul-Site-002,37.562472,126.964393,31,3,241,5,0,5,High-Rise,41.3,n257 (28GHz),6,30002,Samsung,5G NR,Active
SEOL-003-1,SEOL-003,Seoul-Site-003,37.571183,126.987738,50,1,-4,3,1,4,High-Rise,67.5,n78 (3500MHz),7,30003,Samsung,5G NR,Active
SEOL-003-2,SEOL-003,Seoul-Site-003,37.571183,126.987738,43,2,120,3,3,6,Urban,59.2,n78 (3500MHz),8,30003,Samsung,5G NR,Active
SEOL-003-3,SEOL-003,Seoul-Site-003,37.571183,126.987738,46,3,239,4,1,5,Dense Urban,39.9,n78 (3500MHz),9,30003,Samsung,5G NR,Active
SEOL-004-1,SEOL-004,Seoul-Site-004,37.561557,126.969551,50,1,0,2,2,4,High-Rise,55.7,n257 (28GHz),10,30004,Samsung,5G NR,Active
SEOL-004-2,SEOL-004,Seoul-Site-004,37.561557,126.969551,41,2,115,3,1,4,Urban,65.5,n257 (28GHz),11,30004,Samsung,5G NR,Active
SEOL-004-3,SEOL-004,Seoul-Site-004,37.561557,126.969551,27,3,235,5,2,7,Dense Urban,45.5,n257 (28GHz),12,30004,Samsung,5G NR,Active
SEOL-005-1,SEOL-005,Seoul-Site-005,37.577317,126.961417,33,1,5,4,2,6,Dense Urban,42.2,n78 (3500MHz),13,30005,Samsung,5G NR,Active
SEOL-005-2,SEOL-005,Seoul-Site-005,37.577317,126.961417,41,2,123,5,1,6,Urban,78.6,n78 (3500MHz),14,30005,Samsung,5G NR,Active
SEOL-005-3,SEOL-005,Seoul-Site-005,37.577317,126.961417,32,3,235,3,3,6,Dense Urban,68.8,n78 (3500MHz),15,30005,Samsung,5G NR,Active
SEOL-006-1,SEOL-006,Seoul-Site-006,37.570573,126.985865,26,1,-5,2,2,4,High-Rise,70.0,n257 (28GHz),16,30006,Samsung,5G NR,Active
SEOL-006-2,SEOL-006,Seoul-Site-006,37.570573,126.985865,33,2,117,3,3,6,Dense Urban,76.0,n257 (28GHz),17,30006,Samsung,5G NR,Active
SEOL-006-3,SEOL-006,Seoul-Site-006,37.570573,126.985865,47,3,242,3,0,3,Urban,43.3,n257 (28GHz),18,30006,Samsung,5G NR,Active
SEOL-007-1,SEOL-007,Seoul-Site-007,37.565409,126.978634,41,1,-2,3,0,3,Dense Urban,52.0,n78 (3500MHz),19,30007,Samsung,5G NR,Active
SEOL-007-2,SEOL-007,Seoul-Site-007,37.565409,126.978634,26,2,125,2,0,2,High-Rise,64.6,n78 (3500MHz),20,30007,Samsung,5G NR,Active
SEOL-007-3,SEOL-007,Seoul-Site-007,37.565409,126.978634,31,3,243,2,3,5,Urban,32.0,n78 (3500MHz),21,30007,Samsung,5G NR,Active
SEOL-008-1,SEOL-008,Seoul-Site-008,37.555965,126.968533,45,1,3,3,1,4,Urban,34.3,n257 (28GHz),22,30008,Samsung,5G NR,Active
SEOL-008-2,SEOL-008,Seoul-Site-008,37.555965,126.968533,46,2,118,4,3,7,Dense Urban,48.9,n257 (28GHz),23,30008,Samsung,5G NR,Active
SEOL-008-3,SEOL-008,Seoul-Site-008,37.555965,126.968533,41,3,235,2,0,2,High-Rise,68.4,n257 (28GHz),24,30008,Samsung,5G NR,Active
SEOL-009-1,SEOL-009,Seoul-Site-009,37.565061,126.988027,49,1,-5,2,1,3,Urban,36.6,n78 (3500MHz),25,30009,Samsung,5G NR,Active
SEOL-009-2,SEOL-009,Seoul-Site-009,37.565061,126.988027,47,2,125,2,1,3,Dense Urban,48.9,n78 (3500MHz),26,30009,Samsung,5G NR,Active
SEOL-009-3,SEOL-009,Seoul-Site-009,37.565061,126.988027,50,3,235,3,3,6,Urban,53.9,n78 (3500MHz),27,30009,Samsung,5G NR,Active
SEOL-010-1,SEOL-010,Seoul-Site-010,37.5574,126.966023,28,1,-5,6,3,9,Dense Urban,76.2,n257 (28GHz),28,30010,Samsung,5G NR,Active
SEOL-010-2,SEOL-010,Seoul-Site-010,37.5574,126.966023,43,2,121,6,1,7,Dense Urban,56.8,n257 (28GHz),29,30010,Samsung,5G NR,Active
SEOL-010-3,SEOL-010,Seoul-Site-010,37.5574,126.966023,37,3,242,3,2,5,Urban,50.8,n257 (28GHz),30,30010,Samsung,5G NR,Active
SEOL-011-1,SEOL-011,Seoul-Site-011,37.574403,126.981115,32,1,2,5,3,8,High-Rise,47.9,n78 (3500MHz),31,30011,Samsung,5G NR,Active
SEOL-011-2,SEOL-011,Seoul-Site-011,37.574403,126.981115,35,2,121,4,1,5,Dense Urban,79.9,n78 (3500MHz),32,30011,Samsung,5G NR,Active
SEOL-011-3,SEOL-011,Seoul-Site-011,37.574403,126.981115,37,3,245,6,3,9,Dense Urban,60.2,n78 (3500MHz),33,30011,Samsung,5G NR,Active
SEOL-012-1,SEOL-012,Seoul-Site-012,37.571577,126.993721,29,1,-4,2,0,2,Urban,77.2,n257 (28GHz),34,30012,Samsung,5G NR,Active
SEOL-012-2,SEOL-012,Seoul-Site-012,37.571577,126.993721,48,2,119,6,2,8,High-Rise,34.6,n257 (28GHz),35,30012,Samsung,5G NR,Active
SEOL-012-3,SEOL-012,Seoul-Site-012,37.571577,126.993721,47,3,237,4,3,7,Urban,51.0,n257 (28GHz),36,30012,Samsung,5G NR,Active
SEOL-013-1,SEOL-013,Seoul-Site-013,37.568764,126.988499,45,1,-2,5,2,7,Dense Urban,37.4,n78 (3500MHz),37,30013,Samsung,5G NR,Active
SEOL-013-2,SEOL-013,Seoul-Site-013,37.568764,126.988499,47,2,123,6,2,8,High-Rise,56.5,n78 (3500MHz),38,30013,Samsung,5G NR,Active
SEOL-013-3,SEOL-013,Seoul-Site-013,37.568764,126.988499,28,3,243,3,2,5,Urban,73.3,n78 (3500MHz),39,30013,Samsung,5G NR,Active
SEOL-014-1,SEOL-014,Seoul-Site-014,37.570044,126.973169,35,1,4,5,3,8,Dense Urban,62.2,n257 (28GHz),40,30014,Samsung,5G NR,Active
SEOL-014-2,SEOL-014,Seoul-Site-014,37.570044,126.973169,36,2,118,5,0,5,High-Rise,55.6,n257 (28GHz),41,30014,Samsung,5G NR,Active
SEOL-014-3,SEOL-014,Seoul-Site-014,37.570044,126.973169,27,3,236,6,2,8,Dense Urban,37.6,n257 (28GHz),42,30014,Samsung,5G NR,Active
SEOL-015-1,SEOL-015,Seoul-Site-015,37.57702,126.981433,30,1,2,2,2,4,Dense Urban,54.9,n78 (3500MHz),43,30015,Samsung,5G NR,Active
SEOL-015-2,SEOL-015,Seoul-Site-015,37.57702,126.981433,25,2,125,2,1,3,High-Rise,63.2,n78 (3500MHz),44,30015,Samsung,5G NR,Active
SEOL-015-3,SEOL-015,Seoul-Site-015,37.57702,126.981433,29,3,240,3,3,6,Dense Urban,52.3,n78 (3500MHz),45,30015,Samsung,5G NR,Active
