cell_id,site_id,sector,band,latitude,longitude,azimuth,mechanical_tilt,electrical_tilt,tx_power_dbm,antenna_height_m,frequency_mhz
CELL_000_0,SITE_000,0,1,35.663024,139.680534,-1,3.5,0.8,40.6,38.5,2100
CELL_000_1,SITE_000,1,1,35.663024,139.680534,123,2.5,2.5,40.2,25.5,2100
CELL_000_2,SITE_000,2,1,35.663024,139.680534,243,5.6,3.4,44.3,37.5,2100
CELL_001_0,SITE_001,0,3,35.6551,139.699347,-1,6.9,0.0,44.8,37.5,1800
CELL_001_1,SITE_001,1,3,35.6551,139.699347,120,3.7,1.3,44.6,22.6,1800
CELL_001_2,SITE_001,2,3,35.6551,139.699347,241,2.6,5.1,43.6,40.2,1800
CELL_002_0,SITE_002,0,41,35.666279,139.703207,1,2.5,1.8,43.8,42.1,2500
CELL_002_1,SITE_002,1,41,35.666279,139.703207,120,5.5,4.2,40.3,25.7,2500
CELL_002_2,SITE_002,2,41,35.666279,139.703207,239,7.9,5.1,45.2,29.5,2500
CELL_003_0,SITE_003,0,1,35.656321,139.716418,-3,4.2,1.3,41.6,43.4,2100
CELL_003_1,SITE_003,1,1,35.656321,139.716418,125,2.4,3.8,43.2,26.1,2100
CELL_003_2,SITE_003,2,1,35.656321,139.716418,242,4.3,5.9,43.8,33.9,2100
CELL_004_0,SITE_004,0,3,35.664653,139.716806,-5,3.4,0.2,41.9,26.7,1800
CELL_004_1,SITE_004,1,3,35.664653,139.716806,118,7.5,3.4,44.3,25.3,1800
CELL_004_2,SITE_004,2,3,35.664653,139.716806,242,4.4,5.5,42.8,26.6,1800
CELL_005_0,SITE_005,0,41,35.648869,139.704322,-1,6.5,2.6,43.5,29.0,2500
CELL_005_1,SITE_005,1,41,35.648869,139.704322,117,5.1,0.5,40.3,22.7,2500
CELL_005_2,SITE_005,2,41,35.648869,139.704322,245,3.0,4.1,43.6,29.6,2500
CELL_006_0,SITE_006,0,1,35.661455,139.700183,-1,7.8,5.2,40.1,38.0,2100
CELL_006_1,SITE_006,1,1,35.661455,139.700183,125,7.3,4.5,44.6,28.5,2100
CELL_006_2,SITE_006,2,1,35.661455,139.700183,239,4.6,2.7,45.7,41.9,2100
CELL_007_0,SITE_007,0,3,35.649473,139.701626,-3,5.0,0.6,43.8,41.0,1800
CELL_007_1,SITE_007,1,3,35.649473,139.701626,123,5.7,0.9,44.6,33.5,1800
CELL_007_2,SITE_007,2,3,35.649473,139.701626,243,7.5,3.6,42.9,22.8,1800
CELL_008_0,SITE_008,0,41,35.653062,139.723125,-1,3.4,1.4,43.4,22.0,2500
CELL_008_1,SITE_008,1,41,35.653062,139.723125,122,6.9,5.9,43.2,23.1,2500
CELL_008_2,SITE_008,2,41,35.653062,139.723125,245,4.9,3.3,41.6,41.8,2500
CELL_009_0,SITE_009,0,1,35.65523,139.688818,3,6.5,4.1,44.3,30.0,2100
CELL_009_1,SITE_009,1,1,35.65523,139.688818,125,5.9,2.6,43.1,23.0,2100
CELL_009_2,SITE_009,2,1,35.65523,139.688818,238,2.4,0.1,43.3,34.7,2100
CELL_010_0,SITE_010,0,3,35.640241,139.710818,-5,3.4,5.4,45.2,21.8,1800
CELL_010_1,SITE_010,1,3,35.640241,139.710818,118,3.7,2.9,43.2,38.1,1800
CELL_010_2,SITE_010,2,3,35.640241,139.710818,244,5.5,1.5,42.8,30.2,1800
CELL_011_0,SITE_011,0,41,35.643381,139.708651,0,4.5,2.8,44.4,36.8,2500
CELL_011_1,SITE_011,1,41,35.643381,139.708651,125,2.6,2.4,42.0,41.5,2500
CELL_011_2,SITE_011,2,41,35.643381,139.708651,238,3.1,3.2,40.8,24.6,2500
CELL_012_0,SITE_012,0,1,35.656653,139.718209,-4,4.7,5.2,43.3,21.3,2100
CELL_012_1,SITE_012,1,1,35.656653,139.718209,123,7.0,5.8,45.6,41.2,2100
CELL_012_2,SITE_012,2,1,35.656653,139.718209,237,4.4,2.9,45.2,42.6,2100
CELL_013_0,SITE_013,0,3,35.645915,139.67952,1,3.6,4.7,42.7,30.6,1800
CELL_013_1,SITE_013,1,3,35.645915,139.67952,123,6.0,2.9,41.1,25.4,1800
CELL_013_2,SITE_013,2,3,35.645915,139.67952,235,5.5,3.3,44.5,21.4,1800
CELL_014_0,SITE_014,0,41,35.661033,139.701726,3,2.9,5.8,40.5,24.6,2500
CELL_014_1,SITE_014,1,41,35.661033,139.701726,124,2.4,5.2,42.4,43.5,2500
CELL_014_2,SITE_014,2,41,35.661033,139.701726,244,3.5,3.6,43.7,30.5,2500
CELL_015_0,SITE_015,0,1,35.661015,139.70261,-1,3.2,4.3,41.4,29.9,2100
CELL_015_1,SITE_015,1,1,35.661015,139.70261,125,5.9,2.7,45.6,43.4,2100
CELL_015_2,SITE_015,2,1,35.661015,139.70261,235,4.7,6.0,46.0,21.8,2100
CELL_016_0,SITE_016,0,3,35.647663,139.691186,0,7.3,5.3,42.2,23.9,1800
